"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8d81951f-de88-47e4-b828-84b516fcfa3d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"4cd90197-8db7-4c71-b3f3-a9185b48f441","","checklist-flat","not-started","SYS - Basement 5 Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 5"
"d33d51ac-80eb-4e96-8d5f-b5c452801dfc","","checklist-flat","not-started","SYS - Basement 4 Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 4"
"c30b39f1-1c20-476d-9d94-4de4ad664a33","","checklist-flat","not-started","SYS - Basement 3 Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 3"
"58ff3000-5fc0-464e-914a-8ea795dec7d2","","checklist-flat","not-started","SYS - Basement 2 Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 2"
"2e52474a-de95-430d-b0b0-a2445ccfee3c","","checklist-flat","not-started","SYS - Basement 1 Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Basement 1"
"7ae046f9-d1f5-41db-a5ff-4223d25d4024","","checklist-flat","not-started","SYS - Ground Floor Checklist (old version)","checklist-flat","FALSE","FALSE","Site QA","Ground Floor"
"57e70ad3-dc02-4606-b54a-66f434f07227","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1"
"11a610dd-ac3f-4538-8ae9-3f78c1ff26fd","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2"
"e276ff53-223a-4494-9f1d-8e9771c64292","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3"
"d1414813-722e-4879-8a5f-fb4b03ed8d75","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4"
"ae9f088d-a4e9-4f8b-a844-b14467ccc06f","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5"
"38428d10-e6dd-47c9-b18d-87ebcc540ae5","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6"
"9349d21c-bb2a-4781-8a44-77f0047aaf5e","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7"
"05180290-2778-4c14-af54-924594b0e3d2","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8"
"99eefe72-0db2-49f9-ad47-664b9263f9a6","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 9"
"5d6360b8-3330-48c3-9de1-ed60c0b8b7a5","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 10"
"e0764b1b-ecfd-4ca0-8ebd-e529d3637cb0","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 11"
"7ec57c50-23d6-4d07-805f-64585b84c307","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 12"
"abc93110-fc35-48cd-b813-f0b7651e4e9d","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 13"
"c17b57c4-605d-4d96-a597-607df61bf28d","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 14"
"9ede8fa3-a7bd-4a20-bafa-c7ccee183870","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 15"
"d94bdda5-14e1-41a6-a7b6-2cd0842ce228","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16"
"f3f76a55-5384-4095-b3d0-e45f88aca3b9","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17"
"12eb56e3-8692-48ed-824a-bd81b73daf12","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18"
"f2b1cada-23eb-4e94-951a-4da4d45bb68c","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19"
"73880307-887e-40cb-a210-0266b0628b8e","","checklist-flat","not-started","Level 1-20 Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20"
"e999bed3-35c1-43bd-a8fd-50d533ef29e2","","checklist-flat","not-started","Roof Checklist","checklist-flat","FALSE","FALSE","Site QA","Roof"
