resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,HOUSE DB - E,,,,,,,,,,,
,step,,,,EL-HDBE-01-301,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Lighting,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-HDBE-01-401,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Lighting,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-HDBE-01-501,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Lighting,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-HDBE-01-601,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
Testing & Commissioning - Distribution Boards (Energised),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31043000 - Component (Energised),,,,,,,,
,step,,,,,Subcircuits,,,,,,,,,
,step,,,,,,Lighting,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,,,Power,,,,,,,,
Testing & Commissioning - Subcircuits (Pre-Energisation),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31072000 - Construction Tests (Pre-energisation),,,,,,,
Testing & Commissioning - Subcircuits (Energised),checklist,,,,,,,WSA20-MPX-04000-EL-ITC-31073000 - Component (Energised),,,,,,,
,step,,,,EL-HDBE-01-701,,,,,,,,,,
,step,,,,,Distribution Boards,,,,,,,,,
Testing & Commissioning - Distribution Boards (Pre-Energisation),checklist,,,,,,WSA20-MPX-04000-EL-ITC-31042000 - Construction Tests (Pre-energisation),,,,,,,,
