"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ef662650-7569-466d-a771-076e1bd3ab87","","not-started","","folder","TRUE","FALSE","Cladding QA"
"6fdd0fee-a870-4e46-852e-e3b6449b81ed","","not-started","","folder","TRUE","FALSE","Cladding QA","Level 34"
"b634d6f6-f92e-43d9-806d-55c0b57aea42","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 34","North"
"a930a4fc-6eed-4e7e-bc6b-2b09aabe3048","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 34","East"
"30b58649-857e-4502-9d45-866128331c08","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 34","West"
"06971c73-edda-4317-8c9a-91a636cbacc4","","not-started","","folder","TRUE","FALSE","Cladding QA","Level 33"
"2d2478a6-6f5e-49aa-ac15-782e3b24da83","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 33","Soffit"
"8c613cec-b791-4101-bb30-e0d070b9ab54","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 33","North"
"9e0ed471-e95c-4bda-9f27-07576a061ecb","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 33","East"
"0358dec7-83d2-4cc6-9187-512c994d7350","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 33","South"
"f6168dfe-d51e-44a2-b6a1-dfda1a2da1d1","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 33","West"
"c5ed8828-8510-43d3-855c-e29b6109ed45","","not-started","","folder","TRUE","FALSE","Cladding QA","Level 32"
"163e541a-e730-4fbc-ad13-0b002eef0537","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 32","Soffit"
"e4f063c4-1e98-478f-9054-5df9a0cbcb9e","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 32","North"
"6efa5f70-cfd0-4e41-a07a-2e2662e813f4","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 32","East"
"01a0ba59-d234-4e90-b7e5-5fe9e6a3a066","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 32","South"
"150eb3fc-c78a-46a8-8094-c878b14b7a21","","not-started","Precinct Cladding Checklist","checklist","FALSE","FALSE","Cladding QA","Level 32","West"
"98252fbb-7b53-49e6-a0a4-69d7b0816d9e","","not-started","","folder","TRUE","FALSE","Cladding QA","Level 31"
