"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Tower 1 Columns Progress"
,"Scope",,
,"Rows"
,,"Tower 1 Columns","grouping","tower 1 columns"
,,"L17-TC108",,"l17-tc108"
,,"L17-TC110",,"l17-tc110"
,,"L17-TC111",,"l17-tc111"
,,"L17-TC112",,"l17-tc112"
,,"L17-TC113",,"l17-tc113"
,,"L17-TC114",,"l17-tc114"
,,"L17-TC115",,"l17-tc115"
,,"L18-TC101",,"l18-tc101"
,,"L18-TC102",,"l18-tc102"
,,"L18-TC103",,"l18-tc103"
,,"L18-TC104",,"l18-tc104"
,,"L18-TC105",,"l18-tc105"
,,"L18-TC106",,"l18-tc106"
,,"L18-TC107",,"l18-tc107"
,,"L18-TC108",,"l18-tc108"
,,"L18-TC109",,"l18-tc109"
,,"L18-TC110",,"l18-tc110"
,,"L18-TC111",,"l18-tc111"
,,"L18-TC112",,"l18-tc112"
,,"L18-TC113",,"l18-tc113"
,,"L18-TC114",,"l18-tc114"
,,"L18-TC115",,"l18-tc115"
,,"L18-TC116",,"l18-tc116"
,,"L19-TC101",,"l19-tc101"
,,"L19-TC102",,"l19-tc102"
,,"L19-TC103",,"l19-tc103"
,,"L19-TC104",,"l19-tc104"
,,"L19-TC105",,"l19-tc105"
,,"L19-TC106",,"l19-tc106"
,,"L19-TC107",,"l19-tc107"
,,"L19-TC108",,"l19-tc108"
,,"L19-TC109",,"l19-tc109"
,,"L19-TC110",,"l19-tc110"
,,"L19-TC111",,"l19-tc111"
,,"L19-TC112",,"l19-tc112"
,,"L19-TC113",,"l19-tc113"
,,"L19-TC114",,"l19-tc114"
,,"L19-TC115",,"l19-tc115"
,,"L19-TC116",,"l19-tc116"
,,"L20-TC101",,"l20-tc101"
,,"L20-TC102",,"l20-tc102"
,,"L20-TC103",,"l20-tc103"
,,"L20-TC104",,"l20-tc104"
,,"L20-TC105",,"l20-tc105"
,,"L20-TC106",,"l20-tc106"
,,"L20-TC107",,"l20-tc107"
,,"L20-TC108",,"l20-tc108"
,,"L20-TC109",,"l20-tc109"
,,"L20-TC110",,"l20-tc110"
,,"L20-TC111",,"l20-tc111"
,,"L20-TC112",,"l20-tc112"
,,"L20-TC113",,"l20-tc113"
,,"L20-TC114",,"l20-tc114"
,,"L20-TC115",,"l20-tc115"
,,"L20-TC116",,"l20-tc116"
,,"L21-TC101",,"l21-tc101"
,,"L21-TC102",,"l21-tc102"
,,"L21-TC103",,"l21-tc103"
,,"L21-TC104",,"l21-tc104"
,,"L21-TC105",,"l21-tc105"
,,"L21-TC106",,"l21-tc106"
,,"L21-TC107",,"l21-tc107"
,,"L21-TC108",,"l21-tc108"
,,"L21-TC109",,"l21-tc109"
,,"L21-TC110",,"l21-tc110"
,,"L21-TC111",,"l21-tc111"
,,"L21-TC112",,"l21-tc112"
,,"L21-TC113",,"l21-tc113"
,,"L21-TC114",,"l21-tc114"
,,"L21-TC115",,"l21-tc115"
,,"L21-TC116",,"l21-tc116"
,,"L22-TC101",,"l22-tc101"
,,"L22-TC102",,"l22-tc102"
,,"L22-TC103",,"l22-tc103"
,,"L22-TC104",,"l22-tc104"
,,"L22-TC105",,"l22-tc105"
,,"L22-TC106",,"l22-tc106"
,,"L22-TC107",,"l22-tc107"
,,"L22-TC108",,"l22-tc108"
,,"L22-TC109",,"l22-tc109"
,,"L22-TC110",,"l22-tc110"
,,"L22-TC111",,"l22-tc111"
,,"L22-TC112",,"l22-tc112"
,,"L22-TC113",,"l22-tc113"
,,"L22-TC114",,"l22-tc114"
,,"L22-TC115",,"l22-tc115"
,,"L22-TC116",,"l22-tc116"
,,"L23-TC101",,"l23-tc101"
,,"L23-TC102",,"l23-tc102"
,,"L23-TC103",,"l23-tc103"
,,"L23-TC104",,"l23-tc104"
,,"L23-TC105",,"l23-tc105"
,,"L23-TC106",,"l23-tc106"
,,"L23-TC107",,"l23-tc107"
,,"L23-TC108",,"l23-tc108"
,,"L23-TC109",,"l23-tc109"
,,"L23-TC110",,"l23-tc110"
,,"L23-TC111",,"l23-tc111"
,,"L23-TC112",,"l23-tc112"
,,"L23-TC113",,"l23-tc113"
,,"L23-TC114",,"l23-tc114"
,,"L23-TC115",,"l23-tc115"
,,"L23-TC116",,"l23-tc116"
,,"L25-TC101",,"l25-tc101"
,,"L25-TC102",,"l25-tc102"
