Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Common Areas - BUILDING EXTERNAL Progress,,,,,
,Scope,,,Common Areas,
,Rows,,,,
,,BUILDING EXTERNAL,,Common Areas,Building External
,Columns,,,,
,,Quest Signage,,Quest Signage,
,,Surfaces,,Surfaces,
,,Paving,,Paving,
,,Grounds/Gardens,,Grounds/Gardens,
,,Lighting,,Lighting,
,,Other,,Other,
,,,,,
Common Areas - RECEPTION/LOBBY Progress,,,,,
,Scope,,,Common Areas,
,Rows,,,,
,,RECEPTION/LOBBY,,Common Areas,Reception/Lobby
,Columns,,,,
,,Reception counter,,reception counter,details
,,Signage & Wayfinding,,details,signage and wayfinding
,,Sense of arrival,,sense of arrival,details
,,Flooring,,flooring,details
,,Rug,,rug,details
,,Rug - Inspected Qty.,Inspected Quantity:,rug,details
,,Lighting,,lighting,details
,,Entrance,,entrance,details
,,Coffee station,,coffee station,details
,,Coffee station - Inspected Qty.,Inspected Quantity:,coffee station,details
,,Sofa 3-seater,,details,sofa 3-seater
,,Sofa 3-seater - Inspected Qty.,Inspected Quantity:,details,sofa 3-seater
,,Casual chairs,,casual chairs,details
,,Casual chairs - Inspected Qty.,Inspected Quantity:,casual chairs,details
,,Coffee table,,coffee table,details
,,Artwork,,details,artwork
,,Artwork - Inspected Qty.,Inspected Quantity:,details,artwork
,,"TV - 50"" LED",,details,"tv - 50"" led"
,,"TV - 50"" LED - Inspected Qty.",Inspected Quantity:,details,"tv - 50"" led"
,,Videos & Other Attachments,,other,videos & other attachments
,,,,,
Common Areas - PASSAGEWAYS Progress,,,,,
,Scope,,,Common Areas,
,Rows,,,,
,,PASSAGEWAYS,,Common Areas,Passageways
,Columns,,,,
,,Floor covering,,Floor covering,
,,Wayfinding - Room Numbers,,Wayfinding - Room Numbers,
,,Artwork,,Artwork,
,,Lighting,,Lighting,
,,Wall surfaces,,Wall surfaces,
,,Other,,Other,
,,,,,
,,,,,
Common Areas - BACK OF HOUSE Progress,,,,,
,Scope,,,Common Areas,
,Rows,,,,
,,BACK OF HOUSE,,Common Areas,Back of House
,Columns,,,,
,,Other,,Other,
,,,,,
Studio Progress,,,,,
,Scope,,,Studio,
,Rows,,,,
,,Studio,dynamic,Studio,
,Columns,,,,
,,Kitchen - Dessert Spoon (stainless steel),,Dessert Spoon (stainless steel),Kitchen
,,Kitchen - Dessert Spoon (stainless steel) - Inspected Qty.,Inspected Quantity,Dessert Spoon (stainless steel),Kitchen
,,Kitchen - Teaspoon (stainless steel),,Teaspoon (stainless steel),Kitchen
,,Kitchen - Teaspoon (stainless steel) - Inspected Qty.,Inspected Quantity,Teaspoon (stainless steel),Kitchen
,,Kitchen - Fork (stainless steel),,Fork (stainless steel),Kitchen
,,Kitchen - Fork (stainless steel) - Inspected Qty.,Inspected Quantity,Fork (stainless steel),Kitchen
,,Kitchen - Knife (stainless steel),,Knife (stainless steel),Kitchen
,,Kitchen - Knife (stainless steel) - Inspected Qty.,Inspected Quantity,Knife (stainless steel),Kitchen
,,Kitchen - Soup Spoon (stainless steel),,Soup Spoon (stainless steel),Kitchen
,,Kitchen - Soup Spoon (stainless steel) - Inspected Qty.,Inspected Quantity,Soup Spoon (stainless steel),Kitchen
,,"Kitchen - Kitchen knives 3-Pc knife set: cooks, bread & vegetable/pairing (stainless steel)",,"Kitchen knives 3-Pc knife set: cooks, bread & vegetable/pairing (stainless steel)",Kitchen
,,"Kitchen - Kitchen knives 3-Pc knife set: cooks, bread & vegetable/pairing (stainless steel) - Inspected Qty.",Inspected Quantity,"Kitchen knives 3-Pc knife set: cooks, bread & vegetable/pairing (stainless steel)",Kitchen
,,Kitchen - 30cm Stirring wooden spoon,,30cm Stirring wooden spoon,Kitchen
,,Kitchen - 30cm Stirring wooden spoon - Inspected Qty.,Inspected Quantity,30cm Stirring wooden spoon,Kitchen
,,Kitchen - Sieve 150mm (stainless steel),,Sieve 150mm (stainless steel),Kitchen
,,Kitchen - Sieve 150mm (stainless steel) - Inspected Qty.,Inspected Quantity,Sieve 150mm (stainless steel),Kitchen
,,Kitchen - Heavy duty twist type can opener (white),,Heavy duty twist type can opener (white),Kitchen
,,Kitchen - Heavy duty twist type can opener (white) - Inspected Qty.,Inspected Quantity,Heavy duty twist type can opener (white),Kitchen
,,Kitchen - Metal whisk (chrome),,Metal whisk (chrome),Kitchen
,,Kitchen - Metal whisk (chrome) - Inspected Qty.,Inspected Quantity,Metal whisk (chrome),Kitchen
,,Kitchen - Grater (stainless steel),,Grater (stainless steel),Kitchen
,,Kitchen - Grater (stainless steel) - Inspected Qty.,Inspected Quantity,Grater (stainless steel),Kitchen
,,Kitchen - Tongs (stainless steel),,Tongs (stainless steel),Kitchen
,,Kitchen - Tongs (stainless steel) - Inspected Qty.,Inspected Quantity,Tongs (stainless steel),Kitchen
,,Kitchen - Salad servers,,Salad servers,Kitchen
,,Kitchen - Salad servers - Inspected Qty.,Inspected Quantity,Salad servers,Kitchen
,,Kitchen - Waiters friend/corkscrew & bottle opener,,Waiters friend/corkscrew & bottle opener,Kitchen
,,Kitchen - Waiters friend/corkscrew & bottle opener - Inspected Qty.,Inspected Quantity,Waiters friend/corkscrew & bottle opener,Kitchen
,,Kitchen - Vegetable peeler,,Vegetable peeler,Kitchen
,,Kitchen - Vegetable peeler - Inspected Qty.,Inspected Quantity,Vegetable peeler,Kitchen
,,Kitchen - Potato masher,,Potato masher,Kitchen
,,Kitchen - Potato masher - Inspected Qty.,Inspected Quantity,Potato masher,Kitchen
,,Kitchen - Slotted turner/egg lifter,,Slotted turner / egg lifter,Kitchen
,,Kitchen - Slotted turner/egg lifter - Inspected Qty.,Inspected Quantity,Slotted turner / egg lifter,Kitchen
,,Kitchen - Slotted spoon,,Slotted spoon,Kitchen
,,Kitchen - Slotted spoon - Inspected Qty.,Inspected Quantity,Slotted spoon,Kitchen
,,Kitchen - Solid serving spoon,,Solid serving spoon,Kitchen
,,Kitchen - Solid serving spoon - Inspected Qty.,Inspected Quantity,Solid serving spoon,Kitchen
,,Kitchen - Baking dish clear,,Baking dish clear,Kitchen
,,Kitchen - Baking dish clear - Inspected Qty.,Inspected Quantity,Baking dish clear,Kitchen
