"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"70389457-96a3-4034-bfb1-fc61ab278718","","not-started","","folder","TRUE","FALSE","Common Areas"
"299afaa8-7344-48f7-b1a3-8a2a5a8bc5c3","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"891d0824-07d8-45c3-bc4d-879f9ef8b9e2","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"22de5a66-342e-4412-aaaf-40642309361f","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"c32922a8-2104-4d47-93c0-e9151b5f81b3","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"4e46d6f1-8505-4ebb-b6eb-9bd827482592","","not-started","","folder","TRUE","FALSE","Studio"
"7b5497ee-634b-4524-bc71-6673a557f87f","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"69923a3b-7dce-40e4-933f-a61c4c2c28f5","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"c1991893-4822-41df-881b-abdaeae924c5","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"8bb0f9fc-53de-4897-a4a5-03bbee2a528b","","not-started","","folder","TRUE","FALSE","Studio Executive Apartment"
"07ac4848-4e64-4263-8623-a70e312cedaa","","not-started","Studio","checklist","FALSE","FALSE","Studio Executive Apartment","Room #"
"fb5a1d66-b918-4511-96a9-2ffd2f3d8f5f","","not-started","Studio","checklist","FALSE","FALSE","Studio Executive Apartment","Room #"
"2e75e7a2-3c5c-4cee-96e0-d291f1c1755e","","not-started","Studio","checklist","FALSE","FALSE","Studio Executive Apartment","Room #"
"0d70a35a-e2c4-4b5c-b782-2a139eea9e13","","not-started","","folder","TRUE","FALSE","One Bedroom"
"f7aa2c08-51e3-486e-a5de-cd31456d5957","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom","Room #"
"f12eaed0-7ef6-45c3-b744-8e06bb7aa2f3","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom","Room #"
"c1cf7512-e8a1-4ccb-809c-7988cd4cb4d5","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom","Room #"
"b14c16a6-8127-43f9-86d2-03b5b262b433","","not-started","","folder","TRUE","FALSE","Two Bedroom"
"192389a3-cad3-4603-aa19-8512fbeb88fe","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom","Room #"
"89d667df-d124-4f56-8d17-2d323811f976","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom","Room #"
"d9538b97-8cc7-4f41-a6a1-d244f4809ebc","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom","Room #"
