"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
,,"Inspected Quantity","Inspected Quantity","kitchen","champagne flute 165ml"
,,"Wine glass 260ml",,"kitchen","wine glass 260ml"
,,"Inspected Quantity","Inspected Quantity","kitchen","wine glass 260ml"
,,"Cup & saucer white",,"cup & saucer white","kitchen"
,,"Inspected Quantity","Inspected Quantity","cup & saucer white","kitchen"
,,"Bread & butter plate (white)",,"kitchen","bread & butter plate (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","bread & butter plate (white)"
,,"Dinner plate (white)",,"kitchen","dinner plate (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","dinner plate (white)"
,,"Mug (white)",,"kitchen","mug (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","mug (white)"
,,"Side plate (white)",,"kitchen","side plate (white)"
,,"Inspected Quantity","Inspected Quantity","kitchen","side plate (white)"
,,"1 cutlery tray for top drawer",,"kitchen","1 cutlery tray for top drawer"
,,"Inspected Quantity","Inspected Quantity","kitchen","1 cutlery tray for top drawer"
,,"Non-slip mat for other kitchen drawers",,"kitchen","non-slip mat for other kitchen drawers"
,,"Inspected Quantity","Inspected Quantity","kitchen","non-slip mat for other kitchen drawers"
,,"Salt & pepper grinders (white)",,"salt & pepper grinders (white)","kitchen"
,,"Inspected Quantity","Inspected Quantity","salt & pepper grinders (white)","kitchen"
,,"Plastic storage container, 2.7 litre, click and lock",,"kitchen","plastic storage container, 2.7 litre, click and lock"
,,"Inspected Quantity","Inspected Quantity","kitchen","plastic storage container, 2.7 litre, click and lock"
,,"2-cup coffee plunger",,"kitchen","2-cup coffee plunger"
,,"Inspected Quantity","Inspected Quantity","kitchen","2-cup coffee plunger"
,,"Glass water jug with lid",,"glass water jug with lid","kitchen"
,,"Inspected Quantity","Inspected Quantity","glass water jug with lid","kitchen"
,,"Placemats",,"placemats","kitchen"
,,"Inspected Quantity","Inspected Quantity","placemats","kitchen"
,,"Coasters",,"coasters","kitchen"
,,"Inspected Quantity","Inspected Quantity","coasters","kitchen"
,,"Toaster (stainless steel)",,"toaster (stainless steel)","kitchen"
,,"Inspected Quantity","Inspected Quantity","toaster (stainless steel)","kitchen"
,,"Jug cordless, auto electric (stainless steel)",,"kitchen","jug cordless, auto electric (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","jug cordless, auto electric (stainless steel)"
,,"Chopping board",,"chopping board","kitchen"
,,"Inspected Quantity","Inspected Quantity","chopping board","kitchen"
,,"Salad bowl",,"salad bowl","kitchen"
,,"Inspected Quantity","Inspected Quantity","salad bowl","kitchen"
,,"Cleaning items",,"cleaning items","kitchen"
,,"Dish drainer 45 x 35 x 14cm (chrome)",,"kitchen","dish drainer 45 x 35 x 14cm (chrome)"
,,"Inspected Quantity","Inspected Quantity","kitchen","dish drainer 45 x 35 x 14cm (chrome)"
,,"Plastic dish brush with drainer",,"plastic dish brush with drainer","kitchen"
,,"Inspected Quantity","Inspected Quantity","plastic dish brush with drainer","kitchen"
,,"Brush & shovel",,"brush & shovel","kitchen"
,,"Inspected Quantity","Inspected Quantity","brush & shovel","kitchen"
,,"12 litre dual compartment bin (chrome/black)",,"kitchen","12 litre dual compartment bin (chrome/black)"
,,"Inspected Quantity","Inspected Quantity","kitchen","12 litre dual compartment bin (chrome/black)"
,,"Hot plate 2 burner (ceramic)",,"kitchen","hot plate 2 burner (ceramic)"
,,"Inspected Quantity","Inspected Quantity","kitchen","hot plate 2 burner (ceramic)"
,,"Oven-F&P (ceramic)",,"kitchen","oven-f&p (ceramic)"
,,"Inspected Quantity","Inspected Quantity","kitchen","oven-f&p (ceramic)"
,,"Rangehood extractor (60cm slide out or power pack, stainless steel)",,"kitchen","rangehood extractor (60cm slide out or power pack, stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","rangehood extractor (60cm slide out or power pack, stainless steel)"
,,"Microwave Minimum 23ltr (stainless steel)",,"kitchen","microwave minimum 23ltr (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","microwave minimum 23ltr (stainless steel)"
,,"Dishwasher (stainless steel)",,"kitchen","dishwasher (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","dishwasher (stainless steel)"
,,"Frost free fridge (stainless steel). Minimum 100 litre (with Ice box)",,"kitchen","frost free fridge (stainless steel). minimum 100 litre (with ice box)"
,,"Inspected Quantity","Inspected Quantity","kitchen","frost free fridge (stainless steel). minimum 100 litre (with ice box)"
,,"Ice cube tray",,"kitchen","ice cube tray"
,,"Inspected Quantity","Inspected Quantity","kitchen","ice cube tray"
,,"Sink insert (stainless steel)",,"kitchen","sink insert (stainless steel)"
,,"Inspected Quantity","Inspected Quantity","kitchen","sink insert (stainless steel)"
,,"Benchtop Stone",,"kitchen","benchtop stone"
,,"Joinery – Cabinets",,"kitchen","joinery – cabinets"
,,"Luggage rack",,"bedroom","luggage rack"
,,"Inspected Quantity","Inspected Quantity","bedroom","luggage rack"
,,"Steam Iron",,"bedroom","steam iron"
,,"Inspected Quantity","Inspected Quantity","bedroom","steam iron"
,,"Ironing board",,"ironing board","bedroom"
,,"Inspected Quantity","Inspected Quantity","ironing board","bedroom"
,,"Spare blanket",,"spare blanket","bedroom"
,,"Inspected Quantity","Inspected Quantity","spare blanket","bedroom"
,,"Coat hangers wooden 10-50% skirt clips",,"coat hangers wooden 10-50% skirt clips","bedroom"
,,"Inspected Quantity","Inspected Quantity","coat hangers wooden 10-50% skirt clips","bedroom"
,,"King size bed",,"king size bed","bedroom"
,,"Inspected Quantity","Inspected Quantity","king size bed","bedroom"
,,"Mattress protection",,"mattress protection","bedroom"
,,"Inspected Quantity","Inspected Quantity","mattress protection","bedroom"
,,"Triple sheeting",,"triple sheeting","bedroom"
,,"Inspected Quantity","Inspected Quantity","triple sheeting","bedroom"
