"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"84d7035a-4eeb-4e3c-a0d9-5d3e26be1750","","fail","","folder","TRUE","FALSE","Quest Carlaw Park"
"ea8fa295-0ba9-4600-8ccc-4a55fffdbd8b","","fail","","folder","TRUE","FALSE","Quest Carlaw Park","Common Areas"
"9fde0984-bb65-442a-95ee-40662245f822","","fail","","folder","TRUE","FALSE","Quest Carlaw Park","Common Areas","RECEPTION/LOBBY"
"86a52280-8a45-47c2-82fd-0c2685af7878","","fail","6f9f96c59f3311eebec04e006c075053c9a9185665637e94dc0a679487dcb5c4","checklist","FALSE","FALSE","Quest Carlaw Park","Common Areas","RECEPTION/LOBBY","RECEPTION/LOBBY"
"6ec72a95-9b3a-47c7-b62b-251c3fbfe896","","no-status-not-started","","folder","TRUE","FALSE","Quest Carlaw Park","Common Areas","LIFTS O/A"
"98129e14-e277-4479-8273-7d3c156f033f","","no-status-not-started","","folder","TRUE","FALSE","Quest Carlaw Park","Common Areas","CORRIDORS O/A"
"d55c3a6b-03e5-4a89-87d0-bdee503f8f07","","fail","","folder","TRUE","FALSE","Quest Carlaw Park","Studio"
"14974194-4fe9-460c-81a8-2a9b06295870","","fail","ff3a65bc431a6070420be4a38a44a798cbed4d4a47469b71b19aafbb98281ede","checklist","FALSE","FALSE","Quest Carlaw Park","Studio","Room #109"
"b6038fae-cb18-4772-82b3-3fdde2b494cd","","fail","ff3a65bc431a6070420be4a38a44a798cbed4d4a47469b71b19aafbb98281ede","checklist","FALSE","FALSE","Quest Carlaw Park","Studio","Room #112"
"e0bf09fa-5de5-4159-8756-4fd2386adf91","","fail","Studio","checklist","FALSE","FALSE","Quest Carlaw Park","Studio","Room #218"
"494f71eb-2c16-4a91-9bdd-7c93972f3792","","fail","","folder","TRUE","FALSE","Quest Carlaw Park","One Bedroom"
"1f02d070-86e8-44da-ac1f-98230431d5f8","","fail","8f8ad8bb9485469d6d0e6ca0eccac1ce0416728c56ff5f7f1b43f91e36422845","checklist","FALSE","FALSE","Quest Carlaw Park","One Bedroom","Room #101"
"519b17d2-99b5-433b-9d93-3c8748c2ecda","","fail","8f8ad8bb9485469d6d0e6ca0eccac1ce0416728c56ff5f7f1b43f91e36422845","checklist","FALSE","FALSE","Quest Carlaw Park","One Bedroom","Room #205"
"4d4db05e-43ca-448f-9344-79c87ddbedd8","","not-started","1 Bedroom","checklist","FALSE","FALSE","Quest Carlaw Park","One Bedroom","Room #"
"170d8dd3-8dc5-4ab9-a884-f8a0c040d97a","","fail","","folder","TRUE","FALSE","Quest Carlaw Park","Two Bedroom"
"9cda0373-4f67-4f43-b858-85492880c172","","fail","2 Bedroom","checklist","FALSE","FALSE","Quest Carlaw Park","Two Bedroom","Room #303"
"42c5cb7e-3d37-426f-9862-fbd64d9a5c1b","","not-started","1 Bedroom","checklist","FALSE","FALSE","Quest Carlaw Park","Two Bedroom","Room #"
"23b9c11f-4a72-48fa-bf77-14b884bb02aa","","not-started","1 Bedroom","checklist","FALSE","FALSE","Quest Carlaw Park","Two Bedroom","Room #"
