"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"86ae34a0-385c-4f91-b38e-6f31939e50be","","not-started","","folder","TRUE","FALSE","Common Areas"
"239b3ba7-5c08-4c8d-9154-d55516ff350a","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"04afaff3-2a82-4479-ba82-e027aa3f42da","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"d050dded-813a-4f98-929d-8e2a252e4871","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"43d88ec0-3de0-43e2-b223-b2d09313b40e","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"fd9ef32b-4b12-4171-96ea-36f56ad470d7","","not-started","","folder","TRUE","FALSE","Studio Apartment"
"d3e6daac-e750-48e3-a426-55f46e50a5ba","","not-started","Studio","checklist","FALSE","FALSE","Studio Apartment","Room #"
"e1c8dc07-c10c-46b6-a98e-422a2cbaafcf","","not-started","Studio","checklist","FALSE","FALSE","Studio Apartment","Room #"
"26cf629d-1c71-4370-91ba-2c262b4e308c","","not-started","","folder","TRUE","FALSE","Studio Superior Apartment"
"2d85fcdc-9ccc-4b10-a343-8bc498860870","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior Apartment","Room #"
"10554411-56cd-4a8f-9628-47a80697aeeb","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior Apartment","Room #"
"01b033a9-7eee-4dd7-a042-e6cc834532c7","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"e58239aa-9c9b-4151-b35e-3f94ee17ceb5","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"a367fba0-e1f2-4874-a684-ba1fcc4dcc8c","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"ce549539-9975-4ba8-8840-32322ce447ea","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"a89f37d5-b513-4c3b-8b2e-d3c4f3fbd441","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"b0a7575c-5e5b-4371-b754-9d3c1d936afb","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"a9674868-f5b9-4ad3-8eaf-1b05cc0b7a7d","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior Apartment"
"ca8b4772-38c0-495b-8dd0-8d9dc757ad98","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior Apartment","Room #"
"83a561cc-260a-4406-8970-6e3122a633f7","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior Apartment","Room #"
"cf7b332b-df4e-4660-afd7-1e4c0ac80d92","","not-started","","folder","TRUE","FALSE","Two Bedroom Executive Apartment"
"198787a5-bd2d-4088-a1dd-3c3cec5ed399","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Executive Apartment","Room #"
"2a0abb33-b0dd-4df6-a9ac-5065bc490b1b","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Executive Apartment","Room #"
