"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f9e8ba54-22c0-45ab-93eb-b69255af360b","","not-started","","folder","TRUE","FALSE","Common Areas"
"d323b634-a045-400a-8f94-c5d43a462512","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"3b69925c-00e1-4f96-8cbf-5df2f35f1866","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"69c53387-3b71-4fdf-9b06-52431b64cd9a","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"1e9a24b5-351e-43c0-b901-d5f2fe80bf0e","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"eda0fee5-eaa7-4d56-a399-dfabf8d1cd3b","","not-started","","folder","TRUE","FALSE","Studio"
"e5073dec-f7ca-406c-800f-d986ab2bb88a","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"1d3ab365-4ecc-4108-8fcb-d163b455737f","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"2966b122-e885-439f-b052-d1e2af1397cb","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"4ff79f20-5fce-4cb1-9d9a-cd4b0232fdff","","not-started","","folder","TRUE","FALSE","Studio Executive"
"a9abf5c7-88d0-46e0-bfc0-bdafa97bcb5b","","not-started","Studio","checklist","FALSE","FALSE","Studio Executive","Room #"
"17891bf6-d5e4-44a4-aa35-2d39736e5830","","not-started","Studio","checklist","FALSE","FALSE","Studio Executive","Room #"
"db41d07a-117e-4f9a-b3cd-c36f9b7358bc","","not-started","Studio","checklist","FALSE","FALSE","Studio Executive","Room #"
"c65774e1-cbf9-4d39-a253-22f7bdd58c8a","","not-started","","folder","TRUE","FALSE","One Bedroom"
"05f568a0-e86a-410d-864a-682389b4e8ee","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom","Room #"
"ece74eba-73ae-49e9-9bc8-1c23b5abecbe","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom","Room #"
"3571c17a-dd7d-4960-85f3-9f9b3b4002d6","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom","Room #"
"f99a6048-4840-4d7e-8304-d328a81f61de","","not-started","","folder","TRUE","FALSE","Two Bedroom"
"68eea384-cb53-4e37-9430-ca0e5685c3b7","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom","Room #"
"28c266c2-2c5d-4a85-b677-8779fb222a9c","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom","Room #"
"80cb307d-9cfb-4d17-8cc0-7d680cbf4196","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom","Room #"
"bbd83436-d1c6-49b5-8650-1ee01708d969","","not-started","","folder","TRUE","FALSE","Two Bedroom Executive"
"8d82f6e3-b5a9-456f-bfda-48c153c230d1","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Executive","Room #"
"d7b7675f-7e85-4393-976e-af5a12fcdd3e","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Executive","Room #"
"92aea2a2-a9d0-4fea-910a-df8ca0a661de","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Executive","Room #"
