type,name,values,prefix,postfix,usage count,user addable,template name
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,BMS Zone Sensor Rough In Checklist,,,,,,BMS Zone Sensor Rough In Checklist
checkpoint,Wall installed,,,,,,
checkpoint,1 pair cable roughed in,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,AHPB Rough in Checklist,,,,,,AHPB Rough in Checklist
checkpoint,Wall installed,,,,,,
checkpoint,2 pair cable roughed in,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and room is clean,,,,,,
,,,,,,,
checklist-flat,DOL FAN Rough-in Checklist,,,,,,DOL FAN Rough-in Checklist
checkpoint,Fan Installed,,,,,,
checkpoint,Local switch roughed in,,,,,,
checkpoint,Cables through roof,,,,,,
checkpoint,"Conduit, decktites installed, penetration watersealed",,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,DOL FAN PBO Rough-in Checklist,,,,,,DOL FAN PBO Rough-in Checklist
checkpoint,Fan Installed,,,,,,
checkpoint,Isolator installed by others,,,,,,
checkpoint,Local switch roughed in,,,,,,
checkpoint,Cables through roof,,,,,,
checkpoint,"Conduit, decktites installed, penetration watersealed",,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,Central Controller Fit off Checklist,,,,,,Central Controller Fit off Checklist
checkpoint,All transmission cabling and interfcae cards installed and fitoff,,,,,,
checkpoint,Central controller controller Fit off to correct wall position,,,,,,
,,,,,,,
checklist-flat,DOL FAN/PUMP Fit off Checklist,,,,,,DOL FAN/PUMP Fit off Checklist
checkpoint,Isolator installed,,,,,,
checkpoint,Power supply terminated,,,,,,
checkpoint,Control cable fit off,,,,,,
checkpoint,Ready for energisation,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
checkpoint,Chiller in final position,,,,,,
checkpoint,Power supply terminated,,,,,,
checkpoint,Control cable fit off,,,,,,
checkpoint,Ready for energisation,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,VSD FAN/PUMP Fit off Checklist,,,,,,VSD FAN/PUMP Fit off Checklist
checkpoint,VSD installed,,,,,,
checkpoint,Power supply terminated/Isolator installed,,,,,,
checkpoint,EMC cable fit off,,,,,,
checkpoint,Control cable fit off,,,,,,
checkpoint,Ready for energisation,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
checklist-flat,EC FAN Fit off Checklist,,,,,,EC FAN Fit off Checklist
checkpoint,Power supply terminated,,,,,,
checkpoint,Control cable fit off,,,,,,
checkpoint,Ready for energisation,,,,,,
checkpoint,Ensure all rubbish and materials have been picked up and area is clean,,,,,,
,,,,,,,
