"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cf011aa4-5cd9-4e7b-a883-7aa1d140d165","","","","folder","TRUE","FALSE","Basement 1"
"f9327b98-5d51-4a49-82b2-e00f62f72d7a","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 1","B1-CP01"
"1a48dd9c-acf0-42a2-8975-34285606a9a2","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 1","B1-CP03"
"af9479b9-0fb2-4f3b-83b0-6f60667e18ba","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 1","B1-P01"
"54c179b0-ee8f-4a7a-b1e4-14be6b610623","","","","folder","TRUE","FALSE","Basement 2"
"2afa8f90-a278-485d-9bbc-fcc9a40823f8","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C01"
"e58b3035-a92d-4c72-a4c3-4c919075e32d","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C02"
"0867d130-b6c0-44a7-9ae9-bfb4784eaa35","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C03"
"3693f79d-4d08-4def-a87d-4297c59cab7c","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C04"
"6c5b1580-84a8-43cf-98a5-a241d4652254","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C05"
"c136f740-183b-4892-aebd-d828527b05d0","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C06"
"6449f0ce-04c9-4078-b44e-ef57b8178dee","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C07"
"544e21bb-33ec-45ee-a228-699d1d1ec51b","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C08"
"be6e7d43-3df7-439f-9dde-7e59b035f07e","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C09"
"5db23fb2-4299-42d2-80e8-160a4e94b82e","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C10"
"93071e8e-df5c-4a50-ba3a-49d45e820cbf","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C11"
"45ebc789-8164-47aa-ab99-159ed79d48e8","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-C12"
"621a99f1-6fd6-4165-854b-4306e32c5fef","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-CP01"
"dbcc4d7a-5d98-44ed-bed6-ac04b3598fe3","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-CP02"
"9fd41355-2505-469d-a700-d32f230f0cd9","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-CP03"
"704ff941-0505-433d-8fab-d7efc9cad00d","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-CP04"
"2bdd54e2-9760-469b-9929-13a64a963b6e","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-P01"
"cbc68100-39c2-440d-ba20-6332359429fc","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-P02"
"35348dd0-60a4-480e-886c-2a628d19478b","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-P03"
"2a3da490-3b22-434d-bc5f-d7904de131f4","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-P04"
"e18305b2-4ea6-4203-b597-8e7b302b86fa","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-P05"
"efc11b0b-eecb-4bb0-8c07-9b64c00bb2c2","","","SYS - B1-CP01","checklist","FALSE","FALSE","Basement 2","B2-P06"
"39da936d-7694-47ae-acbd-e9445e02f01f","","","","folder","TRUE","FALSE","Ground Floor"
"026eaa7d-4351-4a8c-a038-7fbbadf68bbb","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C13"
"734b9db8-3761-4f40-b013-0583d4f1314a","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C14"
"4d4cdde9-0777-44d8-8837-7f5cc3b64d8b","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C15"
"e2526a01-90ba-46f8-b34b-8920b381dff5","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C16"
"a080a4c4-fd30-49eb-94cb-8a6af0e8963f","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C17"
"1aba7986-16f4-4dce-a84a-3d78369e6693","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C18"
"f96f1288-0e97-4891-8d9b-fa3423a9c6ee","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C19"
"d163c083-db2a-4915-9c80-134442342eaa","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C20"
"cf3ceb55-133a-4326-8df2-444bba49045d","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C21"
"f712e9e2-0183-4f9c-ade9-988d0e49ddab","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C22"
"d16e4006-eaaa-4420-b16b-f0e0bcf36a2d","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C23"
"e7c12cb0-e842-4c3b-8e41-6c75346c2dab","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-C24"
"b6f46099-42a0-4e44-aa95-6c71fea6fc48","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP01A"
"91536dff-7cae-4403-b805-b406d8068b94","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP01B"
"c9c67c38-1df3-4b6f-a0bf-7bb30cbfe350","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP02"
"a5f8ff04-c73a-4b57-a3f6-d647231ed64e","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP03A"
"abc52584-354a-4d11-be7a-9831d174c212","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP03B"
"509073ee-11dd-43f8-a006-33dde6fe8a0b","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP04"
"59415012-1841-451d-8739-01b8ef0655cb","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP05A"
"b0744a92-f080-4291-b108-8e87da7495d3","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP05B"
"af6725b2-3e91-49a6-84e2-0442d4bd9791","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP06"
"318fae8d-7184-47c2-8080-ba1818a99eb9","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP07A"
"3c9537b9-a8b3-4c27-9488-e21f3e17d0be","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP07B"
"b1f92a69-dffc-4864-8acc-f0d430516d32","","","SYS - B1-CP01","checklist","FALSE","FALSE","Ground Floor","G-CP08"
