"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"afe50533-b6f8-4211-941b-1ab5803b103a","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA"
"696a6906-bf8d-4f7c-bc3c-a94b419c210d","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","B01"
"3a388a8b-e50c-46e5-9bae-ec6ceb8c1c2a","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","B01","Flooring"
"2f6d6599-fcfe-4018-8b9c-323a8caa92ba","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230426-12"
"c6972e37-b194-4436-8466-01516dac4f0b","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230427-06"
"87eb3a4c-1ea4-40fa-9b5b-ee286194d07c","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230427-03"
"df74b4bf-014e-4611-b5e3-b33274dfd41b","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230501-26"
"14c1f251-d2f3-4196-92ee-7829befb4068","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230501-27"
"45cc889e-5876-4d76-a36d-ebb4f47a878b","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230502-17"
"bdd1913c-b999-4959-9d17-e74e01f4b11c","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230503-14"
"3f576c06-0927-4e6d-9843-fa265b6e0404","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230510-20"
"73fad19c-8b18-4405-ab09-b8f249fa7c1a","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230512-32"
"dd402cbf-d251-4272-b872-5bdd0477c47d","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Flooring","230516-25"
"d0181c5e-def1-48a2-9b96-11c1169b3e68","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","B01","Dispatch"
"5209ccf4-65cf-4712-bbf7-b775e36852fa","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Production Layout sheet"
"d9ebec82-1a19-4135-add9-1496b88f533b","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","B01","Dispatch Layout Sheet"
"32235d6f-0091-497e-952f-299019fe1b90","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","GC"
"9749330f-084c-4893-a948-a4331fb18d51","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","GC","Flooring"
"084566d6-ce7d-42e5-a1e5-471918120811","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230607-45"
"d5808401-43c9-4699-9182-841af80224d3","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230608-38"
"e243da4c-791a-4203-ad88-d4142e919c54","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230609-40"
"a52d7d8f-2b72-44f4-89ce-b347db7da803","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230612-29"
"5c30cb96-4af4-40dd-9928-7830542a08cc","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230613-25"
"042de97e-3ee7-4844-a493-28c140ed466e","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230615-21"
"442a1afb-5984-4910-9154-00b38bb87d6e","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230614-23"
"4f957cf0-bdfd-444b-af9a-b5ac211ffb33","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Flooring","230616-14"
"8695d64c-e14a-4a54-a323-9d3a431be6e7","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","GC","Dispatch"
"c1db8b2e-d935-4aff-83e5-d754a06e26a7","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Production Layout sheet"
"3825343e-8bc7-4f54-aa60-5706c14bdd69","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","GC","Dispatch Layout Sheet"
"a6dc362e-aff9-4dc9-8e0f-4c2562f5c5c1","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","GC","Curing photos"
"4fe0bd6a-222e-41be-a36c-a24885c7d66d","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L1"
"7b59f9c5-e2c0-4d90-9145-af152dd5f817","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L1","Flooring"
"90c0c6b4-75cd-4c12-ac88-532b97eef69b","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L1","Dispatch"
"9e9ab08d-eba1-45b2-987d-222464bc5f13","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Dispatch","3 - DispatchD011"
"c2934de5-ac07-4192-a870-cca435cdde4b","","checklist-flat","","3 - Dispatch","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Dispatch","3 - DispatchD015"
"60863f5a-fb3b-4fcf-8ce6-15fcc5e21cfd","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Production Layout sheet"
"70259f2c-ac21-44b8-9ce6-6467136bab96","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L1","Dispatch Layout Sheet"
"8ab0c47f-ae09-43ef-bd03-7cbb79d54d25","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L2"
"95e41f3d-0a25-4363-8b4a-2044a4636750","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L2","Flooring"
"9ff18f0f-1d2b-4be2-81e6-949564c20fad","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L2","Dispatch"
"a156f360-7f47-4491-9645-e26ebcd50e04","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L2","Production Layout sheet"
"44b5d2cf-8dc6-4ff3-bf36-b8e745e6c4ef","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L2","Dispatch Layout Sheet"
"07e4c07a-4e0c-4e67-8312-9ed621f42bd3","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L3"
"88938712-57e0-4f81-b2e8-7d8970aa13b6","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L3","Flooring"
"a779e6ed-a7b1-404c-abe0-3f6d7c0fe835","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L3","Dispatch"
"a572e5de-290e-41d9-87c7-f8fadf6105cd","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L3","Production Layout sheet"
"54d479b3-e169-48ad-bd7e-f76750944e7c","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L3","Dispatch Layout Sheet"
"b5b9bff6-ca21-47d0-928a-826d637731ab","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L4"
"03ea36e6-37c1-4c93-812f-c609ce609ecc","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L4","Flooring"
"8a6e2812-4e78-4261-b2a8-afedabb1bdc3","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L4","Dispatch"
"9fd2f22c-0b46-4c6f-b43c-dba9946c6207","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L4","Production Layout sheet"
"4886eba6-62f9-4979-a2c3-6d3072503d93","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L4","Dispatch Layout Sheet"
"fdd1c5e6-a4eb-4067-a885-b64cee1ccce2","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L5"
"2e918b20-d2e0-4825-b4e7-0f9f61bfd6db","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L5","Flooring"
"e0c4bfd8-fe60-40d1-9f07-f1706bbd2408","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L5","Dispatch"
"e59f512d-4b0d-43c1-8742-446ebd791157","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L5","Production Layout sheet"
"87259a90-8f69-41b3-9b64-96398e1aaae1","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L5","Dispatch Layout Sheet"
"3477ef1a-24e4-40e7-953f-717a7b67cbdc","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L6"
"7e49295f-f914-467d-9b28-455b312f51be","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L6","Flooring"
"93f4fe1f-6a6a-4661-a81e-495719b5bb91","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L6","Dispatch"
"c26d8630-c735-4cad-a6ff-37ca2c7e21b4","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L6","Production Layout sheet"
"7c423ffc-85b0-438b-bfb9-ecc52ae4d976","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L6","Dispatch Layout Sheet"
"049329a8-8497-40dd-90ca-888510843757","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L7"
"eee9f72b-5ba8-45bd-b474-cbad18405c9d","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L7","Flooring"
"9c1e0b81-e7ec-4477-b55d-5dd2c12199f0","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L7","Dispatch"
"7583106d-80e8-42cf-858f-1e0b56f5cfb5","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L7","Production Layout sheet"
"c1446e54-779f-4a01-bd3b-ef54e27c8f6f","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L7","Dispatch Layout Sheet"
"b28b332a-b097-487e-9fcb-23fad6ca1af9","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L8"
"63fa29ca-09b1-4dd3-a1d3-92142423bb35","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L8","Flooring"
"0804f89a-cf13-40cf-89e4-2c3a06ce4eb3","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","L8","Dispatch"
"7619dec2-f09d-43ed-b971-877f37fead6d","","checklist-flat","","Production Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L8","Production Layout sheet"
"2999d806-4f63-4ec8-8e53-7bf2533708d4","","checklist-flat","","Dispatch Layout Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","L8","Dispatch Layout Sheet"
"fac03be3-e56d-4e35-b0f5-e3915844586f","","folder-normal","","","step","TRUE","FALSE","Manufacturing QA","Level B double T"
"94eb12a7-a7ad-4392-aada-3b76c78b2a34","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230421-12"
"a9822587-c2c7-4e50-84bf-29cc3cf3eb61","","checklist-flat","","2 - Unit / Mark","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230426-05"
"58598e82-ad0b-43dd-a6ff-0d997b390c28","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230428-16"
"f07ea786-ba83-454e-9aed-7f599c5db3b1","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230503-18"
"10883a19-1bd9-4283-b45f-78a2d6b1f656","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230504-09"
"53aa82db-c042-489c-be52-76b78bef0024","","checklist-flat","","1 - Production Sheet","checklist-flat","FALSE","FALSE","Manufacturing QA","Level B double T","230505-16"
