"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6dce4861-681a-4394-93aa-7ca1472f6794","","checklist-flat","pass","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"ea04efc4-7d41-4bdf-8b83-1987372cb039","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA"
"c6d42582-3ed0-4547-bc25-104e8ea346f2","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA","Welded Flashings"
"ae10a96a-42e8-44ce-b1bd-3f1ae5589daa","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","28 x Soaker flashing to dormer junction (Refer detail F,G,H,J,K/A.6-1-1)"
"dd9053e8-f9e3-4dda-abb0-dd20ce9327b4","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","28 x Soaker flashing to dormer junction (Refer detail F,G,H,J,K/A.6-1-1)","1.6 Aluminium Flashing Checklist"
"73e2a76b-db82-4686-ab89-31fcdbfd4c66","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","2 x Barge soaker flashing (Refer detail A&C/A.6-1-2)"
"7ac6d5aa-62b8-4e16-85a5-a072188c1dcf","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","2 x Barge soaker flashing (Refer detail A&C/A.6-1-2)","1.6 Aluminium Flashing Checklist"
"2179337e-5149-41bf-b6e6-008870c5b223","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","7 x Trefoil dormer & Ridge soaker flashing (Refer detail C/A.6-2-1)"
"d9accd2a-0521-427b-ad02-6ad13d935a2f","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","7 x Trefoil dormer & Ridge soaker flashing (Refer detail C/A.6-2-1)","1.6 Aluminium Flashing Checklist"
"49528878-11ee-4023-8b06-fc8c88124349","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","14 x Trefoil dormer end soaker flashing (Refer detail D/A.6-2-1)"
"3b4ea14f-fc87-409a-9009-8e3ada040db5","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","14 x Trefoil dormer end soaker flashing (Refer detail D/A.6-2-1)","1.6 Aluminium Flashing Checklist"
"4a391874-ed3a-4f42-833a-3789f2ffd181","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","2 x Tower peak soaker flashing (Refer detail C/A.6-3-1)"
"3cad20a8-bd46-4492-ab15-eaa1958ae238","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","2 x Tower peak soaker flashing (Refer detail C/A.6-3-1)","1.6 Aluminium Flashing Checklist"
"dbbb34ac-3994-418b-8f2a-8c13f7628723","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Welded Flashings","4 x Tower dormer soaker flashing (Refer detail D/A.6-3-1)"
"f167ddce-8059-443b-9057-183fad87b123","","checklist-flat","pass","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","4 x Tower dormer soaker flashing (Refer detail D/A.6-3-1)","1.6 Aluminium Flashing Checklist"
"0650d5e6-5eed-4cbe-84fe-c04f41a37d2e","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","1 x Centre finial soaker flashing (Refer detail B/A.6-3-2)"
"7265f09b-999e-451d-b9c9-b3e6efc80c64","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","1 x Centre finial soaker flashing (Refer detail B/A.6-3-2)","1.6 Aluminium Flashing Checklist"
"28fd1564-f4b5-4607-bb5a-d8b7f05222df","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Welded Flashings","2 x Side finial soaker flashing (Refer detail D/A.6-3-2)"
"07b3269a-f449-443e-b447-a34b3f5d841c","","checklist-flat","pass","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","2 x Side finial soaker flashing (Refer detail D/A.6-3-2)","1.6 Aluminium Flashing Checklist"
"dc173053-63db-425c-8164-d3d05aa85fc5","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Welded Flashings","2 x Back tower soaekr flashing (Refer detail B/A.6-3-3)"
"7b0bd6b5-98f8-410c-8633-c6511cb529ea","","checklist-flat","pass","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","2 x Back tower soaekr flashing (Refer detail B/A.6-3-3)","1.6 Aluminium Flashing Checklist"
"0a766584-4e13-4ca3-ae27-898716b50007","","folder-progress","not-applicable","","checklist","TRUE","FALSE","QA","Welded Flashings","1 x Entry canopy center soaker flashing (Refer detail D/A.6-3-3)"
"3a780f42-b448-4fb7-a368-b3a6a7677663","","checklist-flat","not-applicable","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","1 x Entry canopy center soaker flashing (Refer detail D/A.6-3-3)","1.6 Aluminium Flashing Checklist"
"572b7ded-af75-4a62-8d2a-47c415cfefef","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","2 x Entry canopy side soaker flashing (Refer detail E/A.6-3-3)"
"4d842985-bc3b-4ad8-b953-16bfb63d1fcf","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","2 x Entry canopy side soaker flashing (Refer detail E/A.6-3-3)","1.6 Aluminium Flashing Checklist"
"9eddf7a4-3369-4a3c-ba90-178c56dcf66f","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","8 x Tower hip soaker flashing (Refer detail C-D/A.6-4-1)"
"663b1645-751a-47b9-b4e5-56d9c69fffb8","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","8 x Tower hip soaker flashing (Refer detail C-D/A.6-4-1)","1.6 Aluminium Flashing Checklist"
"1382a98d-2ca0-4d94-ba94-e5ab93ce4cbb","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","1 x Ridge soaker flashing (Refer detail B/A.6-5-1)"
"d7f4c63f-e3f1-4c82-b202-faf776758d4b","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","1 x Ridge soaker flashing (Refer detail B/A.6-5-1)","1.6 Aluminium Flashing Checklist"
"f8cf95b6-e169-48cc-84ba-3456299b95da","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA","Welded Flashings","6 x Window corner soaker flashing (Refer detail C&D/A.6-5-1)"
"42cff89a-b9e9-4600-9e3f-c8850e0452a7","","checklist-flat","work-in-progress","1.6 Aluminium Flashing Checklist (220)","checklist-flat","FALSE","FALSE","QA","Welded Flashings","6 x Window corner soaker flashing (Refer detail C&D/A.6-5-1)","1.6 Aluminium Flashing Checklist"
