Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Waterproofing - Overall Progress,,,,,,,,,
,Scope,,,Site QA,Waterproofing,,,,
,Rows,,,,,,,,
,,Regent Street - Basement - Basement 02,dynamic,Site QA,Waterproofing,Regent Street,Basement,Basement 02,
,,Regent Street - Basement - Basement 01,dynamic,Site QA,Waterproofing,Regent Street,Basement,Basement 01,
,,Regent Street - Ground Floor - G01,dynamic,Site QA,Waterproofing,Regent Street,Ground Floor,G01,
,,Regent Street - Ground Floor - G02,dynamic,Site QA,Waterproofing,Regent Street,Ground Floor,G02,
,,Regent Street - Ground Floor - G03,dynamic,Site QA,Waterproofing,Regent Street,Ground Floor,G03,
,,Regent Street - Ground Floor - G04,dynamic,Site QA,Waterproofing,Regent Street,Ground Floor,G04,
,,Regent Street - Ground Floor - G05,dynamic,Site QA,Waterproofing,Regent Street,Ground Floor,G05,
,,Regent Street - Ground Floor - Other areas,dynamic,Site QA,Waterproofing,Regent Street,Ground Floor,Other areas,
,,Regent Street - Level 1 - 101,dynamic,Site QA,Waterproofing,Regent Street,Level 1,101,
,,Regent Street - Level 1 - 102,dynamic,Site QA,Waterproofing,Regent Street,Level 1,102,
,,Regent Street - Level 1 - 103,dynamic,Site QA,Waterproofing,Regent Street,Level 1,103,
,,Regent Street - Level 1 - 104,dynamic,Site QA,Waterproofing,Regent Street,Level 1,104,
,,Regent Street - Level 1 - 105,dynamic,Site QA,Waterproofing,Regent Street,Level 1,105,
,,Regent Street - Level 1 - 106,dynamic,Site QA,Waterproofing,Regent Street,Level 1,106,
,,Regent Street - Level 1 - 107,dynamic,Site QA,Waterproofing,Regent Street,Level 1,107,
,,Regent Street - Level 1 - Other areas,dynamic,Site QA,Waterproofing,Regent Street,Level 1,Other areas,
,,Regent Street - Level 2 - 201,dynamic,Site QA,Waterproofing,Regent Street,Level 2,201,
,,Regent Street - Level 2 - 202,dynamic,Site QA,Waterproofing,Regent Street,Level 2,202,
,,Regent Street - Level 2 - 203,dynamic,Site QA,Waterproofing,Regent Street,Level 2,203,
,,Regent Street - Level 2 - 204,dynamic,Site QA,Waterproofing,Regent Street,Level 2,204,
,,Regent Street - Level 2 - 205,dynamic,Site QA,Waterproofing,Regent Street,Level 2,205,
,,Regent Street - Level 2 - 206,dynamic,Site QA,Waterproofing,Regent Street,Level 2,206,
,,Regent Street - Level 2 - 207,dynamic,Site QA,Waterproofing,Regent Street,Level 2,207,
,,Regent Street - Level 2 - 208,dynamic,Site QA,Waterproofing,Regent Street,Level 2,208,
,,Regent Street - Level 2 - 209,dynamic,Site QA,Waterproofing,Regent Street,Level 2,209,
,,Regent Street - Level 3 - 301,dynamic,Site QA,Waterproofing,Regent Street,Level 3,301,
,,Regent Street - Level 3 - 302,dynamic,Site QA,Waterproofing,Regent Street,Level 3,302,
,,Regent Street - Level 3 - 303,dynamic,Site QA,Waterproofing,Regent Street,Level 3,303,
,,Regent Street - Level 3 - 304,dynamic,Site QA,Waterproofing,Regent Street,Level 3,304,
,,Regent Street - Level 3 - 305,dynamic,Site QA,Waterproofing,Regent Street,Level 3,305,
,,Regent Street - Level 3 - 306,dynamic,Site QA,Waterproofing,Regent Street,Level 3,306,
,,Regent Street - Level 3 - 307,dynamic,Site QA,Waterproofing,Regent Street,Level 3,307,
,,Regent Street - Level 3 - 308,dynamic,Site QA,Waterproofing,Regent Street,Level 3,308,
,,Regent Street - Level 3 - 309,dynamic,Site QA,Waterproofing,Regent Street,Level 3,309,
,,Regent Street - Level 4 - 401,dynamic,Site QA,Waterproofing,Regent Street,Level 4,401,
,,Regent Street - Level 4 - 402,dynamic,Site QA,Waterproofing,Regent Street,Level 4,402,
,,Regent Street - Level 4 - 403,dynamic,Site QA,Waterproofing,Regent Street,Level 4,403,
,,Regent Street - Level 4 - 404,dynamic,Site QA,Waterproofing,Regent Street,Level 4,404,
,,Regent Street - Level 4 - 405,dynamic,Site QA,Waterproofing,Regent Street,Level 4,405,
,,Regent Street - Level 4 - 406,dynamic,Site QA,Waterproofing,Regent Street,Level 4,406,
,,Regent Street - Level 4 - 407,dynamic,Site QA,Waterproofing,Regent Street,Level 4,407,
,,Regent Street - Level 4 - 408,dynamic,Site QA,Waterproofing,Regent Street,Level 4,408,
,,Regent Street - Level 4 - 409,dynamic,Site QA,Waterproofing,Regent Street,Level 4,409,
,,Regent Street - Level 5 - 501,dynamic,Site QA,Waterproofing,Regent Street,Level 5,501,
,,Regent Street - Level 5 - 502,dynamic,Site QA,Waterproofing,Regent Street,Level 5,502,
,,Regent Street - Level 5 - 503,dynamic,Site QA,Waterproofing,Regent Street,Level 5,503,
,,Regent Street - Level 5 - 504,dynamic,Site QA,Waterproofing,Regent Street,Level 5,504,
,,Regent Street - Level 5 - 505,dynamic,Site QA,Waterproofing,Regent Street,Level 5,505,
,,Regent Street - Level 5 - 506,dynamic,Site QA,Waterproofing,Regent Street,Level 5,506,
,,Regent Street - Level 5 - 507,dynamic,Site QA,Waterproofing,Regent Street,Level 5,507,
,,Regent Street - Level 5 - 508,dynamic,Site QA,Waterproofing,Regent Street,Level 5,508,
,,Regent Street - Level 6 - 601,dynamic,Site QA,Waterproofing,Regent Street,Level 6,601,
,,Regent Street - Level 6 - 602,dynamic,Site QA,Waterproofing,Regent Street,Level 6,602,
,,Regent Street - Level 6 - 603,dynamic,Site QA,Waterproofing,Regent Street,Level 6,603,
,,Regent Street - Level 6 - 604,dynamic,Site QA,Waterproofing,Regent Street,Level 6,604,
,,Regent Street - Level 6 - 605,dynamic,Site QA,Waterproofing,Regent Street,Level 6,605,
,,Regent Street - Level 6 - 606,dynamic,Site QA,Waterproofing,Regent Street,Level 6,606,
,,Regent Street - Level 6 - 607,dynamic,Site QA,Waterproofing,Regent Street,Level 6,607,
,,Regent Street - Level 6 - 608,dynamic,Site QA,Waterproofing,Regent Street,Level 6,608,
,,Regent Street - Level 7 - 701,dynamic,Site QA,Waterproofing,Regent Street,Level 7,701,
,,Regent Street - Level 7 - 702,dynamic,Site QA,Waterproofing,Regent Street,Level 7,702,
,,Regent Street - Level 7 - 703,dynamic,Site QA,Waterproofing,Regent Street,Level 7,703,
,,Regent Street - Level 7 - 704,dynamic,Site QA,Waterproofing,Regent Street,Level 7,704,
,,Regent Street - Level 7 - 705,dynamic,Site QA,Waterproofing,Regent Street,Level 7,705,
,,Regent Street - Level 7 - 706,dynamic,Site QA,Waterproofing,Regent Street,Level 7,706,
,,Regent Street - Level 7 - 707,dynamic,Site QA,Waterproofing,Regent Street,Level 7,707,
,,Regent Street - Level 7 - 708,dynamic,Site QA,Waterproofing,Regent Street,Level 7,708,
,,Regent Street - Level 8 - 801,dynamic,Site QA,Waterproofing,Regent Street,Level 8,801,
,,Regent Street - Level 8 - 802,dynamic,Site QA,Waterproofing,Regent Street,Level 8,802,
,,Regent Street - Level 8 - 803,dynamic,Site QA,Waterproofing,Regent Street,Level 8,803,
,,Regent Street - Level 8 - 804,dynamic,Site QA,Waterproofing,Regent Street,Level 8,804,
,,Regent Street - Level 8 - 805,dynamic,Site QA,Waterproofing,Regent Street,Level 8,805,
,,Regent Street - Level 8 - 806,dynamic,Site QA,Waterproofing,Regent Street,Level 8,806,
,,Regent Street - Level 8 - 807,dynamic,Site QA,Waterproofing,Regent Street,Level 8,807,
,,Regent Street - Level 8 - 808,dynamic,Site QA,Waterproofing,Regent Street,Level 8,808,
,,Regent Street - Level 9 - 901,dynamic,Site QA,Waterproofing,Regent Street,Level 9,901,
,,Regent Street - Level 9 - 902,dynamic,Site QA,Waterproofing,Regent Street,Level 9,902,
,,Regent Street - Level 9 - 903,dynamic,Site QA,Waterproofing,Regent Street,Level 9,903,
,,Regent Street - Level 9 - 904,dynamic,Site QA,Waterproofing,Regent Street,Level 9,904,
,,Regent Street - Level 9 - 905,dynamic,Site QA,Waterproofing,Regent Street,Level 9,905,
,,Regent Street - Level 9 - 906,dynamic,Site QA,Waterproofing,Regent Street,Level 9,906,
,,Regent Street - Level 9 - 907,dynamic,Site QA,Waterproofing,Regent Street,Level 9,907,
,,Regent Street - Level 9 - 908,dynamic,Site QA,Waterproofing,Regent Street,Level 9,908,
,,Regent Street - Level 10 - 1001,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1001,
,,Regent Street - Level 10 - 1002,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1002,
,,Regent Street - Level 10 - 1003,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1003,
,,Regent Street - Level 10 - 1004,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1004,
,,Regent Street - Level 10 - 1005,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1005,
,,Regent Street - Level 10 - 1006,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1006,
,,Regent Street - Level 10 - 1007,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1007,
,,Regent Street - Level 10 - 1008,dynamic,Site QA,Waterproofing,Regent Street,Level 10,1008,
,,Regent Street - Level 11 - Balcony,dynamic,Site QA,Waterproofing,Regent Street,Level 11,Balcony,
,,Regent Street - Level 11 - Plant room,dynamic,Site QA,Waterproofing,Regent Street,Level 11,Plant room,
,,Regent Street - Level 11 - Planter Box,dynamic,Site QA,Waterproofing,Regent Street,Level 11,Planter Box,
,,Regent Street - Roof,dynamic,Site QA,Waterproofing,Regent Street,Roof,,
,,Victoria Street - Basement 01 - Basement 01,dynamic,Site QA,Waterproofing,Victoria Street,Basement 01,Basement 01,
,,Victoria Street - Ground Floor - G01,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G01,
,,Victoria Street - Ground Floor - G02,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G02,
,,Victoria Street - Ground Floor - G03,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G03,
,,Victoria Street - Ground Floor - G04,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G04,
,,Victoria Street - Ground Floor - G05-L,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G05-L,
,,Victoria Street - Ground Floor - G06-L,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G06-L,
,,Victoria Street - Ground Floor - G07,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G07,
,,Victoria Street - Ground Floor - G08,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G08,
,,Victoria Street - Ground Floor - G09,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G09,
,,Victoria Street - Ground Floor - G10,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,G10,
,,Victoria Street - Ground Floor - Lift Pit,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,Lift Pit,
,,Victoria Street - Ground Floor - Planter Box,dynamic,Site QA,Waterproofing,Victoria Street,Ground Floor,Planter Box,
,,Victoria Street - Level 1 - 101,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,101,
,,Victoria Street - Level 1 - 102,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,102,
,,Victoria Street - Level 1 - 103,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,103,
,,Victoria Street - Level 1 - 104,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,104,
,,Victoria Street - Level 1 - 105,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,105,
,,Victoria Street - Level 1 - 106,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,106,
,,Victoria Street - Level 1 - 107,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,107,
,,Victoria Street - Level 1 - 108,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,108,
,,Victoria Street - Level 1 - G05-U,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,G05-U,
,,Victoria Street - Level 1 - G06-U,dynamic,Site QA,Waterproofing,Victoria Street,Level 1,G06-U,
,,Victoria Street - Level 2 - 201,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,201,
,,Victoria Street - Level 2 - 202,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,202,
,,Victoria Street - Level 2 - 203,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,203,
,,Victoria Street - Level 2 - 204,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,204,
,,Victoria Street - Level 2 - 205,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,205,
,,Victoria Street - Level 2 - 206,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,206,
,,Victoria Street - Level 2 - 207,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,207,
,,Victoria Street - Level 2 - 208,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,208,
,,Victoria Street - Level 2 - 209,dynamic,Site QA,Waterproofing,Victoria Street,Level 2,209,
,,Victoria Street - Level 3 - 301,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,301,
,,Victoria Street - Level 3 - 302,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,302,
,,Victoria Street - Level 3 - 303,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,303,
,,Victoria Street - Level 3 - 304,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,304,
,,Victoria Street - Level 3 - 305,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,305,
,,Victoria Street - Level 3 - 306,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,306,
,,Victoria Street - Level 3 - 307,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,307,
,,Victoria Street - Level 3 - 308,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,308,
,,Victoria Street - Level 3 - 309,dynamic,Site QA,Waterproofing,Victoria Street,Level 3,309,
,,Victoria Street - Level 4 - 401,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,401,
,,Victoria Street - Level 4 - 402,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,402,
,,Victoria Street - Level 4 - 403,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,403,
,,Victoria Street - Level 4 - 404,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,404,
,,Victoria Street - Level 4 - 405,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,405,
,,Victoria Street - Level 4 - 406,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,406,
,,Victoria Street - Level 4 - 407,dynamic,Site QA,Waterproofing,Victoria Street,Level 4,407,
,,Victoria Street - Level 5 - 501,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,501,
,,Victoria Street - Level 5 - 502,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,502,
,,Victoria Street - Level 5 - 503,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,503,
,,Victoria Street - Level 5 - 504,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,504,
,,Victoria Street - Level 5 - 505,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,505,
,,Victoria Street - Level 5 - 506,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,506,
,,Victoria Street - Level 5 - 507,dynamic,Site QA,Waterproofing,Victoria Street,Level 5,507,
,,Victoria Street - Level 6 - 601,dynamic,Site QA,Waterproofing,Victoria Street,Level 6,601,
,,Victoria Street - Level 6 - 602,dynamic,Site QA,Waterproofing,Victoria Street,Level 6,602,
,,Victoria Street - Level 6 - 603,dynamic,Site QA,Waterproofing,Victoria Street,Level 6,603,
,,Victoria Street - Level 6 - 604,dynamic,Site QA,Waterproofing,Victoria Street,Level 6,604,
,,Victoria Street - Level 6 - 605,dynamic,Site QA,Waterproofing,Victoria Street,Level 6,605,
,,Victoria Street - Level 6 - 606,dynamic,Site QA,Waterproofing,Victoria Street,Level 6,606,
,,Victoria Street - Level 7 - 701,dynamic,Site QA,Waterproofing,Victoria Street,Level 7,701,
,,Victoria Street - Level 7 - 702,dynamic,Site QA,Waterproofing,Victoria Street,Level 7,702,
,,Victoria Street - Level 7 - 703,dynamic,Site QA,Waterproofing,Victoria Street,Level 7,703,
,,Victoria Street - Level 7 - 704,dynamic,Site QA,Waterproofing,Victoria Street,Level 7,704,
,,Victoria Street - Level 7 - 705,dynamic,Site QA,Waterproofing,Victoria Street,Level 7,705,
,,Victoria Street - Level 7 - 706,dynamic,Site QA,Waterproofing,Victoria Street,Level 7,706,
,,Victoria Street - Level 8 - 801,dynamic,Site QA,Waterproofing,Victoria Street,Level 8,801,
,,Victoria Street - Level 8 - 802,dynamic,Site QA,Waterproofing,Victoria Street,Level 8,802,
,,Victoria Street - Level 8 - 803,dynamic,Site QA,Waterproofing,Victoria Street,Level 8,803,
,,Victoria Street - Level 8 - 804,dynamic,Site QA,Waterproofing,Victoria Street,Level 8,804,
,,Victoria Street - Level 8 - 805,dynamic,Site QA,Waterproofing,Victoria Street,Level 8,805,
,,Victoria Street - Level 8 - 806,dynamic,Site QA,Waterproofing,Victoria Street,Level 8,806,
,,Victoria Street - Level 9 - 901,dynamic,Site QA,Waterproofing,Victoria Street,Level 9,901,
,,Victoria Street - Level 9 - 902,dynamic,Site QA,Waterproofing,Victoria Street,Level 9,902,
,,Victoria Street - Level 9 - 903,dynamic,Site QA,Waterproofing,Victoria Street,Level 9,903,
,,Victoria Street - Level 9 - 904,dynamic,Site QA,Waterproofing,Victoria Street,Level 9,904,
,,Victoria Street - Level 9 - 905,dynamic,Site QA,Waterproofing,Victoria Street,Level 9,905,
,,Victoria Street - Level 9 - 906,dynamic,Site QA,Waterproofing,Victoria Street,Level 9,906,
,,Victoria Street - Level 10 - 1001,dynamic,Site QA,Waterproofing,Victoria Street,Level 10,1001,
,,Victoria Street - Level 10 - 1002,dynamic,Site QA,Waterproofing,Victoria Street,Level 10,1002,
,,Victoria Street - Level 10 - 1003,dynamic,Site QA,Waterproofing,Victoria Street,Level 10,1003,
,,Victoria Street - Level 10 - 1004,dynamic,Site QA,Waterproofing,Victoria Street,Level 10,1004,
,,Victoria Street - Level 10 - 1005,dynamic,Site QA,Waterproofing,Victoria Street,Level 10,1005,
,,Victoria Street - Level 10 - 1006,dynamic,Site QA,Waterproofing,Victoria Street,Level 10,1006,
,,Victoria Street - Level 11 - 1101,dynamic,Site QA,Waterproofing,Victoria Street,Level 11,1101,
,,Victoria Street - Level 11 - 1102,dynamic,Site QA,Waterproofing,Victoria Street,Level 11,1102,
,,Victoria Street - Level 11 - 1103,dynamic,Site QA,Waterproofing,Victoria Street,Level 11,1103,
,,Victoria Street - Level 11 - 1104,dynamic,Site QA,Waterproofing,Victoria Street,Level 11,1104,
,,Victoria Street - Level 11 - 1105,dynamic,Site QA,Waterproofing,Victoria Street,Level 11,1105,
,,Victoria Street - Level 11 - 1106,dynamic,Site QA,Waterproofing,Victoria Street,Level 11,1106,
,,Victoria Street - Level 12 - Hot Water Plant,dynamic,Site QA,Waterproofing,Victoria Street,Level 12,Hot Water Plant,
,,Victoria Street - Level 12 - Communal Open Space,dynamic,Site QA,Waterproofing,Victoria Street,Level 12,Communal Open Space,
,,Victoria Street - Roof,dynamic,Site QA,Waterproofing,Victoria Street,Roof,,
,,Tiling,dynamic,Site QA,Waterproofing,Tiling,,,
,Columns,,,,,,,,
,,QA,,Site QA,,,,,
,,,,,,,,,
Regent Street Progress,,,,,,,,,
,Scope,,,Site QA,Waterproofing,Regent Street,,,
,Rows,,,,,,,,
,,Basement,grouping,Basement,,,,,
,,Basement - Basement 02 - Fire Pump Room,,Site QA,Waterproofing,Regent Street,Basement,Basement 02,Fire Pump Room
,,Basement - Basement 01 - Bulky Waste Room,,Site QA,Waterproofing,Regent Street,Basement,Basement 01,Bulky Waste Room
,,Basement - Basement 01 - Waste Room,,Site QA,Waterproofing,Regent Street,Basement,Basement 01,Waste Room
,,Ground Floor,grouping,Ground Floor,,,,,
,,Ground Floor - G01 - Laundry,,Site QA,Waterproofing,Regent Street,Ground Floor,G01,Laundry
,,Ground Floor - G01 - Ensuite,,Site QA,Waterproofing,Regent Street,Ground Floor,G01,Ensuite
,,Ground Floor - G01 - Bathroom,,Site QA,Waterproofing,Regent Street,Ground Floor,G01,Bathroom
,,Ground Floor - G02 - Laundry,,Site QA,Waterproofing,Regent Street,Ground Floor,G02,Laundry
,,Ground Floor - G02 - Ensuite,,Site QA,Waterproofing,Regent Street,Ground Floor,G02,Ensuite
,,Ground Floor - G02 - Bathroom,,Site QA,Waterproofing,Regent Street,Ground Floor,G02,Bathroom
,,Ground Floor - G03 - Bathroom,,Site QA,Waterproofing,Regent Street,Ground Floor,G03,Bathroom
,,Ground Floor - G03 - Laundry,,Site QA,Waterproofing,Regent Street,Ground Floor,G03,Laundry
,,Ground Floor - G04 - Bathroom,,Site QA,Waterproofing,Regent Street,Ground Floor,G04,Bathroom
