"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Regent Street Progress"
,"Scope",,
,"Rows"
,,"Basement 02 -Fire Pump Room",,"basement","fire pump room","basement 02","regent street"
,,"105 -Bathroom",,"105","level 1","regent street","bathroom"
,,"105 -Balcony",,"105","level 1","balcony","regent street"
,,"106 -Laundry",,"106","level 1","regent street","laundry"
,,"106 -Ensuite",,"106","ensuite","level 1","regent street"
,,"106 -Bathroom",,"106","level 1","regent street","bathroom"
,,"106 -Balcony",,"106","level 1","balcony","regent street"
,,"107 -Laundry",,"107","level 1","regent street","laundry"
,,"107 -Ensuite",,"107","ensuite","level 1","regent street"
,,"107 -Bathroom",,"107","level 1","regent street","bathroom"
,,"107 -Balcony",,"107","level 1","balcony","regent street"
,,"Other areas -OSD Tank",,"other areas","level 1","regent street","osd tank"
,,"Other areas -Small OSD Tank",,"other areas","level 1","regent street","small osd tank"
,,"201 -Laundry",,"201","regent street","level 2","laundry"
,,"201 -Ensuite",,"201","ensuite","regent street","level 2"
,,"201 -Bathroom",,"201","regent street","level 2","bathroom"
,,"201 -Balcony",,"201","balcony","regent street","level 2"
,,"202 -Laundry",,"202","regent street","level 2","laundry"
,,"202 -Ensuite",,"202","ensuite","regent street","level 2"
,,"202 -Bathroom",,"202","regent street","level 2","bathroom"
,,"202 -Balcony",,"202","balcony","regent street","level 2"
,,"203 -Laundry",,"203","regent street","level 2","laundry"
,,"203 -Bathroom",,"203","regent street","level 2","bathroom"
,,"203 -Balcony",,"203","balcony","regent street","level 2"
,,"204 -Laundry",,"204","regent street","level 2","laundry"
,,"204 -Bathroom",,"204","regent street","level 2","bathroom"
,,"204 -Balcony",,"204","balcony","regent street","level 2"
,,"205 -Laundry",,"205","regent street","level 2","laundry"
,,"205 -Ensuite",,"205","ensuite","regent street","level 2"
,,"205 -Bathroom",,"205","regent street","level 2","bathroom"
,,"205 -Balcony",,"205","balcony","regent street","level 2"
,,"206 -Laundry",,"206","regent street","level 2","laundry"
,,"206 -Ensuite",,"206","ensuite","regent street","level 2"
,,"206 -Bathroom",,"206","regent street","level 2","bathroom"
,,"206 -Balcony",,"206","balcony","regent street","level 2"
,,"207 -Laundry",,"207","regent street","level 2","laundry"
,,"207 -Ensuite",,"207","ensuite","regent street","level 2"
,,"207 -Bathroom",,"207","regent street","level 2","bathroom"
,,"207 -Balcony",,"207","balcony","regent street","level 2"
,,"208 -Laundry",,"208","regent street","level 2","laundry"
,,"208 -Ensuite",,"208","ensuite","regent street","level 2"
,,"208 -Bathroom",,"208","regent street","level 2","bathroom"
,,"208 -Balcony",,"208","balcony","regent street","level 2"
,,"209 -Laundry",,"209","regent street","level 2","laundry"
,,"209 -Ensuite",,"209","ensuite","regent street","level 2"
,,"209 -Bathroom",,"209","regent street","level 2","bathroom"
,,"209 -Balcony",,"209","balcony","regent street","level 2"
,,"301 -Laundry",,"301","regent street","laundry","level 3"
,,"301 -Ensuite",,"301","ensuite","regent street","level 3"
,,"301 -Bathroom",,"301","regent street","bathroom","level 3"
,,"301 -Balcony",,"301","balcony","regent street","level 3"
,,"302 -Laundry",,"302","regent street","laundry","level 3"
,,"302 -Ensuite",,"302","ensuite","regent street","level 3"
,,"302 -Bathroom",,"302","regent street","bathroom","level 3"
,,"302 -Balcony",,"302","balcony","regent street","level 3"
,,"303 -Laundry",,"303","regent street","laundry","level 3"
,,"303 -Bathroom",,"303","regent street","bathroom","level 3"
,,"303 -Balcony",,"303","balcony","regent street","level 3"
,,"304 -Laundry",,"304","regent street","laundry","level 3"
,,"304 -Bathroom",,"304","regent street","bathroom","level 3"
,,"304 -Balcony",,"304","balcony","regent street","level 3"
,,"305 -Laundry",,"305","regent street","laundry","level 3"
,,"305 -Ensuite",,"305","ensuite","regent street","level 3"
,,"305 -Bathroom",,"305","regent street","bathroom","level 3"
,,"305 -Balcony",,"305","balcony","regent street","level 3"
,,"306 -Laundry",,"306","regent street","laundry","level 3"
,,"306 -Ensuite",,"306","ensuite","regent street","level 3"
,,"306 -Bathroom",,"306","regent street","bathroom","level 3"
,,"306 -Balcony",,"306","balcony","regent street","level 3"
,,"307 -Laundry",,"307","regent street","laundry","level 3"
,,"307 -Ensuite",,"307","ensuite","regent street","level 3"
,,"307 -Bathroom",,"307","regent street","bathroom","level 3"
,,"307 -Balcony",,"307","balcony","regent street","level 3"
,,"308 -Laundry",,"308","regent street","laundry","level 3"
,,"308 -Ensuite",,"308","ensuite","regent street","level 3"
,,"308 -Bathroom",,"308","regent street","bathroom","level 3"
,,"308 -Balcony",,"308","balcony","regent street","level 3"
,,"309 -Laundry",,"309","regent street","laundry","level 3"
,,"309 -Ensuite",,"309","ensuite","regent street","level 3"
,,"309 -Bathroom",,"309","regent street","bathroom","level 3"
,,"309 -Balcony",,"309","balcony","regent street","level 3"
,,"401 -Laundry",,"401","level 4","regent street","laundry"
,,"401 -Bathroom",,"401","level 4","regent street","bathroom"
,,"401 -Balcony",,"401","level 4","balcony","regent street"
,,"402 -Laundry",,"402","level 4","regent street","laundry"
,,"402 -Ensuite",,"402","level 4","ensuite","regent street"
,,"402 -Bathroom",,"402","level 4","regent street","bathroom"
,,"402 -Balcony",,"402","level 4","balcony","regent street"
,,"403 -Laundry",,"403","level 4","regent street","laundry"
,,"403 -Bathroom",,"403","level 4","regent street","bathroom"
,,"403 -Balcony",,"403","level 4","balcony","regent street"
,,"404 -Laundry",,"404","level 4","regent street","laundry"
,,"404 -Bathroom",,"404","level 4","regent street","bathroom"
,,"404 -Balcony",,"404","level 4","balcony","regent street"
,,"405 -Laundry",,"405","level 4","regent street","laundry"
,,"405 -Bathroom",,"405","level 4","regent street","bathroom"
,,"405 -Balcony",,"405","level 4","balcony","regent street"
,,"406 -Laundry",,"406","level 4","regent street","laundry"
,,"406 -Bathroom",,"406","level 4","regent street","bathroom"
,,"406 -Balcony",,"406","level 4","balcony","regent street"
,,"407 -Laundry",,"407","level 4","regent street","laundry"
,,"407 -Ensuite",,"407","level 4","ensuite","regent street"
,,"407 -Bathroom",,"407","level 4","regent street","bathroom"
,,"407 -Balcony",,"407","level 4","balcony","regent street"
,,"408 -Laundry",,"408","level 4","regent street","laundry"
,,"408 -Bathroom",,"408","level 4","regent street","bathroom"
,,"408 -Balcony",,"408","level 4","balcony","regent street"
,,"409 -Laundry",,"409","level 4","regent street","laundry"
,,"409 -Ensuite",,"409","level 4","ensuite","regent street"
,,"409 -Bathroom",,"409","level 4","regent street","bathroom"
,,"409 -Balcony",,"409","level 4","balcony","regent street"
,,"501 -Laundry",,"501","level 5","regent street","laundry"
,,"501 -Ensuite",,"501","level 5","ensuite","regent street"
,,"501 -Bathroom",,"501","level 5","regent street","bathroom"
,,"501 -Balcony",,"501","level 5","balcony","regent street"
,,"502 -Laundry",,"502","level 5","regent street","laundry"
,,"502 -Bathroom",,"502","level 5","regent street","bathroom"
,,"502 -Balcony",,"502","level 5","balcony","regent street"
,,"503 -Laundry",,"503","level 5","regent street","laundry"
,,"503 -Bathroom",,"503","level 5","regent street","bathroom"
,,"503 -Balcony",,"503","level 5","balcony","regent street"
,,"504 -Laundry",,"504","level 5","regent street","laundry"
,,"504 -Bathroom",,"504","level 5","regent street","bathroom"
,,"504 -Balcony",,"504","level 5","balcony","regent street"
,,"505 -Laundry",,"505","level 5","regent street","laundry"
,,"505 -Bathroom",,"505","level 5","regent street","bathroom"
,,"505 -Balcony",,"505","level 5","balcony","regent street"
,,"506 -Laundry",,"506","level 5","regent street","laundry"
,,"506 -Ensuite",,"506","level 5","ensuite","regent street"
,,"506 -Bathroom",,"506","level 5","regent street","bathroom"
,,"506 -Balcony",,"506","level 5","balcony","regent street"
,,"507 -Laundry",,"507","level 5","regent street","laundry"
,,"507 -Ensuite",,"507","level 5","ensuite","regent street"
,,"507 -Bathroom",,"507","level 5","regent street","bathroom"
