"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Regent Street Progress"
,"Scope",,
,"Rows"
,,"Basement 02 -Fire Pump Room",,"basement","fire pump room","basement 02","regent street"
,,"G07 -Laundry",,"ground floor","laundry","g07","victoria street"
,,"G07 -Ensuite",,"ground floor","ensuite","g07","victoria street"
,,"G07 -Bathroom",,"ground floor","bathroom","g07","victoria street"
,,"G07 -Terrace",,"ground floor","terrace","g07","victoria street"
,,"G08 -Laundry",,"ground floor","g08","laundry","victoria street"
,,"G08 -Bathroom",,"ground floor","g08","bathroom","victoria street"
,,"G08 -Terrace",,"ground floor","terrace","g08","victoria street"
,,"G09 -Laundry",,"ground floor","g09","laundry","victoria street"
,,"G09 -Ensuite",,"ground floor","g09","ensuite","victoria street"
,,"G09 -Bathroom",,"ground floor","g09","bathroom","victoria street"
,,"G09 -Terrace",,"ground floor","g09","terrace","victoria street"
,,"G10 -Laundry",,"ground floor","laundry","g10","victoria street"
,,"G10 -Ensuite",,"ground floor","ensuite","g10","victoria street"
,,"G10 -Bathroom",,"ground floor","bathroom","g10","victoria street"
,,"G10 -Terrace",,"ground floor","terrace","g10","victoria street"
,,"Lift Pit -Lift Pit 1",,"ground floor","lift pit","lift pit 1","victoria street"
,,"Lift Pit -Lift Pit 2",,"ground floor","lift pit","lift pit 2","victoria street"
,,"Planter Box -Planter box 1",,"ground floor","planter box 1","planter box","victoria street"
,,"Planter Box -Planter box 2",,"ground floor","planter box 2","planter box","victoria street"
,,"Planter Box -Planter box 3",,"ground floor","planter box 3","planter box","victoria street"
,,"Planter Box -Planter box 4",,"ground floor","planter box 4","planter box","victoria street"
,,"Planter Box -Planter box 5",,"ground floor","planter box 5","planter box","victoria street"
,,"Planter Box -Planter box 6",,"ground floor","planter box","planter box 6","victoria street"
,,"Planter Box -Planter box 7",,"ground floor","planter box 7","planter box","victoria street"
,,"101 -Laundry",,"101","level 1","laundry","victoria street"
,,"101 -Ensuite",,"101","ensuite","level 1","victoria street"
,,"101 -Bathroom",,"101","level 1","bathroom","victoria street"
,,"101 -Balcony",,"101","level 1","balcony","victoria street"
,,"102 -Laundry",,"102","level 1","laundry","victoria street"
,,"102 -Ensuite",,"102","ensuite","level 1","victoria street"
,,"102 -Bathroom",,"102","level 1","bathroom","victoria street"
,,"102 -Balcony",,"102","level 1","balcony","victoria street"
,,"103 -Laundry",,"103","level 1","laundry","victoria street"
,,"103 -Ensuite",,"103","ensuite","level 1","victoria street"
,,"103 -Bathroom",,"103","level 1","bathroom","victoria street"
,,"103 -Balcony",,"103","level 1","balcony","victoria street"
,,"104 -Laundry",,"104","level 1","laundry","victoria street"
,,"104 -Ensuite",,"104","ensuite","level 1","victoria street"
,,"104 -Bathroom",,"104","level 1","bathroom","victoria street"
,,"104 -Balcony",,"104","level 1","balcony","victoria street"
,,"105 -Laundry",,"105","level 1","laundry","victoria street"
,,"105 -Bathroom 1",,"105","bathroom 1","level 1","victoria street"
,,"105 -Bathroom 2",,"105","bathroom 2","level 1","victoria street"
,,"105 -Balcony",,"105","level 1","balcony","victoria street"
,,"106 -Laundry",,"106","level 1","laundry","victoria street"
,,"106 -Bathroom",,"106","level 1","bathroom","victoria street"
,,"106 -Balcony",,"106","level 1","balcony","victoria street"
,,"107 -Laundry",,"107","level 1","laundry","victoria street"
,,"107 -Ensuite",,"107","ensuite","level 1","victoria street"
,,"107 -Bathroom",,"107","level 1","bathroom","victoria street"
,,"107 -Balcony",,"107","level 1","balcony","victoria street"
,,"108 -Laundry",,"108","level 1","laundry","victoria street"
,,"108 -Ensuite",,"108","ensuite","level 1","victoria street"
,,"108 -Bathroom",,"108","level 1","bathroom","victoria street"
,,"108 -Balcony",,"108","level 1","balcony","victoria street"
,,"G05-U -Ensuite",,"ensuite","level 1","g05-u","victoria street"
,,"G05-U -Balcony",,"level 1","balcony","g05-u","victoria street"
,,"G06-U -Bathroom",,"level 1","bathroom","g06-u","victoria street"
,,"G06-U -Balcony",,"level 1","balcony","g06-u","victoria street"
,,"201 -Laundry",,"201","level 2","laundry","victoria street"
,,"201 -Ensuite",,"201","ensuite","level 2","victoria street"
,,"201 -Bathroom",,"201","level 2","bathroom","victoria street"
,,"201 -Balcony",,"201","balcony","level 2","victoria street"
,,"202 -Laundry",,"202","level 2","laundry","victoria street"
,,"202 -Bathroom",,"202","level 2","bathroom","victoria street"
,,"202 -Balcony",,"202","balcony","level 2","victoria street"
,,"203 -Laundry",,"203","level 2","laundry","victoria street"
,,"203 -Ensuite",,"203","ensuite","level 2","victoria street"
,,"203 -Bathroom",,"203","level 2","bathroom","victoria street"
,,"203 -Balcony",,"203","balcony","level 2","victoria street"
,,"204 -Laundry",,"204","level 2","laundry","victoria street"
,,"204 -Bathroom",,"204","level 2","bathroom","victoria street"
,,"204 -Balcony",,"204","balcony","level 2","victoria street"
,,"205 -Laundry",,"205","level 2","laundry","victoria street"
,,"205 -Ensuite",,"205","ensuite","level 2","victoria street"
,,"205 -Bathroom",,"205","level 2","bathroom","victoria street"
,,"205 -Balcony",,"205","balcony","level 2","victoria street"
,,"206 -Laundry",,"206","level 2","laundry","victoria street"
,,"206 -Ensuite",,"206","ensuite","level 2","victoria street"
,,"206 -Bathroom",,"206","level 2","bathroom","victoria street"
,,"206 -Balcony",,"206","balcony","level 2","victoria street"
,,"207 -Laundry",,"207","level 2","laundry","victoria street"
,,"207 -Bathroom",,"207","level 2","bathroom","victoria street"
,,"207 -Balcony",,"207","balcony","level 2","victoria street"
,,"208 -Laundry",,"208","level 2","laundry","victoria street"
,,"208 -Ensuite",,"208","ensuite","level 2","victoria street"
,,"208 -Bathroom",,"208","level 2","bathroom","victoria street"
,,"208 -Balcony",,"208","balcony","level 2","victoria street"
,,"209 -Laundry",,"209","level 2","laundry","victoria street"
,,"209 -Ensuite",,"209","ensuite","level 2","victoria street"
,,"209 -Bathroom",,"209","level 2","bathroom","victoria street"
,,"209 -Balcony",,"209","balcony","level 2","victoria street"
,,"301 -Laundry",,"301","laundry","level 3","victoria street"
,,"301 -Ensuite",,"301","ensuite","level 3","victoria street"
,,"301 -Bathroom",,"301","bathroom","level 3","victoria street"
,,"301 -Balcony",,"301","balcony","level 3","victoria street"
,,"302 -Laundry",,"302","laundry","level 3","victoria street"
,,"302 -Bathroom",,"302","bathroom","level 3","victoria street"
,,"302 -Balcony",,"302","balcony","level 3","victoria street"
,,"303 -Laundry",,"303","laundry","level 3","victoria street"
,,"303 -Ensuite",,"303","ensuite","level 3","victoria street"
,,"303 -Bathroom",,"303","bathroom","level 3","victoria street"
,,"303 -Balcony",,"303","balcony","level 3","victoria street"
,,"304 -Laundry",,"304","laundry","level 3","victoria street"
,,"304 -Bathroom",,"304","bathroom","level 3","victoria street"
,,"304 -Balcony",,"304","balcony","level 3","victoria street"
,,"305 -Laundry",,"305","laundry","level 3","victoria street"
,,"305 -Ensuite",,"305","ensuite","level 3","victoria street"
,,"305 -Bathroom",,"305","bathroom","level 3","victoria street"
,,"305 -Balcony",,"305","balcony","level 3","victoria street"
,,"306 -Laundry",,"306","laundry","level 3","victoria street"
,,"306 -Ensuite",,"306","ensuite","level 3","victoria street"
,,"306 -Bathroom",,"306","bathroom","level 3","victoria street"
,,"306 -Balcony",,"306","balcony","level 3","victoria street"
,,"307 -Laundry",,"307","laundry","level 3","victoria street"
,,"307 -Bathroom",,"307","bathroom","level 3","victoria street"
,,"307 -Balcony",,"307","balcony","level 3","victoria street"
,,"308 -Laundry",,"308","laundry","level 3","victoria street"
,,"308 -Ensuite",,"308","ensuite","level 3","victoria street"
,,"308 -Bathroom",,"308","bathroom","level 3","victoria street"
,,"308 -Balcony",,"308","balcony","level 3","victoria street"
,,"309 -Laundry",,"309","laundry","level 3","victoria street"
,,"309 -Ensuite",,"309","ensuite","level 3","victoria street"
,,"309 -Bathroom",,"309","bathroom","level 3","victoria street"
,,"309 -Balcony",,"309","balcony","level 3","victoria street"
,,"401 -Laundry",,"401","level 4","laundry","victoria street"
,,"401 -Bathroom",,"401","level 4","bathroom","victoria street"
,,"401 -Balcony",,"401","level 4","balcony","victoria street"
,,"402 -Laundry",,"402","level 4","laundry","victoria street"
,,"402 -Bathroom",,"402","level 4","bathroom","victoria street"
,,"402 -Balcony",,"402","level 4","balcony","victoria street"
,,"403 -Laundry",,"403","level 4","laundry","victoria street"
,,"403 -Bathroom",,"403","level 4","bathroom","victoria street"
,,"403 -Balcony",,"403","level 4","balcony","victoria street"
,,"404 -Laundry",,"404","level 4","laundry","victoria street"
,,"404 -Bathroom",,"404","level 4","bathroom","victoria street"
,,"404 -Balcony",,"404","level 4","balcony","victoria street"
,,"405 -Laundry",,"405","level 4","laundry","victoria street"
,,"405 -Ensuite",,"405","level 4","ensuite","victoria street"
,,"405 -Bathroom",,"405","level 4","bathroom","victoria street"
,,"405 -Balcony",,"405","level 4","balcony","victoria street"
,,"406 -Laundry",,"406","level 4","laundry","victoria street"
,,"406 -Bathroom",,"406","level 4","bathroom","victoria street"
,,"406 -Balcony",,"406","level 4","balcony","victoria street"
,,"407 -Laundry",,"407","level 4","laundry","victoria street"
,,"407 -Bathroom",,"407","level 4","bathroom","victoria street"
,,"407 -Balcony",,"407","level 4","balcony","victoria street"
,,"501 -Laundry",,"501","level 5","laundry","victoria street"
,,"501 -Bathroom",,"501","level 5","bathroom","victoria street"
,,"501 -Balcony",,"501","level 5","balcony","victoria street"
,,"502 -Laundry",,"502","level 5","laundry","victoria street"
,,"502 -Bathroom",,"502","level 5","bathroom","victoria street"
,,"502 -Balcony",,"502","level 5","balcony","victoria street"
,,"503 -Laundry",,"503","level 5","laundry","victoria street"
,,"503 -Bathroom",,"503","level 5","bathroom","victoria street"
,,"503 -Balcony",,"503","level 5","balcony","victoria street"
,,"504 -Laundry",,"504","level 5","laundry","victoria street"
,,"504 -Bathroom",,"504","level 5","bathroom","victoria street"
,,"504 -Balcony",,"504","level 5","balcony","victoria street"
,,"505 -Laundry",,"505","level 5","laundry","victoria street"
,,"505 -Ensuite",,"505","level 5","ensuite","victoria street"
,,"505 -Bathroom",,"505","level 5","bathroom","victoria street"
,,"505 -Balcony",,"505","level 5","balcony","victoria street"
,,"506 -Laundry",,"506","level 5","laundry","victoria street"
,,"506 -Bathroom",,"506","level 5","bathroom","victoria street"
,,"506 -Balcony",,"506","level 5","balcony","victoria street"
,,"507 -Laundry",,"507","level 5","laundry","victoria street"
,,"507 -Bathroom",,"507","level 5","bathroom","victoria street"
,,"507 -Balcony",,"507","level 5","balcony","victoria street"
,,"601 -Laundry",,"601","level 6","laundry","victoria street"
,,"601 -Ensuite",,"601","level 6","ensuite","victoria street"
,,"601 -Bathroom",,"601","level 6","bathroom","victoria street"
,,"601 -Balcony",,"601","level 6","balcony","victoria street"
,,"602 -Laundry",,"602","level 6","laundry","victoria street"
,,"602 -Bathroom",,"602","level 6","bathroom","victoria street"
,,"602 -Balcony",,"602","level 6","balcony","victoria street"
,,"603 -Laundry",,"603","level 6","laundry","victoria street"
,,"603 -Ensuite",,"603","level 6","ensuite","victoria street"
,,"603 -Bathroom",,"603","level 6","bathroom","victoria street"
,,"603 -Balcony",,"603","level 6","balcony","victoria street"
,,"604 -Laundry",,"604","level 6","laundry","victoria street"
,,"604 -Ensuite",,"604","level 6","ensuite","victoria street"
,,"604 -Bathroom",,"604","level 6","bathroom","victoria street"
,,"604 -Balcony",,"604","level 6","balcony","victoria street"
,,"605 -Laundry",,"605","level 6","laundry","victoria street"
,,"605 -Ensuite",,"605","level 6","ensuite","victoria street"
,,"605 -Bathroom",,"605","level 6","bathroom","victoria street"
,,"605 -Balcony",,"605","level 6","balcony","victoria street"
,,"606 -Laundry",,"606","level 6","laundry","victoria street"
,,"606 -Ensuite",,"606","level 6","ensuite","victoria street"
,,"606 -Bathroom",,"606","level 6","bathroom","victoria street"
,,"606 -Balcony",,"606","level 6","balcony","victoria street"
,,"701 -Laundry",,"701","level 7","laundry","victoria street"
,,"701 -Ensuite",,"701","ensuite","level 7","victoria street"
,,"701 -Bathroom",,"701","level 7","bathroom","victoria street"
,,"701 -Balcony",,"701","level 7","balcony","victoria street"
,,"702 -Laundry",,"702","level 7","laundry","victoria street"
,,"702 -Bathroom",,"702","level 7","bathroom","victoria street"
,,"702 -Balcony",,"702","level 7","balcony","victoria street"
,,"703 -Laundry",,"703","level 7","laundry","victoria street"
,,"703 -Ensuite",,"703","ensuite","level 7","victoria street"
,,"703 -Bathroom",,"703","level 7","bathroom","victoria street"
,,"703 -Balcony",,"703","level 7","balcony","victoria street"
,,"704 -Laundry",,"704","level 7","laundry","victoria street"
,,"704 -Ensuite",,"704","ensuite","level 7","victoria street"
,,"704 -Bathroom",,"704","level 7","bathroom","victoria street"
,,"704 -Balcony",,"704","level 7","balcony","victoria street"
,,"705 -Laundry",,"705","level 7","laundry","victoria street"
,,"705 -Ensuite",,"705","ensuite","level 7","victoria street"
,,"705 -Bathroom",,"705","level 7","bathroom","victoria street"
,,"705 -Balcony",,"705","level 7","balcony","victoria street"
,,"706 -Laundry",,"706","level 7","laundry","victoria street"
,,"706 -Ensuite",,"706","ensuite","level 7","victoria street"
,,"706 -Bathroom",,"706","level 7","bathroom","victoria street"
,,"706 -Balcony",,"706","level 7","balcony","victoria street"
,,"801 -Laundry",,"801","level 8","laundry","victoria street"
,,"801 -Ensuite",,"801","ensuite","level 8","victoria street"
,,"801 -Bathroom",,"801","level 8","bathroom","victoria street"
,,"801 -Balcony",,"801","level 8","balcony","victoria street"
,,"802 -Laundry",,"802","level 8","laundry","victoria street"
,,"802 -Bathroom",,"802","level 8","bathroom","victoria street"
,,"802 -Balcony",,"802","level 8","balcony","victoria street"
,,"803 -Laundry",,"803","level 8","laundry","victoria street"
,,"803 -Ensuite",,"803","ensuite","level 8","victoria street"
,,"803 -Bathroom",,"803","level 8","bathroom","victoria street"
,,"803 -Balcony",,"803","level 8","balcony","victoria street"
,,"804 -Laundry",,"804","level 8","laundry","victoria street"
,,"804 -Ensuite",,"804","ensuite","level 8","victoria street"
,,"804 -Bathroom",,"804","level 8","bathroom","victoria street"
,,"804 -Balcony",,"804","level 8","balcony","victoria street"
,,"805 -Laundry",,"805","level 8","laundry","victoria street"
,,"805 -Ensuite",,"805","ensuite","level 8","victoria street"
,,"805 -Bathroom",,"805","level 8","bathroom","victoria street"
,,"805 -Balcony",,"805","level 8","balcony","victoria street"
,,"806 -Laundry",,"806","level 8","laundry","victoria street"
,,"806 -Ensuite",,"806","ensuite","level 8","victoria street"
,,"806 -Bathroom",,"806","level 8","bathroom","victoria street"
,,"806 -Balcony",,"806","level 8","balcony","victoria street"
,,"901 -Laundry",,"901","level 9","laundry","victoria street"
,,"901 -Ensuite",,"901","ensuite","level 9","victoria street"
,,"901 -Bathroom",,"901","level 9","bathroom","victoria street"
,,"901 -Balcony",,"901","level 9","balcony","victoria street"
,,"902 -Laundry",,"902","level 9","laundry","victoria street"
,,"902 -Bathroom",,"902","level 9","bathroom","victoria street"
,,"902 -Balcony",,"902","level 9","balcony","victoria street"
,,"903 -Laundry",,"903","level 9","laundry","victoria street"
,,"903 -Ensuite",,"903","ensuite","level 9","victoria street"
,,"903 -Bathroom",,"903","level 9","bathroom","victoria street"
,,"903 -Balcony",,"903","level 9","balcony","victoria street"
,,"904 -Laundry",,"904","level 9","laundry","victoria street"
,,"904 -Ensuite",,"904","ensuite","level 9","victoria street"
,,"904 -Bathroom",,"904","level 9","bathroom","victoria street"
,,"904 -Balcony",,"904","level 9","balcony","victoria street"
,,"905 -Laundry",,"905","level 9","laundry","victoria street"
,,"905 -Ensuite",,"905","ensuite","level 9","victoria street"
,,"905 -Bathroom",,"905","level 9","bathroom","victoria street"
,,"905 -Balcony",,"905","level 9","balcony","victoria street"
,,"906 -Laundry",,"906","level 9","laundry","victoria street"
,,"906 -Ensuite",,"906","ensuite","level 9","victoria street"
,,"906 -Bathroom",,"906","level 9","bathroom","victoria street"
,,"906 -Balcony",,"906","level 9","balcony","victoria street"
,,"1001 -Laundry",,"1001","level 10","laundry","victoria street"
,,"1001 -Ensuite",,"1001","level 10","ensuite","victoria street"
,,"1001 -Bathroom",,"1001","level 10","bathroom","victoria street"
,,"1001 -Balcony",,"1001","level 10","balcony","victoria street"
,,"1002 -Laundry",,"1002","level 10","laundry","victoria street"
,,"1002 -Bathroom",,"1002","level 10","bathroom","victoria street"
,,"1002 -Balcony",,"1002","level 10","balcony","victoria street"
,,"1003 -Laundry",,"1003","level 10","laundry","victoria street"
,,"1003 -Ensuite",,"1003","level 10","ensuite","victoria street"
,,"1003 -Bathroom",,"1003","level 10","bathroom","victoria street"
,,"1003 -Balcony",,"1003","level 10","balcony","victoria street"
,,"1004 -Laundry",,"1004","level 10","laundry","victoria street"
,,"1004 -Ensuite",,"1004","level 10","ensuite","victoria street"
,,"1004 -Bathroom",,"1004","level 10","bathroom","victoria street"
,,"1004 -Balcony",,"1004","level 10","balcony","victoria street"
,,"1005 -Laundry",,"1005","level 10","laundry","victoria street"
,,"1005 -Ensuite",,"1005","level 10","ensuite","victoria street"
,,"1005 -Bathroom",,"1005","level 10","bathroom","victoria street"
,,"1005 -Balcony",,"1005","level 10","balcony","victoria street"
,,"1006 -Laundry",,"1006","level 10","laundry","victoria street"
,,"1006 -Ensuite",,"1006","level 10","ensuite","victoria street"
,,"1006 -Bathroom",,"1006","level 10","bathroom","victoria street"
,,"1006 -Balcony",,"1006","level 10","balcony","victoria street"
,,"1101 -Laundry",,"1101","level 11","laundry","victoria street"
,,"1101 -Ensuite",,"1101","ensuite","level 11","victoria street"
,,"1101 -Bathroom",,"1101","level 11","bathroom","victoria street"
,,"1101 -Balcony",,"1101","level 11","balcony","victoria street"
,,"1102 -Laundry",,"1102","level 11","laundry","victoria street"
,,"1102 -Bathroom",,"1102","level 11","bathroom","victoria street"
,,"1102 -Balcony",,"1102","level 11","balcony","victoria street"
,,"1103 -Laundry",,"1103","level 11","laundry","victoria street"
,,"1103 -Ensuite",,"1103","ensuite","level 11","victoria street"
,,"1103 -Bathroom",,"1103","level 11","bathroom","victoria street"
,,"1103 -Balcony",,"1103","level 11","balcony","victoria street"
,,"1104 -Laundry",,"1104","level 11","laundry","victoria street"
,,"1104 -Ensuite",,"1104","ensuite","level 11","victoria street"
,,"1104 -Bathroom",,"1104","level 11","bathroom","victoria street"
,,"1104 -Balcony",,"1104","level 11","balcony","victoria street"
,,"1105 -Laundry",,"1105","level 11","laundry","victoria street"
,,"1105 -Ensuite",,"1105","ensuite","level 11","victoria street"
,,"1105 -Bathroom",,"1105","level 11","bathroom","victoria street"
,,"1105 -Balcony",,"1105","level 11","balcony","victoria street"
,,"1106 -Laundry",,"1106","level 11","laundry","victoria street"
,,"1106 -Ensuite",,"1106","ensuite","level 11","victoria street"
,,"1106 -Bathroom",,"1106","level 11","bathroom","victoria street"
,,"1106 -Balcony",,"1106","level 11","balcony","victoria street"
,,"Hot Water Plant -W/C",,"w/c","level 12","hot water plant","victoria street"
,,"Communal Open space -Hot Water Plant",,"level 12","hot water plant","communal open space","victoria street"
,"Columns"

"TBC"
,"Scope",,
,"Rows"
,,"TBC","dynamic","tbc"
,"Columns"
,,"Sand & Cement Bedding",,"sand & cement bedding"
,,"Confirm set-out, step-downs and finish floor levels",,"confirm set-out, step-downs and finish floor levels"
,,"Lay bedding as specified (40mm bed)",,"lay bedding as specified (40mm bed)"
,,"Confirm step-downs and falls are as per Australian Standards",,"confirm step-downs and falls are as per australian standards"
,,"Floor Tiling",,"floor tiling"
,,"Check waterproofing is applied to wet area floor",,"check waterproofing is applied to wet area floor"
,,"Lay tiles to set out as specified",,"lay tiles to set out as specified"
,,"Adhesive used is as specified",,"adhesive used is as specified"
,,"Tiles used are as specified",,"tiles used are as specified"
,,"Grout colour and consistency",,"grout colour and consistency"
,,"Falls to floor wastes are as per Australian Standards",,"falls to floor wastes are as per australian standards"
,,"Tiled areas are free of damaged tiles",,"tiled areas are free of damaged tiles"
,,"All joints are sealed with silicon as specified",,"all joints are sealed with silicon as specified"
,,"Floor wastes pipes are clean and block free from screed",,"floor wastes pipes are clean and block free from screed"
,,"Trims and Floor wastes as specified",,"trims and floor wastes as specified"
,,"Wall Tiling",,"wall tiling"
,,"Check walls are plumb and square",,"check walls are plumb and square"
,,"Check waterproofing applied to wet area walls",,"check waterproofing applied to wet area walls"
,,"Confirm set-out for wall tiles",,"confirm set-out for wall tiles"
,,"Adhesive used is a specified",,"adhesive used is a specified"
,,"Tiles used are as specified",,"tiles used are as specified"
,,"Grout colour and consistency",,"grout colour and consistency"
,,"Filed areas are free of damaged tiles.",,"filed areas are free of damaged tiles."
,,"All joints are sealed with silicon as specified",,"all joints are sealed with silicon as specified"
,,"Notch trowel glue applied",,"notch trowel glue applied"
,,"Trim/Angles used are as specified",,"trim/angles used are as specified"
,,"Final Review & Sign-off",,"final review & sign-off"

