"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"de8f3ae9-a915-4614-8397-fe4fc091ba6c","","not-started","","folder","FALSE","FALSE","Site QA"
"f5e27e60-86f5-4332-97e0-8dae764fd965","","not-started","","folder","TRUE","FALSE","Site QA","Building A > Level 1"
"03eccb41-fcc2-49e7-8401-a2c4e7355ee6","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.019 - MMHA-027.2"
"47777790-5c0f-4cf8-b77d-bb631b0ec48d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.049 - MMGE-048"
"f5c6a10a-5f24-4c83-9a54-2680b75a21a5","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.049 - FQBS-051"
"f8f8a7b7-3d31-480b-a709-0e2d1759416e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.051 - MMGE-569"
"e77b6589-4e79-4bfd-8c58-b2a0708a8b39","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.054 - FQSM-016.4"
"c013978a-e0d1-4bf6-8cfd-9098ce3d1793","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.054 - MMGE-048"
"4c0acfab-f897-41b1-aae6-fb5ba8241066","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.066 - MMGE-119.2"
"b2f23eed-ea8b-4d01-8f0d-539ccf977a3e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.067 - MMGE-119.2"
"72314b97-8837-4cbd-8fd8-6cc5f01bf427","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.068 - MMGE-119.2"
"bff51474-b15c-4f15-ab6b-7445e64a8c64","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.069 - MMGE-119.2"
"35c65d15-f58e-4673-9415-787b6dc8cf9f","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.070 - MMGE-119.2"
"64dfe34b-943a-4530-8669-380918a1e673","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.072 - FQSM-016.4"
"250b91f4-263f-4d2b-a8e7-6d1442ca4231","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.074 - FQCA-503"
"f33238f4-7944-4796-8928-e13c85071ab1","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.074 - FQCA-504"
"a6e8993f-37de-4d92-b9cf-c6166bc6a330","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.074 - FQSM-030"
"82211280-d4e4-4a0a-bd1a-bf371ee6a767","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.075 - FQBS-008"
"24343e1c-3836-438e-aa7c-8f2b388ef9a2","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.075 - MMGE-024"
"8adc0bee-0fba-4a37-a422-b26da6bb8a28","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.075 - MMGE-566"
"5cf7922e-002a-4b04-863e-6b8c81c63819","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.076 - FQBS-051"
"cbcc4f5a-cd2c-4da7-92f8-04cb92799bbb","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.076 - MMGE-119.2"
"7eabad25-87e1-4640-9b9b-099227bb772e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.077 - FQBS-051"
"a97dd928-be7d-4f61-a7c2-c2c272862fd0","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.077 - MMGE-119.2"
"af7d4852-8b11-457e-94a0-8b5d646ad3e8","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.078 - FQBS-051"
"abec8702-2036-47a2-a168-68f4ccc17c6a","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.078 - MMGE-119.2"
"93754822-7277-4cb2-993e-b38d2efc7229","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.079 - FQBS-051"
"3eed9f96-ec0c-47e3-8e80-3b07569107ca","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.079 - MMGE-119.2"
"d23162a7-239f-4c34-a694-2ab9c942e6c7","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.080 - FQBS-051"
"8cf36fb8-4de0-4530-906f-8baa4b07e87e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.080 - MMGE-119.2"
"c129d56d-e4bb-412f-937c-2a4257637905","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.081 - FQBS-051"
"25874e1b-8883-45e2-89b4-28b367747659","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.081 - MMGE-119.2"
"e0cd9bea-b94c-4253-9661-376010388f49","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.089 - FQSM-016.4"
"6ecdb3bd-2954-41a9-b4b0-a090eefc1184","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building A > Level 1","01.A.089 - MMOP-071"
"b2c187b0-0649-479d-941a-25d8edc6e619","","not-started","","folder","TRUE","FALSE","Site QA","Building B > Level 1"
"5387780d-dbfc-4922-b686-f6c4f3914e1e","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.028 - FQSM-030"
"05741757-a421-4c88-a301-201576769186","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.031 - MMGE-025"
"0e7e9164-a190-44f5-a685-ced5248e04a1","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.058 - MMGE-623"
"cdcf4675-7239-401f-8dfd-3602c4ac797d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.059 - MMHA-027.2"
"ef3e3fea-3583-4211-b0ba-67a0a816b264","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.064 - MMGE-048"
"af4414eb-a398-4e39-9359-fd2400853e59","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.066 - FQBS-053"
"9b3d66f0-5c72-46d1-80df-222cdd70382b","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.071 - FQSM-016.4"
"f3f58a79-a995-4d18-af77-79927e489117","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.135 - MMGE-124.1"
"8558ae0c-6fe1-449a-9133-f2ea6a1b0d47","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.135 - MMGE-119.2"
"73ef97dc-f842-4fc2-8dcb-9577d58a7e15","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.178 - MMGE-048"
"3403c4ca-64dd-456c-ba7e-c996a07b69d3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.179 - FQSM-039"
"108a618c-46e8-44be-9aad-967595afccb3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.179 - MMGE-048"
"a5af7339-1429-4697-b556-f29360d27f21","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.179 - MMLA-602"
"fb401da3-5be1-4244-b644-706c85cb4c3d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.180 - MMLA-600"
"53b41ed9-6ba2-4bec-9f32-56d924bc3690","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.180 - FQSM-016.1"
"f66308e2-08eb-4b1e-9216-da478ef89c90","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.181 - FQSM-039"
"51c248be-4e50-4c16-835a-8410ec53a310","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.181 - MMGE-048"
"11847ba9-6296-4153-ade0-f6165dc3415f","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.181 - MMLA-602"
"8eb564f1-ed7a-4a9b-95b8-07915b1a88a3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.182 - MMLA-600"
"b62ea00d-3ded-4395-a77c-9fb788e77676","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.182 - FQSM-016.1"
"36208655-4fc2-480f-b61c-a03fd1c05dd7","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.183 - MMLA-600"
"561b24e4-19b3-44fa-bef9-d9838a4c9382","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.183 - FQSM-016.1"
"e1016bce-1d06-4c7e-90f7-474981805dee","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.184 - FQSM-039"
"abddfabc-3086-4ac4-9fd4-da2a4561813c","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.184 - MMGE-048"
"8319f6bf-18d7-4f4f-95b5-2ee506f119d3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.184 - MMLA-602"
"09c20802-e060-43da-ac79-9d1f82faf67d","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.185 - MMLA-600"
"4b43bc46-f7ba-4679-8022-db68b5125166","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.185 - FQSM-016.1"
"c41165ad-b339-436b-b109-c2160c7d34ad","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.186 - MMLA-611"
"df21bdcb-09e8-4cc8-996c-5d549bef96d3","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.187 - FQSM-039"
"0864f395-a0b7-40c7-892f-e7de3a05065f","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.187 - MMGE-048"
"d5251145-afde-4341-b524-d615eb4ad8e7","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.187 - MMLA-602"
"ce9cd338-1437-45d2-9ccb-ca222d80de02","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.188 - MMGE-048"
"99a050d2-2ea2-4fac-915e-d80283826dcd","","not-started","Equipment Commissioning","checklist","FALSE","FALSE","Site QA","Building B > Level 1","01.B.188 - MMGE-566"
