type,name,values,prefix,postfix,usage count,user addable,template name,
checklist-flat,Area,,,,,Yes,Joinery Install QA,783bb832-5eb5-43f9-b8d7-a3c0f2290965
checkpoint-status,Area Accessible and substrate ok to begin work,,,,,,,
checkpoint-status,Correct dimensions,,,,,,,
checkpoint-status,Structure/Service locations/Joinery Service locations Joinery,,,,,,,
checkpoint-status,Is the joinery damaged prior to install?,,,,,,,
checkpoint-status,Joinery adjusted and functioning it for purpose,,,,,,,
checkpoint-status,"Joinery cleaned, capped, bump ons applied and caulked where needed",,,,,,,
checkpoint-status,Protection fitted,,,,,,,
checkpoint-status,Joinery adjusted and functioning it for purpose,,,,,,,
checkpoint-status,"Joinery cleaned, capped, bump ons applied and caulked where needed",,,,,,,
checkpoint-status,Protection fitted,,,,,,,
checkpoint-status,Area left clean for hand over,,,,,,,
checkpoint-status,Work completed as required and photos attached,,,,,,,
holdpoint,Request Signoff,,,,,,,
