"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3e4fae20-9e82-4258-850c-989167c87128","","folder-normal","fail","","step","TRUE","FALSE","Level 2"
"d6a969fd-1f27-44e6-8917-c90e4163915b","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","201"
"8c185a09-63e3-4a18-93f5-6e755e14a069","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","201","Bathroom 1 Vanity QA"
"cc5232dc-f6ed-4bbb-9d53-05a7d8dd03c1","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","201","Kitchen Joinery QA"
"92ab0b99-d43b-4251-bf72-565b41764f4c","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","202"
"113c3f54-b35e-4371-b4ac-03b27a7a4688","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","202","Bathroom 1 Vanity QA"
"d26b0386-371d-4327-b6b0-6b985a146e88","","checklist-sectioned","not-started","Hot Water Cupboard DoorQA","checklist","FALSE","FALSE","Level 2","202","Hot Water Cupboard DoorQA"
"7423f3c7-859e-4efd-8d3f-82ade38d0511","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","202","Kitchen Joinery QA"
"d712ea98-2cba-4808-a4af-13a22b6fb112","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","203"
"1a744656-9ff2-4306-a5c9-a54778bd86e6","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","203","Bathroom 1 Vanity QA"
"42efdef9-a6c8-43b2-889b-3df4f241d0c7","","checklist-sectioned","not-started","Hot Water Cupboard DoorQA","checklist","FALSE","FALSE","Level 2","203","Hot Water Cupboard DoorQA"
"a6b4021e-ca20-48fa-9d56-837e273b0d31","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","203","Kitchen Joinery QA"
"395bb681-2828-45b3-bd14-7267e5133728","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2","204"
"2c64f961-2061-4b0e-9c70-42f983dbace8","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","204","Bathroom 1 Vanity QA"
"eb6be35e-0df0-4f08-b10f-9df7368838a0","","checklist-sectioned","not-started","Bathroom 2 Vanity QA","checklist","FALSE","FALSE","Level 2","204","Bathroom 2 Vanity QA"
"71021edd-c5d0-4d9c-a370-fdde798d85e0","","checklist-sectioned","work-in-progress","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","204","Kitchen Joinery QA"
"537ea5c5-96c8-487b-84b9-129448dd3639","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","205"
"d61eb014-ff7a-47a0-b193-2fef782ab3f7","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","205","Bathroom 1 Vanity QA"
"87f0cca2-8cb4-4bf0-aa2c-030416fce1de","","checklist-sectioned","not-started","Bathroom 2 Vanity QA","checklist","FALSE","FALSE","Level 2","205","Bathroom 2 Vanity QA"
"4af56deb-4e5d-41d0-bc51-944929d8d1ed","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","205","Kitchen Joinery QA"
"73eaa96c-3a79-4c79-b077-2ec109fdf3bd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2","206"
"d7f26552-fd9e-4dea-9619-06b3f8304e7e","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","206","Bathroom 1 Vanity QA"
"c17ce3af-fb0a-447b-8ef5-24a1f93982de","","checklist-sectioned","not-started","Bathroom 2 Vanity QA","checklist","FALSE","FALSE","Level 2","206","Bathroom 2 Vanity QA"
"313b8908-b28b-4b9c-9986-7bde8eb5e693","","checklist-sectioned","work-in-progress","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","206","Kitchen Joinery QA"
"0d65f071-65cd-4d67-a4a5-9d5be5a42882","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2","207"
"b8b9bc62-2904-4db6-b7f7-fea08f7c68a3","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","207","Bathroom 1 Vanity QA"
"1c106659-fbb1-489a-8a89-c5404886440d","","checklist-sectioned","not-started","Hot Water Cupboard DoorQA","checklist","FALSE","FALSE","Level 2","207","Hot Water Cupboard DoorQA"
"97e292cb-8c54-45b9-8fc0-26d76d097e9f","","checklist-sectioned","work-in-progress","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","207","Kitchen Joinery QA"
"5200ef8c-92e0-4a89-9973-3606e67ffbe5","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","208"
"e51bc71a-50fe-4573-bd45-bd9d012f9cac","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","208","Bathroom 1 Vanity QA"
"ac1a0d97-cd60-41fa-8b68-0cb7a0ce6024","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","208","Kitchen Joinery QA"
"59477c8f-d3dd-4c70-bdd9-b06832c71a9e","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","209"
"896e9c38-a977-4fd1-9505-a0948d04a5d7","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","209","Bathroom 1 Vanity QA"
"d69bc1ff-2d54-4e6f-9c7e-ac34cbddf4f6","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","209","Kitchen Joinery QA"
"60b8d98d-9bbd-4370-9fd6-358aa939a0d0","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","210"
"9781abe1-4df7-4874-93ec-e6f50435e04e","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","210","Bathroom 1 Vanity QA"
"c112da16-212e-4a75-8ee0-1178421ec0a9","","checklist-sectioned","not-started","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","210","Kitchen Joinery QA"
"433c657c-d700-4346-944c-ea5ef14ffdee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Level 2","211"
"0e577ccd-7ef8-40e4-a95f-b6f062c011c3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2","211"
"067f0a11-4a41-490f-8697-9df97439e1f2","","checklist-sectioned","not-started","Bathroom 1 Vanity QA","checklist","FALSE","FALSE","Level 2","211","Bathroom 1 Vanity QA"
"888e23e5-203c-4101-9aff-c9aa573ae008","","checklist-sectioned","not-started","Hot Water Cupboard DoorQA","checklist","FALSE","FALSE","Level 2","211","Hot Water Cupboard DoorQA"
"a7c1769e-bbf3-4286-9387-34dcb0ba7040","","checklist-sectioned","work-in-progress","Kitchen Joinery QA","checklist","FALSE","FALSE","Level 2","211","Kitchen Joinery QA"
"18fb46fe-84ea-46ab-97e9-d77a95b05510","","folder-normal","fail","","step","TRUE","FALSE","Level 2","212"
