"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cf37458-8d0a-447f-a5ba-4c267d3689d0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA"
"4bc3dbf0-f25e-4605-bf69-af6ce9e1ce95","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C"
"ce08f1f7-c926-4a15-8fdf-ac91b177af66","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D"
"31d4294b-04d7-41f8-9f7e-b5573209be1f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation"
"339e35e7-c9fe-4cd2-a170-f8034c2c9710","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Ground"
"1654c34b-6e47-4230-9602-0a552c905c36","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Ground","Mechanical Installation Rough In & Fit Off ITPs"
"bda02145-1ccf-4c69-9844-511d0cc5e4ed","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 1"
"9d30b450-b49a-4b13-8e8f-a6e372f25bcc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 1","Mechanical Installation Rough In & Fit Off ITPs"
"96f10feb-9580-42ef-a833-e57417b56446","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 2"
"349044d0-108c-401b-b6bc-d9d99f7d4f17","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 2","Mechanical Installation Rough In & Fit Off ITPs"
"7894e0c3-1068-4f4d-864b-02e8670607fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 3"
"47cff156-fde3-422d-ab39-d97210abbab9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 3","Mechanical Installation Rough In & Fit Off ITPs"
"600dcad3-933d-4305-bc78-48e8cc2f7fb9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 4"
"697a4958-964f-4430-9509-99745a54d7b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Level 4","Mechanical Installation Rough In & Fit Off ITPs"
"ec0e128f-1ff3-4309-aa54-842ee7429646","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Plantroom"
"a6855616-f52e-49f4-a1bf-7b0b3d47f43d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Plantroom","Mechanical Installation Rough In & Fit Off ITPs"
"ba8b2fe9-fa83-4adc-a204-fda69b627c26","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Risers"
"5c6b095e-b1a9-4160-b94c-d091ec0ae270","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Risers","Mechanical Installation Rough In & Fit Off ITPs"
"c4a88a6a-5e9a-466c-be08-efb1f09148d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous"
"24530778-0d03-407a-aab0-ac6f81f7ab00","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous","Duct Leakage Test ITPs"
"767ffab6-4480-4da7-9524-45950ec66648","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous","Pipe Pressure Test ITPs"
"e51c1fd4-172c-43f6-a96b-553ec3799483","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Zone C","Building D","Installation","Miscellaneous","Pipe Flushing and Cleaning Test ITPs"
"050e7253-5100-4483-a575-8c7e46969307","","folder-normal","not-started","","step","TRUE","FALSE","Demo / Training"
"6b22d871-9e49-4207-ac8c-a30c8e70473c","","checklist-sectioned","not-started","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Demo / Training","Mechanical Installation Rough In & Fit Off"
