"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ab1f37d3-e788-4dc5-b48b-bb1c5bf5ae25","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-05"
"3483b0cd-75a7-4042-92fc-06d2994e7926","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-04"
"a6cb3ff6-cf22-4df2-a241-a9c765cd5a64","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-03"
"048965a8-9a6d-4069-8f26-2e0cfcce6bc8","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-17-9"
"092b5257-5506-438a-a81e-e43f5d538398","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-17.8"
"b1969294-b41f-4115-8a2c-8e6554bf85a1","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-17.7"
"63ad863d-564d-4374-b367-a13e5593a034","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-38"
"1c1e97e5-5c09-4933-bcce-8359c65b3a7f","","checklist-flat","not-started","Seismic Suite (Curtain Wall)","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-39"
"82b87b2d-19f6-4314-a987-1377780858cc","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-37"
"4663fa06-32eb-429d-baac-0b57e4fcf8cd","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-36"
"8c76b0ad-6813-4518-b67b-49e0a196e067","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-35"
"d713fdd1-8b8e-4d78-944c-7f98657795c1","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-34"
"f2ac77ca-d074-4d5e-b3ec-f8240c2e3b60","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-33"
"5cfac6d1-66e0-4308-89dd-230b8261792c","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-32"
"fa24ef1b-26a4-4caf-b887-7a128a942131","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-31"
"9c655668-fe63-47a3-9235-aaea4e0e7a4a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-30"
"bca5e9aa-10b2-417d-a614-84e52e9bd0da","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-29"
"b6db3cf2-3744-4215-97a1-6a909e09cda6","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-28"
"3a2226ed-ad92-44cf-8ce9-98453875e180","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-27"
"2cfb199b-a586-4b76-a218-c8bee9d38e33","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-26"
"da00da06-c7ee-4deb-bcfb-337e34389787","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-25"
"a80f3938-92b2-4843-a2e7-76c104e8c44d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Ground","W.0-24"
"b41488b1-5f78-4c42-a723-2f10ab0c3f0f","","folder-normal","not-started","","step","TRUE","FALSE","Part B","Level 1"
"67e447e3-a8b1-467a-8462-2d4060edc78b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Part B","Level 1","W.1-07"
