"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f68aee2c-3815-409d-b93f-781430a8f668","","not-started","","folder","TRUE","FALSE","Common Areas"
"3c241f25-c3ad-4ca3-82d8-77622150b517","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"906f3bc6-7abc-4331-b6ea-e209729a7f7e","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"cae6728d-61db-40b2-aed7-1a0c2bf5ab3f","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"1a575473-e0f8-495b-be86-85606fed2466","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"2269bc6e-fbf2-4f38-b591-bd341b01f35a","","not-started","","folder","TRUE","FALSE","Studio"
"2a563ea6-6337-4f87-9019-3564fed7c32d","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"ab4f31f7-4f97-463d-a303-84fbe1a6f5be","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"5d00697d-647a-4515-87f4-5f32267d8599","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"0f51f832-29a1-4a87-b363-3cb7ba5936e8","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"feb87fef-0b8f-4d50-9c96-98df14b786bd","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"f1d06c6c-7e88-486e-8c66-bfed7bcab263","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"2706566f-351e-4027-98b1-e58cf5ad2ad2","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"fc28a698-982d-417f-8633-78fc09b66057","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"d4362d88-2620-411a-84dc-f742cec090df","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"70b7ebf1-d07d-4d11-8604-5cbb3d92eb01","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"9eec01db-116e-49e8-9dd2-47334700e17f","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"36c7ac97-a868-4736-abcb-3002f99d1de4","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"262d7799-a639-4067-a211-947abbb23c5d","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"3d13d651-dff0-450a-871a-7a6b963e58ba","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"645edd0e-d2da-48e1-81d7-f55a0e5e73e7","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"3e3c8fe8-cf88-4b9e-a3ef-8ce5e030e0b2","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"bc06e8ef-da1f-4c40-a412-07da7fe7297a","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"14216a8f-77d5-4493-8bef-c30052511d04","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"5d0beadf-3cca-458e-b35e-c2738febe952","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
