"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a8fafd9f-d922-4d19-9dfa-16f229da1039","","not-started","","folder","TRUE","FALSE","Common Areas"
"e5545c39-6089-4dc0-bf22-5b8dbb65102e","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"ee997caa-a599-46f1-8d51-c5ff4044790e","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"886a80d7-1fa1-46b7-bf22-e74d82920922","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"82744469-7df8-47cd-bc08-68a7192df838","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"b6b8634e-439c-4f63-a83d-2c60bb79692b","","not-started","","folder","TRUE","FALSE","Studio"
"944e416d-0808-4744-94eb-f9d2e0206faf","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"a696b19f-94e1-4c8e-98bf-9d2de16fb04d","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"559f119c-4186-4274-9369-f0c7e98020e3","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"2f51b82f-c409-4159-93da-ca27dbbcb311","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"a0a34d39-c22f-47d7-8b94-3acb426c70c9","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"a1ccaad8-2884-450c-bf0e-87a72bd0845d","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"0cdcc243-8072-4e3d-907f-f7b503c426cc","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"3da0310f-c5dc-4339-a424-f5d434157b3a","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"5f822e68-b9c5-4193-b926-7ebe46b06ff2","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"7ca78ea0-a29f-44d0-984c-802ef99e44ee","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"78407c64-94dd-42c1-bc4f-9399ffe9aeda","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"6ba35c07-0bfa-42f6-afb8-db3226c2f811","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"c56972a1-355f-45cf-a27a-6c0e87dbba7b","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"dd68be33-654d-4b30-9938-ec2f2f602a38","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"52809302-4a4e-49b2-8141-7f56406f5e9f","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"39aff356-69fc-47a6-9b1c-69b696ee024d","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"c7b593a5-d8c5-4bbb-a1e2-072d07016846","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"a32ebd87-911f-4501-8404-452f44652cec","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"f50cae6b-0c9d-40c3-a009-558845c1bea6","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
