"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fde27095-c737-4c2d-9c90-6d8ed69a4bcd","","not-started","","folder","TRUE","FALSE","Common Areas"
"04af3358-159d-40df-92a7-218f8d289c46","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"eed99c43-ea6d-4303-990d-268c4d4e16f6","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"ce168cbb-cb23-4d2c-8549-621361fb5c70","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"c9b81559-7bec-42b4-adc6-5bc15d8c6862","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"901f9f7a-b435-4b6e-8132-4a81a43b8cf3","","not-started","","folder","TRUE","FALSE","Studio"
"2fc3cc80-1642-480d-916e-560642da5c85","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"cddb3d4f-1ad5-4fb3-aec3-df6d07f6e7d6","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"a72ecdf5-3c0b-4e3d-b8b6-be4c91f945f0","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"7bb82ccd-7e9c-4143-986d-f9bb9be91b47","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"2cd194d4-f136-4c0a-92a7-3614ee781c3c","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"e4996ba1-67f1-4999-96cb-bee8045d3f60","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"92d9ab8c-ac20-411e-9da7-9cd4b1c2b7d9","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"af289dbf-50b2-479c-b2a0-3537205e657b","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"626e700c-afcb-4933-8614-22c33c0a6270","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"ef1fea36-8b2f-405d-9040-7f4f0169f45c","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"0666c576-c8b2-4ee3-87f9-ee7dbaa6c8f0","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"d960da58-9499-4201-8fbf-3973c046192a","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"c0363095-30f6-4aec-babe-c03bbeb13c4c","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"192ff71c-52d6-4630-bce8-d122c498fad9","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"5b9c502a-5435-4f1c-86bb-e6dd4e35b884","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"1a285d19-a412-4355-ad45-9d46c971b4f3","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"1029759a-eee3-475a-b0d9-dc4a950da2b1","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"b16797cb-b58e-4bbc-b259-b84dfe904af3","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"8dc09d17-bfee-42a9-99ca-72d7ad9db7da","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
