"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3a166e2d-2a13-4a4c-baf8-1232c11baa49","","not-started","","folder","TRUE","FALSE","Common Areas"
"a0bdf103-c5da-4d9c-a6f1-4761d89b6f40","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"e6e4549b-3734-4273-9b7d-e06dae7a729d","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"c165aa83-4b06-4ef1-86f6-ea73df472116","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"801a0639-5b58-47e2-b295-d0dee3c27461","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"dd7c6d8a-5930-4188-9b4a-8fb94caba3bd","","not-started","","folder","TRUE","FALSE","Studio"
"6e75a250-80dd-4012-8825-f9675c881182","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"7825a28e-2715-4326-b0bd-c2d0efe3b7be","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"2e9606e5-7d18-4d89-95ef-8846600c6118","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"7dbe9c94-886c-4e42-9991-cbd467fabd7e","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"26e994f6-9e0f-4a63-95b5-219ef4f1ebb6","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"a58c860b-29e8-4fc7-9685-47c62e5e0d7e","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"a9ca8e13-5daf-4b76-a3be-5fd8acadec62","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"f6747fd8-e952-490f-a85a-05602b3d169f","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"c42f4bca-f0dc-4c3b-93b7-e22950942cd2","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"17faaa8a-c666-4a9b-b8b2-0d3d481d9fe9","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"d404fdd4-6c4a-426b-adb5-33e86979fad2","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"5d7b7745-1c71-4bb5-9065-1bab20f4d73e","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"c6f7b3f5-045d-49b5-b181-04d1a1030921","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"0b6db41e-7d9c-4f83-8605-745c201f6a61","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"34e0af17-e31e-4b3a-9ec8-918e2278aefb","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"e90444b8-0242-4df6-89ce-b23fd1bde15b","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"89e7a2a8-e72a-4267-b59c-070499324487","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"46cad1e9-97a8-490c-a04f-39b63b6f24dd","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"6974a673-de45-4588-bbe7-18a2ffa5bf34","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
