"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eb20597a-a39c-4cec-b46d-96821cf6e6e0","","not-started","","folder","TRUE","FALSE","Common Areas"
"3dca3942-3bf3-42b0-b530-a652f4cd4e81","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"aeef55fa-604c-4066-b331-745150983211","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"4ff0d399-61d3-4473-8402-b3f24f0b94f7","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"f3e65a15-c8c4-427a-80a4-b0afffbf1de1","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"c6bc082a-337e-4ba4-91a7-84452140878e","","not-started","","folder","TRUE","FALSE","Studio"
"c23c2cf7-f442-4549-90bf-885430c64fca","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"40c64cad-fc6b-429a-9da2-f524471ab2ba","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"ef01b341-4b32-465c-9c94-cefb123241a2","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"1446c7ec-3820-423f-8ad2-53a45ff87301","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"8a7b6c4f-4871-474d-8a61-a6fc1f2ad003","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"ae1c9d5b-a2ee-478b-a25e-2222f9493322","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"5d83c310-f6dd-4de2-93c9-1ccab0fc515d","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"92bcae42-130c-47f8-9ab1-ef89df69d809","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"aa1e817a-2f64-4b8b-9019-f26b78bc66c6","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"36fc08f2-5e91-420e-87d8-70fa15b61e0d","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"f726f746-7a3a-48af-84b8-e4b439616b77","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"b375f17f-3949-4062-98c3-94a78b06fd14","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"387d1610-3394-4e69-bb22-74575ef5efed","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"fff00c79-d24b-44b8-9855-eeaa8c722448","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"f6a62c3b-e116-4d79-9bbd-4cfa16ddb562","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"f6d03077-230e-4920-be25-9ac99cafcbcf","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"9f54c43d-3c02-490a-bd84-c8b730138fd0","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"23979c9c-d72a-45b5-afa3-dd715e966a3c","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"9d3976a0-28f3-4897-b4c9-8585142f1b58","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
