"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"514240ef-1add-41eb-b3f8-8fe8eee2a15e","","not-started","","folder","TRUE","FALSE","Common Areas"
"93415751-7cad-4a3a-b1b7-d7a9c6279a8d","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"4696e1d9-b495-4943-aab1-09184a45ab06","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"7b28e844-89f2-4286-8ba5-de34a473aa54","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"36224513-03e2-4371-8df8-7a779f28ce5c","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"1a750822-d04b-4b89-be71-5fbf27d0f8cc","","not-started","","folder","TRUE","FALSE","Studio"
"65a3ee0a-ea8d-46d4-8f40-e078372d4036","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"dceeebd9-fa61-4800-9a52-a4b866d2ec82","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"25b593e6-4219-48d4-a631-5fa6fffb4c25","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"d1a341f4-1121-46eb-bc4e-3481f54753a4","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"eb926a02-4fd8-4096-8572-e57412f11f6a","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"5e18e692-916d-49f4-9c15-fc7df8f6e8fe","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"3a685127-0e26-453e-b50b-68dfc5e5a340","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"d14de55b-ece4-4883-9d51-8106a0d1ed7c","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"9e90dd21-f91c-4764-8062-d85da88602da","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"101ee6b7-6fc7-45af-828e-7dfa060d52e7","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"c6a8224d-92c4-4d83-9208-0920b5366bf0","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"8d507e55-d0b0-4692-a233-aaf5f5b35446","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"3c195141-bfe2-447e-8584-3f13857d12ee","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"cd11d6ab-2152-452d-8ece-7f71027cb486","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"26ed7153-273d-4e0b-92ff-9339361363ba","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"924db988-d47f-4f80-8361-a244e6306f67","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"7359cbd4-2c0f-4339-b057-98cb9085579b","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"32ea8ab6-04c7-4801-ae43-11b18e469a85","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"38dae9db-cebe-4efe-8a27-2b6c543da974","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
