"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d0d5da85-1813-40be-9cbf-42301eb56e1a","","not-started","","folder","TRUE","FALSE","Common Areas"
"7b9241fa-e7ac-4665-858a-c83ba8fb3cf8","","not-started","Building External","checklist","FALSE","FALSE","Common Areas","Building External"
"57ce1d29-636c-4200-9523-6ec0e97b3b06","","not-started","Reception/Lobby","checklist","FALSE","FALSE","Common Areas","Reception/Lobby"
"9e9ea7a9-7c3a-4a81-ac0a-213f2ea50ef9","","not-started","Passageways","checklist","FALSE","FALSE","Common Areas","Passageways"
"c6149500-59f8-4b39-8592-ebeab18fb226","","not-started","Back of House","checklist","FALSE","FALSE","Common Areas","Back of House"
"cda4ba7f-ef77-4556-a27c-4b46733724de","","not-started","","folder","TRUE","FALSE","Studio"
"10ed6f85-110e-417c-b943-e1efd96ce7d5","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"ba2407f9-c7e5-4c10-a5a3-def63c35a2a9","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"60d02cfb-bc03-47b2-b1ac-11ac556a7c81","","not-started","Studio","checklist","FALSE","FALSE","Studio","Room #"
"68be1e60-420b-4502-bf08-0367f660ee04","","not-started","","folder","TRUE","FALSE","Studio Superior/Exec Apartment"
"85a24d49-12b1-4697-9e4b-c85845be077d","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"aea2baf0-fa0c-40fb-b80a-74038ad16aee","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"a669ad37-3618-49e1-a347-36137bbefcc3","","not-started","Studio","checklist","FALSE","FALSE","Studio Superior/Exec Apartment","Room #"
"eaae09ef-3d0b-4bbd-9978-58ced39f5be8","","not-started","","folder","TRUE","FALSE","One Bedroom Apartment"
"a4d0824c-65c5-455c-a85b-7d83d5f0f979","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"ae7b479c-e39d-47ff-950f-688409218299","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"7d41fb76-c1a8-4caf-836e-2b71fa150e08","","not-started","1 Bedroom","checklist","FALSE","FALSE","One Bedroom Apartment","Room #"
"fc205abf-ad60-4025-9335-786ea1fe3bcf","","not-started","","folder","TRUE","FALSE","Two Bedroom Apartment"
"7883ec6c-6cea-40fb-b33a-abc92bef085f","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"2642ddf3-5812-432f-85b4-56baadbcebf1","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"f75fdadf-cc3f-4fb7-8d37-3a2cf7809aa4","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Apartment","Room #"
"e3d898d7-6d94-4c18-9d78-9057c3e7ff68","","not-started","","folder","TRUE","FALSE","Two Bedroom Superior/Exec Apartment"
"1c8523a6-13bd-409e-a4ea-b630c5819465","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"b696a9c8-e997-4421-b6e0-979bb956cbf9","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
"a3f2e4ee-da75-454a-b37b-accf420a9519","","not-started","2 Bedroom","checklist","FALSE","FALSE","Two Bedroom Superior/Exec Apartment","Room #"
