"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"77f0a277-372f-473c-b674-ee253d10d378","","folder-normal","not-started","","step","TRUE","FALSE","North"
"f43601b9-92b6-4cdb-908b-d63ab0edef97","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","L.03"
"508ca8c9-43b3-411e-89a2-609dfec8dde9","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","EWT.03-1"
"f612a254-fe0b-48b6-abbb-e272d6cdb950","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","North","EWT.03-2"
"fbfd29e7-2f6c-45db-9ba2-93307c066caf","","folder-normal","not-started","","step","TRUE","FALSE","South"
"80279135-df5a-445a-a195-07bad9ab5d9a","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","SIP (FAP)"
"32fb5a6e-b0c6-4272-9751-8b98f6854fff","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EWT.03-3"
"0b57ad25-dba3-460a-93d9-bb82aac3cb3d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EWT.03-4"
"9a6dcef8-10e2-49ae-bfdd-aea2b386761f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EWT.03-5"
"3b4692b0-f143-4c9e-8749-be09e40c5d38","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","South","EWT.03-6"
"e14c87b1-390f-4b80-811b-bddac3f89247","","folder-normal","not-started","","step","TRUE","FALSE","West"
"994723d3-f4ef-4f5c-ac99-d28f00d61890","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","West","ED.01"
"3b1ce3e6-3ec7-4e13-8f7f-a0b86e9b6f83","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","West","ED.02"
"534258a7-72ff-49fe-9aa4-cc19aaff0314","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","West","W.01"
