"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e2b74a8f-6084-4f06-84a0-48ca67f3ad0e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Keller Site QA"
"fe38be8d-d5e3-41e1-b84f-fa33aaf6a0a5","","folder-normal","pass","","step","TRUE","FALSE","Keller Site QA","Retention Piles"
"4a8a5f47-61fa-4beb-a4a8-277d8b9e05a3","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","1"
"ea5901a6-e7d5-4ea7-b1c2-2c3227d954ef","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","2"
"913603cd-ab78-464a-94a6-85fb8db70b29","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","3"
"918131a4-6848-4c20-a490-4b07e2f87de0","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","4"
"06670639-8f48-438f-afb6-625a2447693f","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","5"
"08b7ffe5-09cf-4b1e-9152-f0964ce195b6","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","6"
"f8082d0d-32b4-42c0-b306-60f44beb384a","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","7"
"b873b7c1-d6b4-400c-9f1b-abd6f35698b4","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","8"
"03365c10-8e1c-453b-9001-6737acd2cc24","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","9"
"5998ee6e-9fed-456b-a84d-e937fd9dc252","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","10"
"12d27b97-39c3-4690-92ad-1c64b6f5c536","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","11"
"9e43648e-cbee-4133-93e3-ff766132bdba","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","12"
"0340e85b-25d1-40c1-9a59-b11589bcfc7f","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","13"
"3439a6eb-9a99-4cda-9f21-a5ada83a3b73","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","14"
"0c15e262-b637-46d4-be9e-16753138fdf4","","checklist-flat","pass","Piling Records ITP","checklist-flat","FALSE","FALSE","Keller Site QA","Retention Piles","15"
