"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc307097-fcc7-4317-8d8a-fbe503769d51","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record"
"13a27e3c-1b47-4ee2-a5f3-f59e5fe4db56","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record","Installation"
"b0359b49-a872-41b0-96a9-eeb51b9339eb","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record","Installation","L00"
"b951d708-992a-4e13-a7db-bd3b6108ca4f","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record","Installation","L00","Dry Fire"
"6e1d1c42-582a-4f55-97b2-eb004add0d6a","","work-in-progress","Dry Fire System Installation ITP","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L00","Dry Fire","PFS-QA-ITP-FSV-DFI-PD-L00-0001 - LIFT PIT"
"a9268bfa-54f0-4b90-821a-6556358d71d0","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record","Installation","L00","Wet Fire"
"8c84675d-242e-40de-9e60-f4ef3f496c1c","","work-in-progress","ef19fdc93900b5a7df4755b5d804a4e27b94184c7672309b7756b3e05a538bfe","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L00","Wet Fire","PFS-QA-ITP-FSV-WFI-PD-L00-0001 - LIFT PIT"
"64480ed2-8267-4b89-9ac3-5f9f83e96d52","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record","Installation","L01"
"3073c3f2-2ad9-4f61-bbaf-87a5f42c9e23","","not-started","","folder","TRUE","FALSE","Inspection & Test Record","Installation","L01","Dry Fire"
"b0b43bf6-f7ee-4017-8c11-42ad00ad5f79","","not-started","Dry Fire System Installation ITP","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L01","Dry Fire","PFS-QA-ITP-FSV-DFI-PD-L01-0001 - EXISTING CARPARK"
"4ecd1a4a-0f2d-4294-8371-f9cd68cbee9b","","not-started","Dry Fire System Installation ITP","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L01","Dry Fire","PFS-QA-ITP-FSV-DFI-PD-L01-0002 - PART 2"
"327804f0-6246-4bf1-b3eb-1d21498a2f33","","not-started","Dry Fire System Installation ITP","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L01","Dry Fire","PFS-QA-ITP-FSV-DFI-PD-L01-0003 - PART 3"
"056d583c-315f-4444-9394-668b0b830b62","","not-started","Dry Fire System Installation ITP","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L01","Dry Fire","PFS-QA-ITP-FSV-DFI-PD-L01-0004 - CASINO DRIVE"
"c2befe4e-49fb-4791-932d-29725f6146f3","","not-started","Dry Fire System Installation ITP","checklist","FALSE","FALSE","Inspection & Test Record","Installation","L01","Dry Fire","PFS-QA-ITP-FSV-DFI-PD-L01-0005"
"11f43d1f-e805-40f7-9108-c6c906ade91d","","work-in-progress","","folder","TRUE","FALSE","Inspection & Test Record","Installation","L01","Wet Fire"
