"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"868b517d-5cab-41eb-b7d5-5473644546ef","","not-started","","folder","TRUE","FALSE","Crushed Rock Class 3"
"c6040442-c0e6-4c72-8591-aefa0c2a6c1e","","not-started","ITP-005 - Flexible Pavement Construction","checklist","FALSE","FALSE","Crushed Rock Class 3","ITP-005 - Flexible Pavement Construction"
"a689f0cd-62b2-49b2-91fc-b9a885baa310","","work-in-progress","","folder","TRUE","FALSE","Earthworks"
"bf85d205-a1ae-4244-9036-08f2dc18cad5","","work-in-progress","ITP-002 - Earthworks","checklist","FALSE","FALSE","Earthworks","ITP-002 - Earthworks (CH 5440 - 5500, 5300 - 5440)"
"cfcb7ba7-75b2-4d02-a970-aab30aa78710","","work-in-progress","ITP-002 - Earthworks","checklist","FALSE","FALSE","Earthworks","ITP-002 - Earthworks (CH 5270 - 5160)"
"b840b7ff-6988-4142-8922-3a3f9bcf68d2","","not-started","","folder","TRUE","FALSE","Concrete Installation"
"05046ace-d292-46a0-8dae-8ce4bd19bab4","","not-started","ITP-045 - General Concrete Paving","checklist","FALSE","FALSE","Concrete Installation","ITP-045 - General Concrete Paving"
"6cf78256-697b-4b3c-ae5a-91510a429240","","not-started","","folder","TRUE","FALSE","Sealing works"
"a769406c-b692-42c6-8df1-c465b3acf72f","","not-started","ITP-017 - Sealing Works - Asphalt Laying Works SF Layer","checklist","FALSE","FALSE","Sealing works","ITP-017 - Sealing Works - Asphalt Laying Works SF Layer"
"23849a78-71ab-44ed-aed0-ab8311950218","","work-in-progress","","folder","TRUE","FALSE","Shoulder subbase"
"1e76093a-57b7-49e0-9655-a77b6a2e0d00","","work-in-progress","ITP-005 - Crushed Rock Class 2","checklist","FALSE","FALSE","Shoulder subbase","ITP-005 - Salvaged material (CH 5260 - 5500)"
