"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c28231a8-df8e-4e98-a981-0322f228c32f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1303 - SH5 - Recovery - PANGAWAHINE - RS0204/RP10 to 15km"
"777acfea-3348-48e6-a765-5a9b792b730e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1303 - SH5 - Recovery - PANGAWAHINE - RS0204/RP10 to 15km","E1303A - Tarawera Culvert"
"a4a87f87-053b-4fe8-ae77-652c51a85bde","","folder-normal","work-in-progress","","step","TRUE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km"
"6d5d2e16-8e5f-4f73-9dbf-f489334a69ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","E1401A - Captains Culvert"
"c3060d33-f54f-4632-be1d-51a43ecd2c24","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","E1401A - Captains Culvert","ITP"
"e35d1a53-58bf-4ccc-8725-c6c90baa9d45","","checklist-flat","work-in-progress","ITP - E1401A - Captain's Culvert Inlet Remediation - Gabion Basket","checklist-flat","FALSE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","ITP - E1401A - Captain's Culvert Inlet Remediation - Gabion Basket"
"c99fbe70-a62d-4de0-baaf-f34c594f0856","","checklist-flat","work-in-progress","ITP - E1401A - Captain's Culvert Inlet Remediation - Guardrail & Wire Rope Barriers","checklist-flat","FALSE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","ITP - E1401A - Captain's Culvert Inlet Remediation - Guardrail & Wire Rope Barriers"
"a3eca496-5de2-4ced-bae8-75f952c1390a","","checklist-flat","work-in-progress","ITP - E1401A - Captain's Culvert Inlet Remediation - Kerb & Channel","checklist-flat","FALSE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","ITP - E1401A - Captain's Culvert Inlet Remediation - Kerb & Channel"
"240cd65c-0935-422f-9545-4f4628d60bac","","checklist-flat","work-in-progress","ITP - E1401A - Captain's Culvert Inlet Remediation - Master ITP","checklist-flat","FALSE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","ITP - E1401A - Captain's Culvert Inlet Remediation - Master ITP"
"04af1bab-127b-4cd7-aa20-88683236fba9","","checklist-flat","work-in-progress","ITP - E1401A - Captain's Culvert Inlet Remediation - Rock Armouring","checklist-flat","FALSE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","ITP - E1401A - Captain's Culvert Inlet Remediation - Rock Armouring"
"57cfd218-9e37-43b8-8930-250d2532879b","","checklist-flat","work-in-progress","ITP - E1401A - Captain's Culvert Inlet Remediation - Subsoil Drainage","checklist-flat","FALSE","FALSE","E1401 - SH5 - Recovery - WAITARA - RS0220/RP0 to 5km","ITP - E1401A - Captain's Culvert Inlet Remediation - Subsoil Drainage"
"7e8679ac-98d2-4e0e-89ef-46282257328f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1501 - SH5 - Recovery - TE POHUE SOUTH - RS0233/RP0 to 5km"
"dcb1e223-7af2-4e1d-9f33-bc08c734ea11","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1501 - SH5 - Recovery - TE POHUE SOUTH - RS0233/RP0 to 5km","E1501A - Maori Gullies"
"284840e3-e6d7-49c3-955f-af74d0539824","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1502 - SH5 - Recovery - 0233 - 5 to 12km"
"5720732d-bafa-4d72-a44e-23c192049942","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1502 - SH5 - Recovery - 0233 - 5 to 12km","E1502A - Pokopoko Gully"
"a149dafb-ae59-4851-a27c-322100be041f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1601 - SH5 - Recovery - 0249 - 0 to 5km"
"174ed2b0-be2b-4dfa-abac-e6f950864330","","folder-normal","no-status-not-started","","step","TRUE","FALSE","E1601 - SH5 - Recovery - 0249 - 0 to 5km","E1601A - Mangakopikopiko Stream Scour"
"06b36f7c-b352-4c91-9826-484e4606a8b1","","folder-normal","work-in-progress","","step","TRUE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16"
"998906ca-8307-4e37-86ac-c35df3f6e6ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1"
"f7369284-cfc5-42e8-9199-6341b41335b7","","checklist-flat","work-in-progress","CS-4100 - Subgrade Approval Checksheet","checklist-flat","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1","CS-4100 - Subgrade Approval Checksheet - E3001A - SH5 - SIP - Site 1"
"92872ca4-9309-45c3-b4b1-5d7bfd828f8a","","checklist-flat","not-started","CS-4100a - Subbase Approval Checksheet","checklist-flat","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1","CS-4100a - Subbase Approval Checksheet - E3001A - SH5 - SIP - Site 1"
"dfbec440-688d-40fc-8e93-6106b35fc8ae","","checklist-flat","not-started","CS-4100b - Basecourse Approval Checksheet","checklist-flat","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1","CS-4100b - Basecourse Approval Checksheet - E3001A - SH5 - SIP - Site 1"
"fa588f6c-434f-4846-8472-fa9b026b8ab7","","checklist-sectioned","work-in-progress","ITP - E3001A - SH05 SIP Site 1 - Guardrail & Wire Rope Barriers","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1","ITP - E3001A - SH05 SIP Site 1 - Guardrail & Wire Rope Barriers"
"36754f59-a254-4b02-9c00-7fddcdf1a272","","checklist-sectioned","work-in-progress","ITP - E3001A - SH05 SIP Site 1 - Pavement Construction","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1","ITP - E3001A - SH05 SIP Site 1 - Pavement Construction RHS"
"ad73a7e9-5541-4015-9759-7017ade5f941","","checklist-sectioned","work-in-progress","ITP - E3001A - SH05 SIP Site 1 - Pavement Construction","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001A - SH5 - SIP - Site 1","ITP - E3001A - SH05 SIP Site 1 - Pavement Construction - LHS"
"8d1da99a-f20b-417f-8062-8b50f1416bc9","","folder-normal","work-in-progress","","step","TRUE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001B - SH5 - SIP - Site 2"
"b31f7354-440e-46bb-a338-8ea5b029cf64","","checklist-sectioned","work-in-progress","ITP - E3001A - SH05 SIP Site 1 - Guardrail & Wire Rope Barriers","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001B - SH5 - SIP - Site 2","ITP - E3001B - SH05 SIP Site 2 - Guardrail & Wire Rope Barriers"
"c216dd12-0284-48b0-bc9e-afbca5ff06c2","","checklist-sectioned","work-in-progress","ITP - E3001B - SH05 SIP Site 2 - Pavement Construction","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001B - SH5 - SIP - Site 2","ITP - E3001B - SH05 SIP Site 2 - Pavement Construction"
"e2a948ea-dcc4-4c65-9e37-fe4c99ff0c6b","","checklist-flat","not-started","CS-4000 - 1M Scala Worksheet","checklist-flat","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001B - SH5 - SIP - Site 2","CS-4000 - 1M Scala Worksheet E3001B - SIP - Site 2"
"4538ffbd-f4f4-4099-9c30-3f07219ec9c0","","checklist-flat","not-started","CS-4100a - Subbase Approval Checksheet","checklist-flat","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001B - SH5 - SIP - Site 2","CS-4100a - Subbase Approval Checksheet E3001B -SH5 - SIP site 2"
"194eaa5c-a1f0-401b-a776-a0c78b36e67f","","folder-normal","work-in-progress","","step","TRUE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001C - SH5 - SIP - Site 7"
"501f1420-8321-4f15-9ede-37fc708a6e3a","","checklist-sectioned","not-started","ITP - E3001A - SH05 SIP Site 1 - Guardrail & Wire Rope Barriers","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001C - SH5 - SIP - Site 7","ITP - E3001C - SH05 SIP Site 7 - Guardrail & Wire Rope Barriers"
"897fb307-ba11-417f-ad2f-0b2dfbcb4a7b","","checklist-sectioned","work-in-progress","ITP - E3001A - SH05 SIP Site 1 - Pavement Construction","checklist","FALSE","FALSE","E3001 - SH5 - SIP - Sites 1, 2, 7 and 16","E3001C - SH5 - SIP - Site 7","ITP - E3001C - SH05 SIP Site 7 - Pavement Construction"
