Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
bbff52cf-de8f-5e72-825b-65be2dead17f,checklist-flat,In-Ground Pits/Pumps/Tanks Checklist,,In-Ground Pits/Pumps/Tanks Checklist,,
3d2b255c-a2e0-50e1-a39d-c4a75d329a3e,checkpoint,Sewer pump well,,,,
a5095a73-c3b7-5a5f-805f-481345139ec4,checkpoint,Storwater pump well,,,,
eb164eea-d654-5768-a781-64766f9bad6c,checkpoint,Stormwater pits,,,,
be8d9312-dabc-56e8-b24d-821366efe05a,checkpoint,Conduits rain to IFC location,,,,
954a9bd5-5bff-5d66-955b-cdf3c0c4605b,checkpoint,Stormwater detention system,,,,
e5c9b3a2-b9ed-46b0-aa2b-e9f0c7dc469c,checkpoint,Cold water booster pump,,,,
e006d746-5147-4269-b120-b53cfc8ec908,checkpoint,Rainwater booster pump,,,,
3ccccf7f-a0c0-4d13-96b4-b2c54dba9808,checkpoint,Div valve,,,,
a3f6880f-96a3-4890-a3e5-ba3d23c8d4ca,checkpoint,Break Tank,,,,
c92ef551-15d6-4156-8b12-48612529a62d,checkpoint,Circ pump,,,,
cb161c38-6d48-4765-a92b-2ab9a74cfd52,checkpoint,Rainwater tank,,,,
,checkpoint,Main meter assembly,,,,
