ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Interior Fit Out Progress"
,"Scope",,,"apartments - interior fitout"
,"Rows"
,,"Basement B1 - Carpark","grouping","basement b1","carpark"
,,"Zone 1","expanded","basement b1","zone 1","carpark"
,,"B1 -Zone 2 (Grid 6-12 & A-F)","expanded","basement b1","carpark","b1 -zone 2 (grid 6-12 & a-f)"
,,"B1- Zone 3(Grid 6-12 & F-K)","expanded","basement b1","b1- zone 3(grid 6-12 & f-k)","carpark"
,,"B1- Zone 4 (Grid 1-6 & G -K)","expanded","basement b1","carpark","b1- zone 4 (grid 1-6 & g -k)"
,,"B1-Zone 5 ( Grid 6-12 K-N)","expanded","basement b1","b1-zone 5 ( grid 6-12 k-n)","carpark"
,,"B1- Zone 6(Grid 1-6 & K-N)","expanded","b1- zone 6(grid 1-6 & k-n)","basement b1","carpark"
,,"Basement B1 - B1-Common Areas","grouping","basement b1","b1-common areas"
,,"B1-Stair 1","expanded","basement b1","b1-common areas","b1-stair 1"
,,"B1-Stair 2","expanded","basement b1","b1-common areas","b1-stair 2"
,,"B1-Refuse 1","expanded","basement b1","b1-refuse 1","b1-common areas"
,,"B1-Refuse 4","expanded","b1-refuse 4","basement b1","b1-common areas"
,,"B1-Entry 01","expanded","basement b1","b1-common areas","b1-entry 01"
,,"B1-Entry 02","expanded","b1-entry 02","basement b1","b1-common areas"
,,"B1-Entry 03","expanded","basement b1","b1-common areas","b1-entry 03"
,,"Basement B1 - B1- Service Spaces","grouping","basement b1","b1- service spaces"
,,"B1-Fan 1","expanded","basement b1","b1- service spaces","b1-fan 1"
,,"B1-Plenum 1","expanded","basement b1","b1-plenum 1","b1- service spaces"
,,"B1-Lift 1/2- Shaft/Pit","expanded","basement b1","b1- service spaces","b1-lift 1/2- shaft/pit"
,,"B1-Lift 3/4-Shaft/Pit","expanded","basement b1","b1-lift 3/4-shaft/pit","b1- service spaces"
,,"B1-Lift 5- Shaft/Pit","expanded","b1-lift 5- shaft/pit","basement b1","b1- service spaces"
,,"B1- Lift 6-Shaft/Pit","expanded","basement b1","b1- lift 6-shaft/pit","b1- service spaces"
,,"B1-Lift 7 - Shaft/Pit","expanded","basement b1","b1-lift 7 - shaft/pit","b1- service spaces"
,,"B1-Stair 1 Service Duct","expanded","basement b1","b1-stair 1 service duct","b1- service spaces"
