Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Ground Level - Suites,grouping,Ground Level - Suites,
,,Unit 01,expanded,Unit 01,Ground Level - Suites
,,Unit 02,expanded,Unit 02,Ground Level - Suites
,,Unit 03,expanded,Unit 03,Ground Level - Suites
,,Unit 04,expanded,Unit 04,Ground Level - Suites
,,Unit 05,expanded,Unit 05,Ground Level - Suites
,,Unit 06,expanded,Unit 06,Ground Level - Suites
,,Unit 07,expanded,Unit 07,Ground Level - Suites
,,Common Area,expanded,Common Area,Ground Level - Suites
,,Level 1,grouping,Level 1,
,,Unit 01,expanded,Unit 01,Level 1
,,Unit 02,expanded,Unit 02,Level 1
,,Unit 03,expanded,Unit 03,Level 1
,,Unit 04,expanded,Unit 04,Level 1
,,Unit 05,expanded,Unit 05,Level 1
,,Unit 06,expanded,Unit 06,Level 1
,,Unit 07,expanded,Unit 07,Level 1
,,Common Area,expanded,Common Area,Level 1
,,Level 2,grouping,Level 2,
,,Unit 01,expanded,Unit 01,Level 2
,,Unit 02,expanded,Unit 02,Level 2
,,Unit 03,expanded,Unit 03,Level 2
,,Unit 04,expanded,Unit 04,Level 2
,,Unit 05,expanded,Unit 05,Level 2
,,Unit 06,expanded,Unit 06,Level 2
,,Unit 07,expanded,Unit 07,Level 2
,,Common Area,expanded,Common Area,Level 2
,Columns,,,,
,,Pre Wire,,Pre Wire,
,,Termination and Testing,,Termination and Testing,
,,Fit Off,,Fit Off,
