"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"06059276-cc1d-4ede-8c8c-3718ab0c09c9","","not-started","","folder","TRUE","FALSE","SP1 Construction works"
"cb99b4c1-ea53-421d-a870-e0781a2fb854","","not-started","ITP - Pavement Detail 'H' RAB","checklist","FALSE","FALSE","SP1 Construction works","ITP"
"5d38148b-7906-4aef-a54f-86f7d8ec6090","","not-started","","folder","TRUE","FALSE","SP1 Pump Station Structural Works"
"3056e968-d001-4108-9384-9dad022fe95c","","not-started","ITP - Pavement Detail 'H' RAB","checklist","FALSE","FALSE","SP1 Pump Station Structural Works","ITP"
"9bbd0ac6-cdd4-4719-92e0-d5e7c021f75e","","not-started","","folder","TRUE","FALSE","SP1 Site Roading"
"64cdda4e-58ba-4f0e-ac0f-57dee6b757e6","","not-started","ITP - Pavement Detail 'H' RAB","checklist","FALSE","FALSE","SP1 Site Roading","ITP"
"b8be4ad9-2a2c-44fc-bad3-38eb723fe91c","","not-started","","folder","TRUE","FALSE","SP1 Flood Wall"
"1fcf1b53-85f6-43a2-8ec5-811dc23b10b3","","not-started","ITP - Pavement Detail 'H' RAB","checklist","FALSE","FALSE","SP1 Flood Wall","ITP"
"102564e3-a4a7-4e47-bd4d-a9b4e06362ce","","not-started","","folder","TRUE","FALSE","SP1 Pump Station Mechanical Works"
"6361d532-3545-49f2-b045-30a5973aa1f0","","not-started","ITP - Pavement Detail 'H' RAB","checklist","FALSE","FALSE","SP1 Pump Station Mechanical Works","ITP"
