"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bf8313d7-02c6-473c-833a-5c1400b065f6","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"b48feec9-c673-4958-b768-980eb5a4e33a","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 1"
"2e0a738d-a18e-4655-a9fb-011a0b88e7ca","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 1","Pre-Pour Checklist 1"
"a4db4b0b-a046-4342-bca5-29f0f5695a16","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 1","Concrete Delivery Checklist"
"70bdc39e-5985-44bd-a7af-44f2f129b7ca","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 2"
"c50983c7-7527-425e-b63d-9633eecfeaf6","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 2","Pre-Pour Checklist 1"
"637e35d6-a0d3-4392-973f-315236de2f71","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 2","Concrete Delivery Checklist"
"fdf3e9f9-6b64-4fbb-8cf8-e3344c11d593","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 3"
"5ea08b66-f35e-40fa-a606-d237cac80764","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 3","Pre-Pour Checklist 1"
"fcb3dd67-68a5-45ef-905b-b2803013dab0","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 3","Concrete Delivery Checklist"
"46b26c50-4476-48d6-9e78-acc9e4c7e754","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 4"
"da80e49b-074a-4b08-a3ca-dca460f8761c","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 4","Pre-Pour Checklist 1"
"dbee8054-badd-4358-87f9-7e2ff2af4a04","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 4","Concrete Delivery Checklist"
"17af6357-5211-4e97-8275-ae8961fdcf34","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 5"
"7bdf7b27-1282-418c-abf2-ab592a6d5f28","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 5","Pre-Pour Checklist 1"
"22a6dd55-be73-4ab4-9f58-09fbcc9453ed","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 5","Concrete Delivery Checklist"
"e72418e9-560c-49f2-80eb-34205dab7f0f","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 6"
"35dad2fe-7493-4947-aacf-3bf4f3fdaf5c","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 6","Pre-Pour Checklist 1"
"5d1bb42d-ad84-47f9-9ed8-1b92dca6f063","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 6","Concrete Delivery Checklist"
"f6934c49-38ed-474e-bb74-d4fed77b6642","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 7"
"0d080ea3-19c9-486a-ab22-0909b9fca209","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 7","Pre-Pour Checklist 1"
"467c3005-258b-4f6d-9d7a-03c2331e98f8","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 7","Concrete Delivery Checklist"
"ed09f85f-4587-4ba1-9a18-1205a80a157b","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 8"
"e9d869da-8f39-4bcb-a499-25e37efd142a","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 8","Pre-Pour Checklist 1"
"dd93575d-0c91-4845-a9b2-c0391f9840b7","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 8","Concrete Delivery Checklist"
"29c73710-11af-4a02-bc66-e25406876641","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 9"
"148b19d9-6647-4ea3-b60a-680e819fa77f","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 9","Pre-Pour Checklist 1"
"d204c20d-979a-49d4-8516-dabc9af16257","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","HEADSTOCK 9","Concrete Delivery Checklist"
"f4c0fd05-73df-454c-8ac3-68a847921dbb","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 1"
"1deeeb2c-87ac-44b1-a7ee-86da5df4d76e","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 1","Pre-Pour Checklist 1"
"5c84b698-2b68-46bb-914b-8a1fddb35f55","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 1","Concrete Delivery Checklist"
"8bd3cf1e-3277-4795-97b6-fa9cb3bf0569","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 2"
"ba5ac417-0686-4335-9e41-e3b70a2b00a2","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 2","Pre-Pour Checklist 1"
"1e369ba6-4307-4bdf-a558-ccaac8b1afb7","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 2","Concrete Delivery Checklist"
"45d2d82e-b641-4241-8497-86fd14aaa80c","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 3"
"50ad75db-aa13-4529-be76-2f2ee945fd8e","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 3","Pre-Pour Checklist 1"
"b75ead37-9ecf-4c33-984b-247cf68c3770","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 3","Concrete Delivery Checklist"
"6d7f5e15-835e-46c5-a250-6c8a3aebe5e0","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 4"
"3f6c9882-6dd4-44c1-93ad-941b3db8a3b1","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 4","Pre-Pour Checklist 1"
"c3ca2b60-1a7a-4a71-87ad-ca3353ea892f","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 4","Concrete Delivery Checklist"
"a87a05e1-0c03-4144-b361-31d4392dcb13","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 5"
"81376669-1431-4b8a-8dcc-fa97b345643b","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 5","Pre-Pour Checklist 1"
"96e97d76-57ca-4d5b-befd-47f05b995c1c","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 5","Concrete Delivery Checklist"
"2dcebefe-cd0d-45d2-9435-8fbbedeed377","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 6"
"097703ea-cf7c-4c68-98bd-113de4997230","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 6","Pre-Pour Checklist 1"
"f2a55048-6537-42de-8b6c-b2d6055462e9","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 6","Concrete Delivery Checklist"
"ae7b4e92-84c1-4412-bb31-e2b1b56b304d","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 7"
"1d84983a-021c-43ff-946a-da592b1b5569","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 7","Pre-Pour Checklist 1"
"e5ebc42b-1bd0-4ba5-8ceb-f6af5786feb1","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","SEAWALL 7","Concrete Delivery Checklist"
