"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e0971b0d-b7f6-4b3c-96f1-d15ade057c49","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"5b4e0eb0-bad6-4594-b898-5526142256ac","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01"
"12f90637-d152-4867-8950-a7a138ddf395","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01","Pre-Pour Checklist 1"
"bbadd310-f60d-42bc-8537-6498f7369061","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01","Concrete Delivery Checklist"
"b018d5ba-33cf-4979-b304-094073a2769e","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P02"
"d24861af-02d4-45fe-aa89-12cbb76f1a0e","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P02","Pre-Pour Checklist 1"
"79835ab4-0bff-428d-ac7d-7f33f31609ca","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P02","Concrete Delivery Checklist"
"2656ba2a-393a-4e7e-bfd2-8f669ac26240","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P03"
"6cf17bfb-3705-400a-944f-15fafe99ecf0","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P03","Pre-Pour Checklist 1"
"d96f6f88-4dfc-45fd-b346-3d378ed638a3","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P03","Concrete Delivery Checklist"
"cedb644b-361a-49f0-bd91-03c042c3022a","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P04"
"7fbdfbe1-9a64-48a7-8374-77e1e5da2d35","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P04","Pre-Pour Checklist 1"
"2dd235a4-0d4e-4e0d-bb4b-d589739eeac1","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P04","Concrete Delivery Checklist"
"9dcdf692-aed3-4fa4-ac0b-805542460152","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P05"
"3443663d-2c7a-4e73-9aa8-fecbf778c91e","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P05","Pre-Pour Checklist 1"
"c4d4514f-7f27-430d-b8b3-ee57bbc4ba59","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P05","Concrete Delivery Checklist"
"72d5d1bf-3574-4bbf-a234-e1b168b892c5","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P06"
"df10bbe0-ae8f-4564-9b50-145ff192f60c","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P06","Pre-Pour Checklist 1"
"2c48afa7-0e8b-4a76-8575-20b12b7f465e","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P06","Concrete Delivery Checklist"
"7e45f07c-78aa-41ff-a769-b21dd2997e65","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P07"
"05358e8f-8716-42d6-8c5b-b0436808b9e4","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P07","Pre-Pour Checklist 1"
"7bbd15c7-c051-4bf6-91c6-ded8094e3161","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P07","Concrete Delivery Checklist"
"d3686a0a-23af-4b1e-9d0c-c9872e82e8dc","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P08"
"73e887ed-cb01-4720-abc6-99a669630704","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P08","Pre-Pour Checklist 1"
"db17693f-5286-435b-887e-1ab77bc7ae8f","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P08","Concrete Delivery Checklist"
"2736817d-7206-4fc8-a4ed-6e88e3c145f6","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P09"
"7d4ddb3c-b79f-4e7f-91fe-b129685fa8e6","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P09","Pre-Pour Checklist 1"
