"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"366b1956-53c3-4c40-b4a8-4e634227a7d1","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"c5c43588-1717-4aa9-acf5-31eef290405d","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS01"
"6a4f7b7d-01a5-475e-bba8-bb4fdb694840","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS01","Pre-Pour Checklist 1"
"9796a509-7bba-4d36-96ab-e9e4cbf6aae3","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS01","Concrete Delivery Checklist"
"b5343e28-6471-457e-83f4-5c5c5d931d3a","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS02"
"7abc5ce1-5c75-4a52-9f13-1aff8de6b70b","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS02","Pre-Pour Checklist 1"
"26a7da97-d1fb-44a8-9c8e-3894d4c2670b","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS02","Concrete Delivery Checklist"
"132cc97c-b839-48f9-8f4b-f68a4ed3159f","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS03"
"c3e9c91a-5175-4f7d-a18c-598be59d2064","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS03","Pre-Pour Checklist 1"
"48f92a22-aa45-4d63-bb6e-63daf4343211","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS03","Concrete Delivery Checklist"
"e5753ceb-e9e6-402d-a04f-13c528db4782","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS04"
"1fe5c9e7-13e6-42a5-9521-b58d3e199326","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS04","Pre-Pour Checklist 1"
"f8296787-464f-49b9-a7c7-78186c4260a7","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS04","Concrete Delivery Checklist"
"243f30da-1d2b-460a-8953-9a7429e71efb","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS05"
"eacc793a-4527-424e-b513-725990e63537","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS05","Pre-Pour Checklist 1"
"51ea3b2e-9942-4b5b-b791-bee0d4295952","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CCS05","Concrete Delivery Checklist"
"44195cfa-0b6a-4dce-860e-cedd2138d8d3","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-1"
"d24a34b8-ecd7-4728-91ab-480d7f80ddfd","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-1","Pre-Pour Checklist 1"
"d5881063-4054-4624-b17b-d45c50f1e586","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-1","Concrete Delivery Checklist"
"cf827fc9-73c8-419d-8a85-e9f80ac3de25","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-2"
"1b8e0249-09ba-4fe7-b981-2bc0a81b4461","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-2","Pre-Pour Checklist 1"
"bfea460d-d30f-448e-9a76-d2b9455d6793","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-2","Concrete Delivery Checklist"
"ec343a20-4ddc-4668-9b77-71985514038f","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-3"
"a5be5843-ee47-4996-9daf-010564fad37a","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-3","Pre-Pour Checklist 1"
"d55b04d1-74f2-4b03-a08e-b25df81940b4","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-3","Concrete Delivery Checklist"
"da3531a9-4767-428a-8204-5a146cf65be8","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-4"
"077ace88-cc18-4736-a4ce-1a15d2438740","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-4","Pre-Pour Checklist 1"
"3ccb05a3-25a5-4d87-a31c-ab05718378f7","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-4","Concrete Delivery Checklist"
"bebbb1ce-a5dd-466e-ae88-e4849097ce39","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-5"
"557df511-ccde-4d5a-9d52-6969ec24a608","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-5","Pre-Pour Checklist 1"
"3cc46b20-5ef1-43b1-873a-26ad34013f8a","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS01-5","Concrete Delivery Checklist"
"ad8f7942-8514-48be-ad21-5f839a6fe96d","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-1"
"b791aa65-0dcd-47f2-94bd-c3e5da6a03a1","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-1","Pre-Pour Checklist 1"
"4ee34d14-9fd2-4294-9437-0b95d7f9ef11","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-1","Concrete Delivery Checklist"
"66d71b80-8c88-4e9d-b32d-419b5dff3255","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-2"
"09c3b63e-b1ce-4c40-b8db-944aa29bcd95","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-2","Pre-Pour Checklist 1"
"b6c3a059-99a1-43f9-9778-7d03ac901d42","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-2","Concrete Delivery Checklist"
"585f5b4a-e557-4fce-9bc4-7fd26b40cc69","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-3"
"acf0e9f8-5024-4562-86ef-bbf446e5b4b7","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-3","Pre-Pour Checklist 1"
"21b4d482-bcd1-4130-94bf-21fe3fd62ff5","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-3","Concrete Delivery Checklist"
"82d79dcb-d055-493a-9e46-e4de65c815af","","pass","","folder","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-4"
"470239ad-eba0-4eaa-b2a7-4f0224f292f8","","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","WS02-4","Pre-Pour Checklist 1"
