resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Project QA,,,,,,,,
,,step,,,,North Elevation,,,,,,,
,,step,,,,,Level 3,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 4,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 5,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 6,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 7,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 8,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 9,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,,Level 10,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 4,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 5,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 6,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 7,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 8,,,,,
,,step,,,,South Elevation,,,,,,,
,,step,,,,,Level 3,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 1,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 2,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 3,,,,,
,,step,,,,,Level 4,,,,,,
QA Checklist: Structure Acceptance,,folder-with-checklists,,,,,,Balcony 1,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 2,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 3,,,,,
,,step,,,,,Level 5,,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 1,,,,,
QA Checklist: Structure Acceptance,Alucolux Hook and Pin System Checklist,folder-with-checklists,,,,,,Balcony 2,,,,,
