Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
7db56b7b-7b3e-433c-97b8-e60dbf4d1864,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 9,Balcony 4,QA Checklist: Structure Acceptance,
c7ead9e2-553e-417c-bfec-cdf5f08c3aa4,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 9,Balcony 5,QA Checklist: Structure Acceptance,
85619973-e5f3-4420-afff-060f5ba29baf,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 9,Balcony 6,QA Checklist: Structure Acceptance,
2814cc1a-1d23-45ac-be90-b11697b5658b,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 9,Balcony 7,QA Checklist: Structure Acceptance,
7eaa5965-f6f8-4091-9195-71a738b28ea1,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 9,Balcony 8,QA Checklist: Structure Acceptance,
59fbf2fe-074f-4620-8034-7425dba1026d,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 10,Balcony 4,QA Checklist: Structure Acceptance,
8a6159bb-da6c-4ad0-8e7f-cf8b35d67da0,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 10,Balcony 5,QA Checklist: Structure Acceptance,
8d63cd63-f673-4ca5-94f3-4512742b4480,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 10,Balcony 6,QA Checklist: Structure Acceptance,
7c17c1cb-7be4-4571-83db-d3d271d75eb0,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 10,Balcony 7,QA Checklist: Structure Acceptance,
a0d3a8cc-6654-445f-8c74-f2586be7b9ca,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,North Elevation,Level 10,Balcony 8,QA Checklist: Structure Acceptance,
0e3ee112-8cb4-45ab-b585-eab7ed4238f4,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 3,Balcony 1,QA Checklist: Structure Acceptance,
31ad961c-b957-4528-8270-e75910ef54e2,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 3,Balcony 2,QA Checklist: Structure Acceptance,
c1813404-eb61-4086-ac62-c70d727a2fa2,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 3,Balcony 3,QA Checklist: Structure Acceptance,
c64ac664-2abe-481d-a641-e1f2ab97aa75,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 4,Balcony 1,QA Checklist: Structure Acceptance,
fd11f16e-59c2-4a1c-814f-67fc3cab6c34,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 4,Balcony 2,QA Checklist: Structure Acceptance,
1a9606df-0b48-48b8-98f4-bb2861679b11,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 4,Balcony 3,QA Checklist: Structure Acceptance,
f71f15d3-9f32-487b-9fbd-8d30817758da,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 5,Balcony 1,QA Checklist: Structure Acceptance,
2216d65b-6448-4731-b7b3-9cf1b24b6e46,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 5,Balcony 2,QA Checklist: Structure Acceptance,
26ddddfc-b4ae-424a-b5b0-9efbe0da8b35,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 5,Balcony 3,QA Checklist: Structure Acceptance,
52cc21d6-1a2c-4037-a8a5-94c41c334d08,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 6,Balcony 1,QA Checklist: Structure Acceptance,
e32a4720-ff41-44c5-ae67-a21c5d76fd3f,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 6,Balcony 2,QA Checklist: Structure Acceptance,
1a2c0732-8167-459b-8801-71d732c5776e,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 6,Balcony 3,QA Checklist: Structure Acceptance,
55435a4f-fa98-4d59-a26e-6738d45db99e,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 7,Balcony 1,QA Checklist: Structure Acceptance,
65f01892-5eff-4abd-8e5f-bfe79d5463da,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 7,Balcony 2,QA Checklist: Structure Acceptance,
69fa0598-bfda-4412-bb2a-13fe4c795e7d,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 7,Balcony 3,QA Checklist: Structure Acceptance,
752ceeea-10a2-4f92-8eef-4b0580ce37f2,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 8,Balcony 1,QA Checklist: Structure Acceptance,
6aeac3be-f658-4f12-ba3c-7ced52b0da02,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 8,Balcony 2,QA Checklist: Structure Acceptance,
47577bbd-9655-4c9f-9917-e9885ba13546,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 8,Balcony 3,QA Checklist: Structure Acceptance,
fb403cf1-ed14-4e6e-a559-1c71cc82e123,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 9,Balcony 1,QA Checklist: Structure Acceptance,
21eec2c5-eeb1-49da-a4c4-50ff898f05d5,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 9,Balcony 2,QA Checklist: Structure Acceptance,
84895753-d7a5-4c15-8e27-8fafef079abf,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 9,Balcony 3,QA Checklist: Structure Acceptance,
dea9159d-588a-4942-b972-b0125cd9f131,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 10,Balcony 1,QA Checklist: Structure Acceptance,
72b05a50-da4e-46fa-8375-13896944962e,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 10,Balcony 2,QA Checklist: Structure Acceptance,
37d42b50-7ecf-4b7b-8977-9cc8453974a4,,not-started,QA Checklist: Structure Acceptance,checklist,FALSE,FALSE,Project QA,South Elevation,Level 10,Balcony 3,QA Checklist: Structure Acceptance,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
