type,name,values,prefix,postfix,usage count,user addable,template name
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,168mm Structural glazed,,,,,,
checkpoint,Opening Prepared By Main contractor,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,Seismic Installed As Per Shop Drawings,,,,,,
checkpoint,DL Brackets Fitted & Welded correct location,,,,,,
checkpoint,C.W Visual Panel Insert Check,,,,,,
checkpoint,Panel Fitted & Locked Off,,,,,,
checkpoint,Splicers & Soakers Sealed (provide photo reference),,,,,,
checkpoint,Airseal and Internal Flashings,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Thermal Heart Suite,,,,,,
checkpoint,Opening Wraped & Prepared Correctly ,,,,,,
checkpoint,External Flashings / Weather Seals As Per Shop Drawing (provide photo reference),,,,,,
checkpoint,Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseals Completed,,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,100mm Shopfront,,,,,,
checkpoint,Opening Prepared By Main contractor,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,Installed / Fixed as per Shop Drawings,,,,,,
checkpoint,Panel installed and working . Locking correctly,,,,,,
checkpoint,Airseals Completed,,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,40mm Metro ,,,,,,
checkpoint,Opening Wraped & Prepared Correctly By Others,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseals Completed,,,,,,
checkpoint,Site Glazing Completed - Metro Glass ,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Architectural,,,,,,
checkpoint,Opening Wraped & Prepared Correctly By Others,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,External Flashings / Weather Seals (provide photo reference),,,,,,
checkpoint,Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseals Completed,,,,,,
checkpoint,Site Glazing Completed - Metro Glass ,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Residential Suite,,,,,,
checkpoint,Opening Wraped & Prepared Correctly ,,,,,,
checkpoint,External Flashings / Weather Seals As Per Shop Drawing (provide photo reference),,,,,,
checkpoint,Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseals Completed,,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Skylite,,,,,,
checkpoint,Opening Wraped & Prepared Correctly ,,,,,,
checkpoint,Roof frame Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseal and Internal Flashings,,,,,,
checkpoint,External Flashings / Weather Sealas ( Provide photo reference),,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Seismic Suite (non curtain wall),,,,,,
checkpoint,"Opening Prepared, Wrapped & Datums",,,,,,
checkpoint,Seismic Installed As Per Shop Drawings,,,,,,
checkpoint,Splicers & Soakers Sealed (provide photo reference),,,,,,
checkpoint,Panel Fitted & Locked Off,,,,,,
checkpoint,Airseal and Internal Flashings (Photo),,,,,,
checkpoint,External Flashings / Weather Seals / Drainage ,,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean,,,,,,
checkpoint,Wights - Sign Off,,,,,,
,,,,,,,
checklist-flat,Seismic Suite (Curtain Wall),,,,,,
checkpoint,Opening Prepared By Main Contractor,,,,,,
checkpoint,Setout/Grids/Datum Lines,,,,,,
checkpoint,Seismic Installed As Per Shop Drawings,,,,,,
checkpoint,DL Brackets Fitted & Welded correct location,,,,,,
checkpoint,Panel Fitted & Locked Off,,,,,,
checkpoint,Splicers & Soakers Sealed (provide photo reference),,,,,,
checkpoint,Airseal and Internal Flashings (photo),,,,,,
checkpoint,Smoke Seal Complete (photo),,,,,,
checkpoint,External Flashings / Weather Seals/Drainage ,,,,,,
checkpoint,Trade Clean & Sign Off,,,,,,
,,,,,,,
checklist-flat,Commercial/Domestic,,,,,,
checkpoint,Opening Wraped & Prepared Correctly ,,,,,,
checkpoint,External Flashings / Weather Seals As Per Shop Drawing ,,,,,,
checkpoint,Installed / Fixed As Per Shop Drawings,,,,,,
checkpoint,Airseals Completed (photo),,,,,,
checkpoint,Site Glazing Completed,,,,,,
checkpoint,Trade Clean & Sign off,,,,,,
