Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Rough-In,,,,,,
,Scope,,,Rough-In,,
,Rows,,,,,
,,VRF Air Conditioning Units - VRF Fan Coil Units,dynamic,Rough-In,VRF Air Conditioning Units,VRF Fan Coil Units
,,VRF Air Conditioning Units - VRF Branch Units,dynamic,Rough-In,VRF Air Conditioning Units,VRF Branch Units
,,VRF Air Conditioning Units - VRF Condenser,dynamic,Rough-In,VRF Air Conditioning Units,VRF Condenser
,,Split System Air Conditioning Units,dynamic,Rough-In,Split System Air Conditioning Units,
,,Ventilation Fans,dynamic,Rough-In,Ventilation Fans,
,,Electrical Boards,dynamic,Rough-In,Electrical Boards,
,Columns,,,,,
,,Area ready & accessible for work,,Area ready and accessible for work - take picture if required,General,
,,Inspect - Materials free from Damage,,Inspect - Materials free from Damage,General,
,,Location Correct As per Plan/Drawing,,Location Correct As per Plan/Drawing,General,
,,GreenStar - Duct Delivery,,GreenStar - Duct Delivery,General,
,,Unit has clearance from other services,,Unit has clearance from other services,Rough-In ,
,,Correct Fan Coil Installed,,Correct Fan Coil Installed - take photo of data plate,Rough-In ,
,,Correct Condenser Installed,,Correct Condenser Installed - take photo of data plate,Rough-In ,
,,Condenser installed with correct mounting feet,,Condenser installed with correct mounting feet.,Rough-In ,
,,Condenser Installed in accordance with Seismic Design Drawing,,Condenser Installed in accordance with Seismic Design Drawing,Rough-In ,
,,Refrigeration Pipe work installed securely with insulation,,Refrigeration Pipe work installed securely with insulation,Rough-In ,
,,Tundish Available,,Tundish Available,Rough-In ,
,,Drain Pipe work installed & insulated to tundish,,Drain Pipe work installed and insulated to tundish,Rough-In ,
,,Electrical supply cabling installed with isolation point,,Electrical supply cabling installed with isolation point (isolation point labelled),Rough-In ,
,,Interconnect & Control Cabling installed & secured,,Interconnect and Control Cabling installed and secured,Rough-In ,
,,Ready for Ceiling & Wall Sheeting,,Ready for Ceiling and Wall Sheeting,Rough-In ,
,,FCU installed with anti vibration mounts,,FCU installed with anti vibration mounts,Rough-In ,
,,SA & RA Boxes fitted with anti vibration mounts,,SA and RA Boxes fitted with anti vibration mounts,Rough-In ,
,,RA Box has filters,,RA Box has filters,Rough-In ,
,,FCU Installed in accordance with Seismic Design Drawing,,FCU Installed in accordance with Seismic Design Drawing,Rough-In ,
,,Check Access to Filters & Electrical Box,,Check Access to Filters and Electrical Box,Rough-In ,
,,Ductwork installed with clearance from other services,,Ductwork installed with clearance from other services,Rough-In ,
,,Ductwork Joints Sealed,,Ductwork Joints Sealed,Rough-In ,
,,Ductwork adequately supported,,Ductwork adequately supported,Rough-In ,
,,All spigots protected from dust ingress,,All spigots protected from dust ingress,Rough-In ,
,,Flex Installed & Supported with Gutter Guard or equivalent ,,Flex Installed and Supported with Gutter Guard or equivalent ,Rough-In ,
,,Provisions for future access are adequate ,,Provisions for future access are adequate ,Rough-In ,
,,Correct Branch Unit Installed,,Correct Branch Unit Installed - take photo of data plate,Rough-In ,
,,BSU installed with anti vibration mounts,,BSU installed with anti vibration mounts,Rough-In ,
,,BSU Installed in accordance with Seismic Design Drawing,,BSU Installed in accordance with Seismic Design Drawing,Rough-In ,
,,Condenser Feet installed with anti vibration mounts,,Condenser Feet installed with anti vibration mounts,Rough-In ,
,,Fan Coil installed with anti vibration mounts,,Fan Coil installed with anti vibration mounts,Rough-In ,
,,Correct Fan Installed,,Correct Fan Installed - take photo of data plate,Rough-In ,
,,Fan installed with anti vibration mounts,,Fan installed with anti vibration mounts,Rough-In ,
,,Fan & Duct Installed in accordance with Seismic Design Drawing,,Fan and Duct Installed in accordance with Seismic Design Drawing,Rough-In ,
,,Control Cabling installed & secured,,Control Cabling installed and secured,Rough-In ,
,,Check Access to Fan - Mark Access Panel,,Check Access to Fan - Mark Access Panel if required,Rough-In ,
,,All spigots open 100% & protected from dust ingress,,All spigots open 100% and protected from dust ingress,Rough-In ,
,,Flex Installed & Supported with Gutter Guard or equivalent,,Flex Installed and Supported with Gutter Guard or equivalent,Rough-In ,
,,Electrical Board has the correct Clearance from other Services,,Electrical Board has the correct Clearance from other Services,Rough-In ,
,,Electrical Board Installed in accordance with Seismic Design Drawing,,Electrical Board Installed in accordance with Seismic Design Drawing,Rough-In ,
,,Cable Tray Installed where Required,,Cable Tray Installed where Required,Rough-In ,
,,,,,,
Fit-Off,,,,,,
,Scope,,,Fit-Off,,
,Rows,,,,,
,,VRF Air Conditioning Units - VRF Fan Coil Units,dynamic,Fit-Off,VRF Air Conditioning Units,VRF Fan Coil Units
,,VRF Air Conditioning Units - VRF Branch Units,dynamic,Fit-Off,VRF Air Conditioning Units,VRF Branch Units
,,VRF Air Conditioning Units - VRF Condenser,dynamic,Fit-Off,VRF Air Conditioning Units,VRF Condenser
,,Split System Air Conditioning Units,dynamic,Fit-Off,Split System Air Conditioning Units,
,,Ventilation Fans,dynamic,Fit-Off,Ventilation Fans,
,,Electrical Boards,dynamic,Fit-Off,Electrical Boards,
,Columns,,,,,
,,Grilles & Cushion Boxes Installed,,Grilles and Cushion Boxes Installed,,
,,Adequate Access Achieved,,Adequate Access Achieved,,
,,Condensate drains from drain tray,,Condensate drains from drain tray,,
,,Drain Terminated to Tundish,,Drain Terminated to Tundish,,
,,Wall Controller Installed & labelled,,Wall Controller Installed and labelled,,
,,Electrical & Control Terminations Complete,,Electrical and Control Terminations Complete,,
,,Refrigeration Pipe work installed securely with insulation,,Refrigeration Pipe work installed securely with insulation,,
,,Correct Master Condenser Installed,,Correct Master Condenser Installed - take picture of data plate,,
,,Correct Slave Condenser Installed,,Correct Slave Condenser Installed - take picture of data plate,,
,,Fan Coil Installed,,Fan Coil Installed,,
,,FCU Drain Terminated to Tundish,,FCU Drain Terminated to Tundish,,
,,Wall Controller Switch is Installed,,Wall Controller Switch is Installed if Required,,
,,Cable Containment has been completed,,Cable Containment has been completed,,
,,Mains Supply provided by House Electrical Contractor,,Mains Supply provided by House Electrical Contractor,,
,,All Terminations Complete,,All Terminations Complete,,
,,,,,,
Commissioning,,,,,,
,Scope,,,Commissioning,,
,Rows,,,,,
,,VRF Air Conditioning Units - VRF Fan Coil Units,dynamic,Commissioning,VRF Air Conditioning Units,VRF Fan Coil Units
,,VRF Air Conditioning Units - VRF Branch Units,dynamic,Commissioning,VRF Air Conditioning Units,VRF Branch Units
