"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"23f9d025-daa2-4542-95d2-6dc1f8a8e62c","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"499be8c3-adba-471e-b196-b1d3c2a4c282","","pass","","folder","TRUE","FALSE","Site QA","Basement 4"
"d3bfcada-914d-4e5a-814d-97fdd6d14db4","","pass","Internal Drainage","checklist","FALSE","FALSE","Site QA","Basement 4","Internal Drainage"
"f5d6b61e-498a-417a-88b4-942384ced77b","","pass","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Basement 4","Internal Stormwater"
"8415776c-7e37-432b-947d-54f6d01270af","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement 4","Sewer Stacks / Storm water stacks"
"a6c7773f-9e2d-4f7f-8d9c-38c092e92129","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement 4","Commissioning"
"b32fa6cb-c975-4a70-9351-9008208e8dc8","","not-started","","folder","TRUE","FALSE","Site QA","Basement 3"
"dccc69e1-a3e0-4974-938d-8eb7d0e59d1e","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Basement 3","Internal Drainage"
"f29e0c5f-2fe9-4930-9669-0a9fcdfdad7b","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Basement 3","Internal Stormwater"
"d3e22833-4ae5-40d3-b002-d417f9405265","","not-started","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement 3","Sewer Stacks / Storm water stacks"
"f501a5a2-87e7-4177-9a85-017767bb1c64","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement 3","Commissioning"
"0e8939f1-716b-4de4-bc7d-2c72681e2f6e","","not-started","","folder","TRUE","FALSE","Site QA","Basement 2"
"439978fe-abe4-4672-a331-e09409923c5a","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Basement 2","Internal Drainage"
"71e2537a-bfb2-48c2-b246-3f1329a2796d","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Basement 2","Internal Stormwater"
"47687ab6-a96d-4c39-b43f-805c56eeee5d","","not-started","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement 2","Sewer Stacks / Storm water stacks"
"78c679fd-2b0a-4dac-9c8e-d8da650f9dcd","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement 2","Commissioning"
"c434dc4a-69c0-4fdc-9386-e79fa446a0b8","","not-started","","folder","TRUE","FALSE","Site QA","Basement 1"
"494020b3-f128-40ae-8f9c-53067dccbf2c","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Basement 1","Internal Drainage"
"995556a0-0b03-4753-997e-71462b7b8554","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Basement 1","Internal Stormwater"
"9b1f89fb-15f5-426a-bf8c-eb080176154d","","not-started","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement 1","Sewer Stacks / Storm water stacks"
"4a0ec74b-df5b-440b-aa48-ed962a08354a","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Commissioning"
"6a845ce6-15e4-4ca4-9055-be82094b7235","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A"
"86e26b9b-f1f2-48a1-855e-bc4093dd7dac","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Ground Floor"
"dbb0bc2e-e9bc-4b21-aa5e-1342ae5a9492","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Internal Drainage"
"0d4068ea-981e-48ba-8351-ba5efcd9cf70","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Internal Stormwater"
"23e9d82a-38d9-4df3-b0f1-b5258a858ba5","","not-started","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Sewer Stacks / Storm water stacks"
"ebb4f33f-8504-4932-a72b-d5931779ccc5","","not-started","Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Lobby"
"aabd7211-fa58-4f67-a22e-1880b646f5b3","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Ground Floor","Male Toilet"
"629c9ab8-02fa-4177-8c0a-379a60ad0053","","not-started","Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Male Toilet","Plumbing Rough-In"
"c819b431-f187-4c66-afea-c4eecd5fa427","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Male Toilet","Fit Off"
"bd73f509-0033-4d12-9f27-e06b6a84931c","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Male Toilet","Commissioning"
"f1c018b8-4d59-4147-a745-ed80e43da0cf","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Ground Floor","Female Toilet"
"20b49828-5d1d-4ed2-b7e3-a39dee87596f","","not-started","Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Female Toilet","Plumbing Rough-In"
"72af8755-92f2-44b9-b7cc-ead26d2008b4","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Female Toilet","Fit Off"
"972ce3cc-99ed-4866-93a5-5998b34c48ab","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Female Toilet","Commissioning"
"9f9be42b-1337-4260-99aa-36bec7e4ec50","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Ground Floor","Accessibility Female Toilet"
"cb0b4bd0-ae56-4360-9c48-0dfcac12cc55","","not-started","Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Accessibility Female Toilet","Plumbing Rough-In"
"c751f713-a932-4a6d-9436-e90e5439ea4e","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Accessibility Female Toilet","Fit Off"
"5582d301-4d5e-45df-82e8-02b12b9aec0c","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Accessibility Female Toilet","Commissioning"
"4dc6430a-8dad-4d94-ad59-371477a9c010","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Ground Floor","Accessibility Male Toilet"
"039c8dd0-962a-4994-b8c4-40e4eb484d71","","not-started","Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Accessibility Male Toilet","Plumbing Rough-In"
"0ca71ed5-1ab8-4ca4-b63b-afc8fe8df5fa","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Accessibility Male Toilet","Fit Off"
"dadd212b-7b19-4114-a864-6c7e111cfcdd","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Building A","Ground Floor","Accessibility Male Toilet","Commissioning"
"2d83f18e-c3e9-4a00-9cc2-3dafa528edf5","","not-started","","folder","TRUE","FALSE","Site QA","Building A","Level 1"
"66d60bf7-a2cc-40e3-a1f2-0eda3d4dccd6","","not-started","Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Building A","Level 1","Plumbing Rough-In"
"e579e97a-11f0-4fba-888d-f042f2293702","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Building A","Level 1","Fit Off"
"d7f66609-ea56-4838-aa1e-045025f1b925","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Building A","Level 1","Commissioning"
"6945ad92-7e19-4652-bc20-3a5593e41f17","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2"
"95d6bfa6-3c23-4f27-a4f3-247011205af2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building A","Level 2","201"
"b68f4544-40b9-4a3a-957c-c9e02d388559","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Building A","Level 2","201","Plumbing Rough-In"
"55df7fbc-670d-44ad-882c-bb841775f0d5","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Building A","Level 2","201","Fit Off"
"e869f1ca-772d-47b1-83d8-fbd629aedd25","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Building A","Level 2","201","Commissioning"
