"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"781c9132-4371-45b2-8ed2-b1ddc52ce564","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","B1"
"00319c82-ac70-426d-8bee-cdc5cbd5391a","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Ground"
"99a2f46c-b2bc-4404-836a-d73a5415230f","","work-in-progress","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 1"
"5ee15a8b-3d82-4e7a-b9a8-a759f1cb9415","","work-in-progress","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 2"
"b1b5ab33-7d7e-4a62-b588-b1d243170024","","work-in-progress","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 3"
"359c5657-fa5c-4cb6-88c0-bf73bdf0191f","","work-in-progress","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 4"
"d88bb767-a767-4d10-9568-8c95e2ded328","","not-started","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Fit Off","Level 5"
"7d7c2130-f799-4554-9cfe-809dbe3c6b97","","not-started","","folder","TRUE","FALSE","Site QA","Commissioning"
"6418d905-58ae-44d4-926b-04b5eb5923f6","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","B1"
"d6f44a9c-8d2c-4bb6-8549-83a95d10b4a6","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Ground"
"1156b792-60a4-4eba-b092-ba3dd533a3f3","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Level 1"
"8d1578bd-4e80-420f-8873-b2ce83eb66cc","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Level 2"
"34aff0ee-c2e4-477d-b050-f2104c2bf2d5","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Level 3"
"bdc7c439-29b1-4c4f-8254-16fa0a2948fe","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Level 4"
"0bf24bf1-8f66-41e7-89b5-bb1867188a33","","not-started","Commissioning Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Level 5"
"475dc210-0fb1-4502-8aaf-0ed6940f56d3","","not-started","","folder","TRUE","FALSE","Site QA","Commissioning","Roof"
"0af41ad6-d877-4d3a-b060-2179f5b722a5","","not-started","Hot Water Unit Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Roof","Hot Water Units"
"9fb7d8c9-e6d7-4f81-8864-4516376f5652","","not-started","Vents Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Roof","Vents"
"bedde9d0-1a13-43f0-b370-0b4fb0262bbe","","not-started","Storm Water Grates Checklist","checklist","FALSE","FALSE","Site QA","Commissioning","Roof","Stormwater Grates"
