"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"f12daae5-1460-4b03-8da3-cc25edda6e62","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","1-C13"
"9dbab67f-01aa-4963-9182-15cc85fb6db0","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-01"
"2fa5418e-8a49-483d-bf2f-0a5d8e379578","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-01A"
"6d10ebf3-d8ac-47e9-99ea-8c613d3e53a3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-02"
"dcdfc503-f4c3-478b-847d-00079df47d15","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-02A"
"84163206-cc05-4e3a-bd78-d87bafae0ca3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-03"
"00ca5412-d86c-473f-826b-6f44b693e7dc","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-04"
"8cd3087a-5d5a-4a20-a5b8-4ae00a23345b","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-04A"
"8e384e11-040a-4d77-8565-92e68ab64290","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-05"
"4a3742a1-7995-4c1f-a7f8-250f85c109a2","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-06"
"2ce3c43f-657e-40d1-a890-fa3296ef421a","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Ground","G-07"
