"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2dba1e85-7dca-453c-92b8-a45bf5328af2","","folder-normal","","","step","TRUE","FALSE","Basement 1"
"43256c48-c309-42f5-a4a5-e081722f8a30","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","3-C13"
"6a9e028a-21b9-431c-babf-3bf3ee3aea79","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P01"
"93aaa012-e76e-4d04-9a04-10fd67080582","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P02"
"c1691875-5822-4998-bdce-1b27acaa05cc","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P03"
"47b237c7-094b-453c-ae3d-b7f12785bfa8","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P04"
"08b5b4b1-7c0a-486b-91fd-dbd0f0a8deef","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P11"
"cebe1ab4-8d1c-4f23-838d-569020481976","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P12"
"5a62b82b-d86f-4df8-8660-882e833b6a49","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P13"
"59a36061-cb1a-4652-ad0e-66340e6905eb","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P14"
"69193454-9201-49b0-b63c-b4fe9b887607","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P15"
"8d5fec13-e077-428c-b397-c194a550c861","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P15A"
"a8bd08c8-4448-4787-8715-dae93e75fe10","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P16"
"68e43022-8e32-45a8-8988-0393cd9034f3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P17"
"e4a91705-0020-4dce-84ce-0ab3bcd710b1","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P18"
"3d992764-f68b-4033-aeb2-45391f55477d","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P19"
"bb9f3b3e-98a7-4435-8487-0cb44914010e","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P19A"
"61065ee2-1f26-4b02-bcb2-35c7ff7c5c51","","checklist-sectioned","","85d5ac6d7cae2a3af9505fe4a1e6fcec3061da05268fa453e6f2c24b0c6b5092","checklist","FALSE","FALSE","Level 3","L3-P20"
"4a3c46b8-b878-4a4c-bde3-77961bba673f","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P21"
"b151f501-5a63-4cc1-89ac-819a3193b8d0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P22"
"3752bcbe-66df-4fc9-ad19-17ba1a11b0b3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P23"
"753d3d62-6346-4f97-a381-652e46a868e5","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P26"
"054cfe9d-5a33-46e7-ae0e-d056695eb85c","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P27"
"fc0ccf6d-7a12-4170-8e23-58abd11fd764","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P28"
"3fd12fbc-124c-49b8-98aa-27e97ab4cd50","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P29"
"17f915d6-f65a-4c7e-9a4d-49d9f1ed64b3","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P30"
"14b79d79-e993-4ac0-b4f0-daaca057094e","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P33"
"9dc35d4c-917a-4470-8209-26d8c790ced8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P34"
"6e3b2603-38ff-4c96-9230-f14be2a5e41a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P39"
"bcfeaa79-3dfd-4b2b-ae66-138b406bb0e9","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P40"
"648971b4-82c8-4156-8815-1c84f700949a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P41"
"16fffe34-8ec0-4323-b179-5c04b2c1f9f3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P42"
"67573feb-8428-4812-8cf4-e55e574fa764","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 3","L3-P43"
"c6068a03-d125-4213-ac68-c05bddfd6dcd","","checklist-sectioned","","85d9c695a1fcf5eef6ee08e97718a9ab963293a4895ee414e0237b778d242e19","checklist","FALSE","FALSE","Level 3","L3-P44"
"0a7b7cbe-0d47-41f5-b9db-ff700e257b21","","folder-normal","","","step","TRUE","FALSE","Level 4"
"4379c428-080e-46c3-ab91-0db1a85267d1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","L4-P04"
"ee043513-1312-4fe3-b5a9-c9146baecb6e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 4","L4-P34"
"eb653696-baa4-412a-b340-84d2823c33a4","","folder-normal","","","step","TRUE","FALSE","Level 5"
"afedb6b6-3d93-49af-853e-f209a1035b5d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C01"
"eb714553-ac82-41c2-9e6e-e70407b64e36","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C02"
"f98e7f40-ef09-45ae-a2ad-f798a9916bba","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C03"
"bdbcac97-0753-420f-ac4b-c56e59060ef4","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C04"
"53e3ffc5-b842-4455-9ba6-6a4dc080bff6","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C05"
"d9a2a75f-7bda-45d3-b329-2fef6c1878d3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C06"
"a6d7d852-fb8f-4194-8183-a449cd3d490b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C07"
"235633c7-79bb-49b0-9e92-412110c09cdf","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C08"
"5b39e706-03d0-44e4-ac48-ac4a0587f312","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C09"
"a24c08ab-a9cc-4469-947a-07333cd55688","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C10"
"ef1a3e41-d0b6-4749-92ca-2dfdc01856bc","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","5-C12"
"1aaeed77-2fec-4fcd-8fd1-2ae2ca968695","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","L5-P01"
"01c45472-20c4-489c-ab26-5121fd98510e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","L5-P02"
"cf44e100-d68e-4182-aa72-b4accb5e2336","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","L5-P03"
"180f01bc-ffda-47c8-8378-690fd8e4e987","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 5","L5-P04"
"347cf1bd-521d-408b-a10e-bf35216ea7d3","","folder-normal","","","step","TRUE","FALSE","Level 6"
"a9c84207-e6b7-41ae-8811-167f89bfb6e0","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 6","6-C04"
"e747e89d-d12f-43c9-b432-f07059b5db35","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 6","6-C05"
"b9f1b0ba-342f-4778-bc9a-f8984631a346","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 6","L6-P01"
"4e2e270f-c2e2-4bc9-b4a7-a6e0de95be3f","","folder-normal","","","step","TRUE","FALSE","Level 7"
"1916f4cd-c677-4487-811d-74f2344901aa","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 7","7-C04"
"b313741c-8453-4bcd-8150-64158e99d99d","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 7","7-C05"
"3b3622db-ecc5-4cb8-8a40-66f51d76114e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 7","L7-P01"
"009952fb-e7cd-4685-9e76-4ef6e456a82c","","folder-normal","","","step","TRUE","FALSE","Level 8"
"02e4dcae-55ad-4346-a377-d7ce6bb993f3","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","8-C04"
"321600b2-eead-4e9d-9e14-59c033a94414","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","8-C05"
"3b739155-116f-4131-8379-b57ff82ef260","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 8","L8-P01"
"1d19ef20-938b-4347-ad95-6bc5adbbd108","","folder-normal","","","step","TRUE","FALSE","Level 9"
"7417ca0a-ca45-43af-bc00-8368be77eb3e","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 9","9-C04"
"d2e960f6-6253-468f-91ef-6173b3c258ee","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 9","9-C05"
"95694a8e-621b-43e6-8cc5-b80be423a109","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 9","L9-P01"
"47f64dd3-8c02-4ffa-a917-f74619b23b8e","","folder-normal","","","step","TRUE","FALSE","Level 10"
"9d84d934-5903-440b-aa9f-b4d57ce81bd2","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 10","10-C04"
"fe58f5b8-3a95-410a-8095-30a3d5a061bb","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 10","10-C05"
"34b56129-39ea-4fe6-a28c-e4f10a98272a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 10","L10-P01"
"294296c5-c929-415d-9c67-7bfa994cadbf","","folder-normal","","","step","TRUE","FALSE","Level 11"
"10e8d24f-a8a2-4d6c-9d69-f8d8ee31002a","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 11","11-C04"
"935cd4a6-86d0-4a39-b845-1810693dfba1","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 11","11-C05"
"7e874126-3cee-4312-a98d-87221fe2673b","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 11","L11-P01"
"7a80c521-ed4d-4191-8d0b-d208cac0b71a","","folder-normal","","","step","TRUE","FALSE","Level 12"
"45c5e130-e208-404d-8290-67e887109dc8","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 12","12-C04"
"b9f3369c-2079-46a4-8f48-47d571b37420","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 12","12-C05"
"c711a830-f5aa-4839-baee-39372bdd5b46","","checklist-sectioned","","Commercial Projects Checklist V5","checklist","FALSE","FALSE","Level 12","L12-P01"
"f28b5ec9-d0d7-4fe6-bf76-c259a91de598","","folder-normal","","","step","FALSE","FALSE","Variations"
