"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2541c63e-9704-4f3a-b0f3-5145924cfbef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1 - West"
"c0f74c73-7386-4106-91c9-ec0ddaa21977","","checklist-sectioned","work-in-progress","7e444a171175fd4ef2ff504b1e55bc286902a27853a76d1330845f25aedfd044","checklist","FALSE","FALSE","Zone 1 - West","ITP - Earthworks - 101 - Rev 2"
"b844b630-9d50-4921-b42a-d445ab7c4174","","checklist-sectioned","work-in-progress","ITP - Pavement - Type A - 104.1 - Rev 2","checklist","FALSE","FALSE","Zone 1 - West","ITP - Pavement - Type A - 104.1 - Rev 2"
"3dcd9f93-b336-4e29-b3af-7652b8662bba","","checklist-sectioned","work-in-progress","ITP - Pavement - Type B - 104.2 - Rev 2","checklist","FALSE","FALSE","Zone 1 - West","ITP - Pavement - Type B - 104.2 - Rev 2"
"e8f92010-aa13-443c-958a-c1defef09194","","checklist-sectioned","work-in-progress","ITP - Pavement - Type C - 104.3 - Rev 2","checklist","FALSE","FALSE","Zone 1 - West","ITP - Pavement - Type C - 104.3 - Rev 2"
"65b80292-11dd-43a1-b1e1-fe560deaac38","","checklist-sectioned","work-in-progress","ITP - Underpass Construction - 103 - Rev B","checklist","FALSE","FALSE","Zone 1 - West","ITP - Underpass Construction - 103 - Rev B"
"bd5c18f6-86fc-40ec-9a04-a07338cb0385","","checklist-sectioned","work-in-progress","ITP - Stormwater (Structures) - 202 - Rev B","checklist","FALSE","FALSE","Zone 1 - West","ITP - Stormwater (Structures) - 202 - Rev B"
"e0d26047-447f-4cd5-9316-33b378bb23ca","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 1 - East"
"3445656c-c825-4bba-b808-11394908249d","","checklist-sectioned","work-in-progress","bc1907c5e5285c9351c4eee80ebb670902c85372b3a3a10aaeeb339576c0635d","checklist","FALSE","FALSE","Zone 1 - East","ITP - Earthworks - 101 - Rev 2"
"d1327429-a71d-4654-9cc0-998570e53a33","","checklist-sectioned","work-in-progress","ITP - Concrete Pours - 305 - Rev B","checklist","FALSE","FALSE","Zone 1 - East","ITP - Concrete Pours - 305 - Rev B"
"0d59ea50-7545-465c-9ca5-8c029a91dd9d","","checklist-sectioned","work-in-progress","ITP - Pavement - Type A - 104.1 - Rev 2","checklist","FALSE","FALSE","Zone 1 - East","ITP - Pavement - Type A - 104.1 - Rev 2"
"8e3fded3-5adc-4bd4-99c4-3e9f2c9cd471","","checklist-sectioned","work-in-progress","ITP - Pavement - Type B - 104.2 - Rev 2","checklist","FALSE","FALSE","Zone 1 - East","ITP - Pavement - Type B - 104.2 - Rev 2"
"ce7a1d79-8ebb-4b39-af56-d6de583f1e0e","","checklist-sectioned","work-in-progress","ITP - Pavement - Type C - 104.3 - Rev 2","checklist","FALSE","FALSE","Zone 1 - East","ITP - Pavement - Type C - 104.3 - Rev 2"
"5bae4d93-21f4-4866-b360-c66b92f4b9ea","","checklist-sectioned","work-in-progress","ITP - Underpass Construction - 103 - Rev B","checklist","FALSE","FALSE","Zone 1 - East","ITP - Underpass Construction - 103 - Rev B"
"e53fe53c-a05a-488c-8ddc-a9fbdf87d2fd","","checklist-sectioned","work-in-progress","ITP - Stormwater (Structures) - 202 - Rev B","checklist","FALSE","FALSE","Zone 1 - East","ITP - Stormwater (Structures) - 202 - Rev B"
"2ae300ef-9f5f-4fd3-8871-66e69b62c88b","","folder-normal","not-started","","step","TRUE","FALSE","Mid Zone"
"f6ae9008-2e34-4200-9e17-1397fd1970c2","","checklist-sectioned","not-started","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Mid Zone","ITP - Earthworks - 101 - Rev 2"
"868e11b5-c585-4ede-bcd9-78ed6e06f5a1","","checklist-sectioned","not-started","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Mid Zone","ITP - Stormwater - 102 - Rev A"
"62624780-0f8a-45fe-8245-234565c820b5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone 2"
"4adeeae7-00eb-49b1-91fb-aaeb83d18ae8","","checklist-sectioned","work-in-progress","28890ac2730294b4a467f808acbab29e421e7ba873d282d7647556c970665b48","checklist","FALSE","FALSE","Zone 2","ITP - Earthworks - 101 - Rev 2"
"1354de3a-6274-482e-830a-a0eeb8b7aa01","","checklist-sectioned","work-in-progress","ITP - Stormwater - 102 - Rev A","checklist","FALSE","FALSE","Zone 2","ITP - Stormwater - 102 - Rev A"
"e54e4aa3-de40-46d8-b87d-aa93bc2aa9a2","","checklist-sectioned","work-in-progress","ITP - Stormwater (Structures) - 202 - Rev B","checklist","FALSE","FALSE","Zone 2","ITP - Stormwater (Structures) - 202 - Rev B"
"9bb44726-4ee9-4a3e-adb3-e92cf4ea87e8","","folder-normal","not-started","","step","TRUE","FALSE","Tie In Hamilton"
"5d7e5650-011e-400e-8177-9dedf44a5b01","","checklist-sectioned","not-started","ITP - Earthworks - 101 - Rev 2","checklist","FALSE","FALSE","Tie In Hamilton","ITP - Earthworks - 101 - Rev 2"
