"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8087e01d-514b-47c1-badf-f5eb7fb8b695","","folder-normal","","","step","TRUE","FALSE","Footings Ground"
"3710f621-f3f5-42e7-ade2-3f1a1a0fa91d","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 1"
"c0af6d0a-917e-4db1-99cb-699458240988","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 1","Footing"
"07e17493-efaf-46d4-bd8a-1aab402d5670","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 1","Precast Install"
"13911b0f-104b-497b-abee-129a323f92f9","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 1","Ground Floor Slab"
"3c8ade76-49df-4e66-9cbe-6869ed3de92c","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 2"
"f3d8cb80-e1f3-4e62-b968-907ca0ad3eaf","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 2","Pad"
"7cdf36af-2631-441b-ad3f-339063cf77e5","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 2","Precast Install"
"b7c5b51c-975a-4601-83ea-6ce57a99d4a4","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 2","Ground Floor Slab"
"e929af68-255c-4064-96c8-ea15430dbc66","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 3"
"947a4466-5ffb-4cd9-8046-5ffce919a821","","checklist-flat","","Boxing to footing","checklist-flat","FALSE","FALSE","Footings Ground","Grid 3","Footing"
"6867355f-459e-446d-9745-dd1df7e9f849","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 3","Precast Install"
"9e6c5684-201d-45af-86ab-75c44cbbbded","","checklist-flat","","Ground Floor Slab","checklist-flat","FALSE","FALSE","Footings Ground","Grid 3","Ground Floor Slab"
"44724e73-bbdb-4417-b130-4cee41b39038","","folder-normal","","","step","TRUE","FALSE","Footings Ground","Grid 4"
"35367a62-a37e-4d59-9363-50206d281dce","","checklist-flat","","Boxing Pad","checklist-flat","FALSE","FALSE","Footings Ground","Grid 4","Pad"
"eb22e2e9-c139-485a-bdfb-ff230bc22214","","checklist-flat","","Precast Install","checklist-flat","FALSE","FALSE","Footings Ground","Grid 4","Precast Install"
