"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ed961fdb-d0d9-431b-8fa7-26333d4bdb9c","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"8b4b2b4c-bc8a-43bc-8fe5-f12d81998541","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","D001.06"
"0f1156a0-859b-4b30-bdd5-8cd6c91b9ddf","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W001.01"
"8669771b-58cb-40e9-a397-d51778284057","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W008.01"
"b2c37834-1000-4397-b824-16db6d7c77ca","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W007.01"
"86037daf-6930-4b0f-9790-e0b4054bb1c1","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W006.01"
"e8b79f8c-ba41-4f7b-af24-59178dbf0741","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W005.02"
"78a7218e-54c3-4899-a35a-2e5e7b66b0e4","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","D005.01"
"ce722197-c5bc-4117-aa11-7f56226c4ead","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W005.01"
"83729719-18d7-41f0-9db0-87e08b9cdde0","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","D004.06"
"491a9b83-9160-4f5a-b770-60f77cbccb07","","checklist-flat","fail","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W004.01"
"15fe0bf9-91c2-4190-94ea-adf1af23cda3","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","W003.01"
"a975222e-fb06-4ba4-8244-042c2254aa75","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Ground","D003.06"
"851f05dc-c4db-468e-987a-d30cc06c40d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 1"
"46930a30-b18e-422f-9e03-ab1a99454376","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D102.06"
"91f21e2d-2fc4-4942-be53-9c2e05dfab0e","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W102.01"
"50ce3a02-3608-41da-b3b0-68e5d8627403","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W102.02"
"0a555aa2-9563-425d-90d0-a4daf2712328","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D101.07"
"692ed4b0-7474-4ced-86ee-17886454c485","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W101.01"
"b292b64d-3ba8-438b-9b1b-384e60324c69","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W101.02"
"cc34c6c7-0cbe-4c0a-8dc9-3b00672fa434","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W110.01"
"53749d04-d8b6-457b-980b-1f8e65919960","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W106.01"
"d2bb525a-49be-456b-a821-edff13bcb174","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W106.02"
"adf40740-fa7e-4e98-a7b0-f9b7bc5a0766","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D106.07"
"6b4694f8-a13a-42e5-8d1a-b200fadf5e36","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W105.01"
"c7070d70-a1a0-44c8-bc1e-890fb3e80117","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W105.02"
"f2153634-0e46-41bc-86da-da11d8ec993a","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D105.06"
"1ff77762-9904-4d54-a06e-317d4c606f2c","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W104.01"
"ac61290e-0e8f-4dfe-997c-fe83d564c1a7","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D104.07"
"bbf01748-752f-4cdf-b5bc-3f79fd1bc439","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","W103.01"
"fda90d77-3333-4920-80cc-f8674b581ecc","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 1","D103.07"
"c0ffba29-0c35-45f9-9de2-1e359fbf672f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Level 2"
"caaeddc2-b9f1-4a64-8aad-bed262968843","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","D202.06"
"2621372e-4dea-4c4b-9d8d-00af8a6d8551","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Level 2","W202.01"
