"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"34d9c509-7813-598c-aa13-aa61fb53e4c3","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","W007.01"
"e29a505e-a814-4419-81d2-3a4c6592b069","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W007.01","Opening and sill acceptable. All elements approved as per drawings"
"7ac9f37e-6b6d-5d19-a9cd-8e05268f41b5","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W007.01","Opening wrapped & prepared correctly by others"
"cbecbdb4-5180-57f9-841d-58c65963a0d5","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W007.01","External flashings installed as per shop drawings"
"a55c0bcc-17a1-56fb-914b-43f5b02adf4c","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W007.01","Installed / Fixed As Per Shop Drawings"
"1990470a-3a7e-590a-a9d3-a70b6ac7f1d5","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W007.01","Airseals Completed (photo)"
"0d428015-c001-53b5-826d-32ca7f0ba397","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W007.01","Site Glazing Completed"
"530541c2-e72f-5752-a607-c87734ffc2d8","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W007.01","Trade clean/protected"
"ee6d4c8a-9ac8-5810-afb5-8f97d9358a4c","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","W006.01"
"a1632d65-84af-42f8-9b5c-f939cebe6aea","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W006.01","Opening and sill acceptable. All elements approved as per drawings"
"6f91e61c-899e-50ec-93ce-1086958289d9","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W006.01","Opening wrapped & prepared correctly by others"
"30077097-0c22-59e3-8b24-b8689956400f","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W006.01","External flashings installed as per shop drawings"
"65cc623b-6484-56e1-a1fe-6da7df8b121d","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W006.01","Installed / Fixed As Per Shop Drawings"
"453cd741-42ef-5ba3-91d5-351596d8f64f","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W006.01","Airseals Completed (photo)"
"ef920cec-3dfd-5004-98f5-67c9733ca225","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W006.01","Site Glazing Completed"
"0658b076-0e6e-596e-8801-81ac2a25592e","","checkpoint-status","not-started","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W006.01","Trade clean/protected"
"ba38172e-8f0e-5992-b902-f077b0ef1a0e","","checklist-flat","work-in-progress","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140","checklist-flat","FALSE","FALSE","Ground","W005.02"
"af4672d5-e35a-4d31-9cc2-4f61d647f6c2","","checkpoint-status","not-started","","","TRUE","TRUE","Ground","W005.02","Opening and sill acceptable. All elements approved as per drawings"
"95acd4f2-81bf-5d9d-b3a7-72b8515e860e","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W005.02","Opening wrapped & prepared correctly by others"
"5caa8a8a-f25b-596c-bb1b-ca3437b0b84d","","checkpoint-status","pass","1e2a48e5852a729e845ac2978a102e0adf2600614b608976c17715dc51670140:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W005.02","External flashings installed as per shop drawings"
