"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e9ecf9fa-7dbb-5cef-8b09-3e4f97e887b7","","folder-normal","fail","","step","TRUE","FALSE","Ground"
"73602264-aaae-50f1-a1ee-446451fb298e","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","D001.06"
"488a2d40-c087-5487-b8c5-6c925900ed42","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W001.01","Airseals Completed (photo)"
"491313c2-09a7-5f96-ab9e-96ee7206eff7","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W001.01","Site Glazing Completed"
"0aa20368-085c-55bd-8fec-3bc42c60b072","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W001.01","Trade Clean & Sign off"
"6e21f29b-95e6-5a13-9dfb-67f85b96bb8c","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W008.01"
"dd32f789-7ec4-59a7-a44b-79f7336d22ce","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W008.01","Opening Wraped & Prepared Correctly"
"502829a6-f82c-5c7b-b1eb-18378598b05e","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W008.01","External Flashings / Weather Seals As Per Shop Drawing"
"d7640651-c55a-5a5b-9758-b64b7b076537","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W008.01","Installed / Fixed As Per Shop Drawings"
"c8412ee7-1e0f-5bc8-9007-9be85187753b","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W008.01","Airseals Completed (photo)"
"715334ef-dc85-56e1-9491-95153dd8eb52","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W008.01","Site Glazing Completed"
"6d93ad82-7fd2-5296-83bb-412214c75136","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W008.01","Trade Clean & Sign off"
"34d9c509-7813-598c-aa13-aa61fb53e4c3","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W007.01"
"7ac9f37e-6b6d-5d19-a9cd-8e05268f41b5","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W007.01","Opening Wraped & Prepared Correctly"
"cbecbdb4-5180-57f9-841d-58c65963a0d5","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W007.01","External Flashings / Weather Seals As Per Shop Drawing"
"a55c0bcc-17a1-56fb-914b-43f5b02adf4c","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W007.01","Installed / Fixed As Per Shop Drawings"
"1990470a-3a7e-590a-a9d3-a70b6ac7f1d5","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W007.01","Airseals Completed (photo)"
"0d428015-c001-53b5-826d-32ca7f0ba397","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W007.01","Site Glazing Completed"
"530541c2-e72f-5752-a607-c87734ffc2d8","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W007.01","Trade Clean & Sign off"
"ee6d4c8a-9ac8-5810-afb5-8f97d9358a4c","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W006.01"
"6f91e61c-899e-50ec-93ce-1086958289d9","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W006.01","Opening Wraped & Prepared Correctly"
"30077097-0c22-59e3-8b24-b8689956400f","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W006.01","External Flashings / Weather Seals As Per Shop Drawing"
"65cc623b-6484-56e1-a1fe-6da7df8b121d","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W006.01","Installed / Fixed As Per Shop Drawings"
"453cd741-42ef-5ba3-91d5-351596d8f64f","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W006.01","Airseals Completed (photo)"
"ef920cec-3dfd-5004-98f5-67c9733ca225","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W006.01","Site Glazing Completed"
"0658b076-0e6e-596e-8801-81ac2a25592e","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W006.01","Trade Clean & Sign off"
"ba38172e-8f0e-5992-b902-f077b0ef1a0e","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W005.02"
"95acd4f2-81bf-5d9d-b3a7-72b8515e860e","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W005.02","Opening Wraped & Prepared Correctly"
"5caa8a8a-f25b-596c-bb1b-ca3437b0b84d","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W005.02","External Flashings / Weather Seals As Per Shop Drawing"
"ee12ca29-bd6e-5a62-a8fa-832448953e14","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W005.02","Installed / Fixed As Per Shop Drawings"
"7538a6f9-9767-5fd1-a12a-c57a60b59c89","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W005.02","Airseals Completed (photo)"
"8d58134f-5614-5492-b528-99f71c4f879b","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W005.02","Site Glazing Completed"
"7164d4c1-1445-555e-95fe-bf2b20874d5a","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W005.02","Trade Clean & Sign off"
"f9cd7fd4-c5e5-5c76-8564-618fa2a8d706","","checklist-flat","fail","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","D005.01"
"dc697cd9-da12-5557-b1b4-758715bac594","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D005.01","Opening Wraped & Prepared Correctly"
"9c85865f-d0f7-559c-a482-99c4cc108070","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D005.01","External Flashings / Weather Seals As Per Shop Drawing"
"b61e519a-bde0-5a0a-a79a-15950413af0a","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D005.01","Installed / Fixed As Per Shop Drawings"
"d662a049-fefb-516b-9ddb-50c6772a34ce","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D005.01","Airseals Completed (photo)"
"93af7e1f-c4b1-5959-89c2-f6c031154eef","","checkpoint-status","fail","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D005.01","Site Glazing Completed"
"edcd2822-5b20-5b03-9963-daf3afb46d7e","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D005.01","Trade Clean & Sign off"
"1e811d67-a40d-5595-bf1c-7fefd5b2986f","","checklist-flat","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W005.01"
"2e0135b2-cc6c-5a5a-925c-19ec2867f5f0","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W005.01","Opening Wraped & Prepared Correctly"
"9d9fb0cc-4999-5650-8979-c1dcae7fa7a7","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W005.01","External Flashings / Weather Seals As Per Shop Drawing"
"06f8ef9e-ecb0-5362-a77e-46d8e0922a34","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W005.01","Installed / Fixed As Per Shop Drawings"
"dc8f9a50-9d55-5d83-b2fd-8544fb393a7f","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W005.01","Airseals Completed (photo)"
"e3820f06-2a6f-56b6-a515-ff29f20b351d","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W005.01","Site Glazing Completed"
"9f0df2e2-da22-544f-8ee1-6098d11664b7","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W005.01","Trade Clean & Sign off"
"993196fc-61ae-5427-b093-ec1e9b6c0d47","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","D004.06"
"f21bf467-bffc-507d-a243-f92e60b40ae2","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D004.06","Opening Wraped & Prepared Correctly"
"94a0c831-fb20-5f2b-843c-1ab1b96dfd8c","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D004.06","External Flashings / Weather Seals As Per Shop Drawing"
"87cb4754-2a2f-59a9-a729-f71d63d88270","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D004.06","Installed / Fixed As Per Shop Drawings"
"38775b32-9fa9-5f64-b9e3-8ce9024f93fa","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D004.06","Airseals Completed (photo)"
"a360b275-d1dc-5063-87a6-8c22912a96e3","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D004.06","Site Glazing Completed"
"1004750a-8301-5f4d-b3c5-0fec5703069a","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D004.06","Trade Clean & Sign off"
"21a7d51e-4e63-5021-8db3-eeeea9c5df1a","","checklist-flat","fail","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W004.01"
"4471c419-24ba-553c-9497-2df5b6beb374","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W004.01","Opening Wraped & Prepared Correctly"
"9cfd6c4a-2cdd-5e88-9424-6e0c7893f870","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W004.01","External Flashings / Weather Seals As Per Shop Drawing"
"060d4f7b-96d9-5b09-8b44-cd8889b76ed7","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W004.01","Installed / Fixed As Per Shop Drawings"
"2bdecce3-fd32-535c-a476-85183215fe21","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W004.01","Airseals Completed (photo)"
"5128a3ac-4d68-55a1-929e-68b246863612","","checkpoint-status","fail","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W004.01","Site Glazing Completed"
"13b77dc4-538b-57b6-a4f2-f86d9de0c8ec","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W004.01","Trade Clean & Sign off"
"ee91a3e8-c171-5149-b922-73f157932232","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","W003.01"
"44089eb1-e6c4-5595-8785-79dfc96c2be5","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","W003.01","Opening Wraped & Prepared Correctly"
"3fbe37d3-51bd-5fa7-9210-74d36abd463f","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","W003.01","External Flashings / Weather Seals As Per Shop Drawing"
"126de19b-d519-5df5-a689-f7609180ece1","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","W003.01","Installed / Fixed As Per Shop Drawings"
"3c8e952a-000d-59cc-a152-82905751f11e","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","W003.01","Airseals Completed (photo)"
"c70f2914-36ef-5609-924a-57b3f5f2b4c2","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","W003.01","Site Glazing Completed"
"408ed481-17db-5c1e-9f57-bbdaa98ff5fa","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","W003.01","Trade Clean & Sign off"
"ed247ec1-bd5e-5860-a0de-4559ad83fbf4","","checklist-flat","work-in-progress","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2","checklist-flat","FALSE","FALSE","Ground","D003.06"
"75ffcbee-f90d-5967-875b-7b0c1c9850fa","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:92288b58-a6ec-4876-8a75-6d4326362513","","TRUE","TRUE","Ground","D003.06","Opening Wraped & Prepared Correctly"
"485e95cf-940d-546c-b512-08112705f0d3","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:5df6826c-1f31-4c46-8283-3246745e5bf4","","TRUE","TRUE","Ground","D003.06","External Flashings / Weather Seals As Per Shop Drawing"
"1b304529-9b54-5c30-86d6-5a8ea821d838","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:848a87c1-4057-4d37-8f8e-72790400e63f","","TRUE","TRUE","Ground","D003.06","Installed / Fixed As Per Shop Drawings"
"d13421b5-ddbc-5bad-927d-b811c3c28b86","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:d2c07c0a-8e78-4d41-9d46-b9ab179c3191","","TRUE","TRUE","Ground","D003.06","Airseals Completed (photo)"
"345347ba-47cd-5cf6-9c5b-a53805ebad4f","","checkpoint-status","pass","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:4c13f7a1-83c2-4c03-aa03-a3f6b18c9465","","TRUE","TRUE","Ground","D003.06","Site Glazing Completed"
"7371ee29-f04d-5d8e-9f23-6a0fbc9ef425","","checkpoint-status","not-started","d5858143edf2c240605d352a0039605d5e232e19fdb1d1330d9ed74ec10ab8b2:07e1b957-0622-4a47-91f8-eb45b8abab47","","TRUE","TRUE","Ground","D003.06","Trade Clean & Sign off"
