Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Loading Progress,,,,,
,Scope,,,,
,Rows,,,,
,,WE 01,grouping,WE 01,
,,Training Precinct L00,dynamic,Training Precinct L00,
,,Training Precinct L01,dynamic,Training Precinct L01,
,,Training Precinct L02,dynamic,Training Precinct L02,
,,Training Precinct L03,dynamic,Training Precinct L03,
,,WE 12,grouping,WE 12,
,,Accommodation - Building A L00,dynamic,Accommodation - Building A L00,
,,Accommodation - Building A L01,dynamic,Accommodation - Building A L01,
,,Accommodation - Building A L02,dynamic,Accommodation - Building A L02,
,,Accommodation - Building B L00,dynamic,Accommodation - Building B L00,
,,Accommodation - Building B L01,dynamic,Accommodation - Building B L01,
,,Accommodation - Building B L02,dynamic,Accommodation - Building B L02,
,Columns,,,,
,,Loading,,Loading,
,,,,,
Joinery Progress,,,,,
,Scope,,,,
,Rows,,,,
,,WE 01,grouping,WE 01,
,,Training Precinct L00,dynamic,Training Precinct L00,
,,Training Precinct L01,dynamic,Training Precinct L01,
,,Training Precinct L02,dynamic,Training Precinct L02,
,,Training Precinct L03,dynamic,Training Precinct L03,
,,WE 12,grouping,WE 12,
,,Accommodation - Building A L00,dynamic,Accommodation - Building A L00,
,,Accommodation - Building A L01,dynamic,Accommodation - Building A L01,
,,Accommodation - Building A L02,dynamic,Accommodation - Building A L02,
,,Accommodation - Building B L00,dynamic,Accommodation - Building B L00,
,,Accommodation - Building B L01,dynamic,Accommodation - Building B L01,
,,Accommodation - Building B L02,dynamic,Accommodation - Building B L02,
,Columns,,,,
,,Wall Dimensions/cabinet sizes in surface penetration against shop drawings,,Wall Dimensions and cabinet sizes in the surface penetration against shop drawings.,
,,"Install area is set out, services & positioning checked",,"Install area is set out, services and positioning are checked",
,,Bulkhead alignment checked,,Bulkhead alignment checked.,
,,Units installed feet adjusted and levelled,,Units installed feet adjusted and levelled.,
,,Services cut out is ready for other trades,,Services cut out is ready for other trades,
,,Doors clipped on & aligned,,Doors clipped on and aligned,
,,Shelves placed into cabinets & all shelf pegs used where required,,Shelves placed into cabinets and all shelf pegs used where required.,
,,Gap fill or silicone as required for all junction where required,,Gap fill or silicone as required for all junction where required.,
,,Handles drilled & installed to correct position,,Handles drilled and installed to correct position.,
,,Joinery protection applied & taken off as required,,Joinery protection applied and taken off as required.,
,,Kick faces cut & fixed off,,Kick faces cut and fixed off.,
,,Appliance install & all excess glue removed,,Appliance install and all excess glue removed.,
,,Defects addressed & rectified,,Defects addressed and rectified.,
,,Final sign-off for Joinery,,Final sign-off for Joinery,
,,,,,
Protection Progress,,,,,
,Scope,,,,
,Rows,,,,
,,WE 01,grouping,WE 01,
,,Training Precinct L00,dynamic,Training Precinct L00,
,,Training Precinct L01,dynamic,Training Precinct L01,
,,Training Precinct L02,dynamic,Training Precinct L02,
,,Training Precinct L03,dynamic,Training Precinct L03,
,,WE 12,grouping,WE 12,
,,Accommodation - Building A L00,dynamic,Accommodation - Building A L00,
,,Accommodation - Building A L01,dynamic,Accommodation - Building A L01,
,,Accommodation - Building A L02,dynamic,Accommodation - Building A L02,
,,Accommodation - Building B L00,dynamic,Accommodation - Building B L00,
,,Accommodation - Building B L01,dynamic,Accommodation - Building B L01,
,,Accommodation - Building B L02,dynamic,Accommodation - Building B L02,
,Columns,,,,
,,Protection,,Protection,
