"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b72e7188-a52c-4896-8fa2-02af962698d4","","fail","","folder","TRUE","FALSE","Site QA"
"6658d9e8-e377-4fbd-bd74-f59af60e30b9","","work-in-progress","","folder","FALSE","FALSE","Site QA","L1"
"c9da39a1-b4da-4493-8ae7-23005c9987af","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-001"
"a1728d6c-120b-4406-8189-b6445df305ed","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-002"
"a8f020e1-abf5-4a61-b221-9435bd2f9659","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-003"
"89bd5e4f-b111-43da-ba4e-c10c8f23ecb7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-004"
"68e43ff5-b629-4a68-b5b2-6286f52085f6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-005"
"5cb47f2e-23c7-4ce3-8736-5ab8ab6c082b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-006"
"7c809cb3-c10a-40d0-8dff-dc861f34255c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-007"
"1b628cc0-1e5c-49fd-8c1d-b72176a17ee6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-008"
"f37585bf-1c2b-4b33-8829-9008034bab0c","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-009"
"4eb27461-2af3-4dfa-97a6-e01d5da6110d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-010"
"2f6a90a1-e355-4815-bb98-16075fa833a1","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-011"
"56060177-3412-4a29-ac0c-5b5187d5c04b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","L1-012"
