Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Lightning Protection & Earthing - Grid 104,dynamic,Lightning Protection and Earthing,Grid 104
,,Lightning Protection & Earthing - Grid 104/105,dynamic,Lightning Protection and Earthing,Grid 104/105
,,Lightning Protection & Earthing - Grid 105/106,dynamic,Lightning Protection and Earthing,Grid 105/106
,,Lightning Protection & Earthing - Test Sheets (Lightning Protection),grouping,Lightning Protection & Earthing - Test Sheets (Lightning Protection),
,,Test Sheets (Lightning Protection),,Lightning Protection and Earthing,Test Sheets (Lightning Protection)
,,Generator Cable Upgrade - Cable Installation,dynamic,Generator Cable Upgrade,Cable Installation
,,Generator Cable Upgrade - Cable Termination,dynamic,Generator Cable Upgrade,Cable Termination
,Columns,,,,
,,Photos,,Photos,
,,Earth Pit,,Earth Pit,
,,Wricon Terminal Plates,,Wricon Terminal Plates,
,,Test Sheets (Lightning Protection),,Test Sheets (Lightning Protection),
,,Test Sheets (Generator),,Test Sheets (Generator),
