type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Weather Delay Report,,,,,,,
section,Details,,,,,,,
checkpoint-no-status,Details,,,,,,,
text,Date:,,,,,,,
text,Prepared by:,,,,,,,
section,Weather Report,,,,,,,
checkpoint-no-status,Last weeks delays due to weather/ wind,,,,,,,
text,Date:,,,,,,,
text,Time:,,,,,,,
text,Reason:,,,,,,,
checkpoint-no-status,Last weeks delays other: Visibility/ Fire/ Security,,,,,,,
text,Date:,,,,,,,
text,Time:,,,,,,,
text,Reason:,,,,,,,
