"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0efcbb0c-850c-4b6f-99d9-001bd315b93f","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"57044f1f-8856-4519-8cca-3dcb4e6ad741","","work-in-progress","","folder","TRUE","FALSE","Site QA","SP-1"
"0560d05c-f5ad-4481-a17c-2cc11267a025","","work-in-progress","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing"
"e19db25e-15d3-4ec4-84b0-35d5cab707e1","","work-in-progress","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101"
"a637e004-5db4-491e-8b0c-58bee3dc8377","","work-in-progress","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in"
"1164bec8-2b16-4d97-bed4-ea68e8e61dd6","","work-in-progress","WG Install Water/Gas Lead-ins","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","WG Install Water/Gas Lead-ins"
"e4fe08fd-ed42-52e4-8e24-b2aabb04a72a","","work-in-progress","","section","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","WG Install Water/Gas Lead-ins","Details:"
"106e9164-89ce-54af-9d74-049ef1278bfc","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","WG Install Water/Gas Lead-ins","Details:","Install Water/Gas Lead-ins checked off as below:"
"22891e5c-5c64-4447-9881-3919673b8508","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"5ae1b4ef-9cec-5d17-bab5-75bc1e7c27d8","","pass","","section","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","SD Install Sewer Stacks, Wastes & Vents","Details:"
"d5d4d7b9-7724-5b34-b924-d034db3f6012","","pass","","checkpoint","TRUE","TRUE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","SD Install Sewer Stacks, Wastes & Vents","Details:","Install Sewer Stacks, Wastes & Vents checked off as below:"
"85821bf0-3fe4-4712-b31a-f1998fd75823","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","WG Install Water/Gas Rough-ins"
"9f9a95a9-ee6c-5b7e-9cdb-c19554c54ce6","","pass","","section","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","WG Install Water/Gas Rough-ins","Details:"
"047218c7-5e5b-53fe-a1ce-f99bd9178e83","","pass","","checkpoint","TRUE","TRUE","Site QA","SP-1","Plumbing","Lot 101","Rough-in","WG Install Water/Gas Rough-ins","Details:","Install Water/Gas Rough-ins checked off as below:"
"30a4086d-13c9-4a80-8e95-79dedc4441a7","","not-started","","folder","TRUE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off"
"e57293ae-34d7-4fd9-bdcc-050ce7216113","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"d0b42fce-5be8-5e0c-8fb0-f0d35ac833d7","","not-started","","section","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Kitchen Sink & Tapware","Details:"
"34aa5a5e-8df6-5c8c-9542-c10790304272","","not-started","","checkpoint","TRUE","TRUE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Kitchen Sink & Tapware","Details:","Fit-off Kitchen Sink & Tapware checked off as below:"
"edcc2f57-79fc-495b-9c84-3e134a8a780f","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Dishwasher"
"5d0bd8d5-db87-5418-b931-aad9ec5308a1","","not-started","","section","FALSE","FALSE","Site QA","SP-1","Plumbing","Lot 101","Fit-off","FO Fit-off Dishwasher","Details:"
