"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2298f92e-ccdf-4878-8a4d-85c43af3124d","","not-started","","folder","TRUE","FALSE","On Site QA"
"72c2d0eb-05d4-4d4a-bfef-66cf29ab6960","","not-started","","folder","TRUE","FALSE","On Site QA","Building C"
"e8ede555-c02f-46e1-9e1b-c4ba784712f5","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor"
"c7c17825-465b-4bec-9296-cd1733c97a5e","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor","Apt F.1"
"3dbaa16c-a74f-4191-b3a5-4b019d941dc2","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.1","Balustrade (Small Deck)"
"c1991deb-95ac-4b2a-a806-0fe70be1d432","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.1","Balustrade (Big Deck)"
"eac9da31-42fa-4502-9ad3-8dc44389a70d","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.1","Screen"
"4cb50df8-14aa-48fc-9359-80adc0f75a60","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor","Apt F.2"
"6a09d698-94e8-4104-b91d-aa1a525536bc","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.2","Balustrade (Small Deck)"
"7fcf82f7-e7d9-481b-bd0e-f59da3144aca","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.2","Balustrade (Big Deck)"
"a9c42924-f526-4d15-b2e9-4d29b73ee4b8","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.2","Screen"
"34552ad2-2e1b-4134-9823-3a184c59be6f","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor","Apt F.3"
"c9c61e4a-98d0-4900-a8c8-7111d44a8b0b","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.3","Balustrade (Small Deck)"
"7bfc205a-7b5d-48ea-8f6e-65b49e59f555","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.3","Balustrade (Big Deck)"
"03c1ccb4-0e0d-4676-a111-3ace96dd7a8e","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.3","Screen"
"630745bd-41d6-4295-a151-165dab7dac6c","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","First Floor","Apt F.4"
"9c5e924a-d9b0-432e-a2b6-901ba42f6fb6","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.4","Balustrade (Small Deck)"
"6ac2ca07-53e9-405b-827e-20ad12d51fec","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.4","Balustrade (Big Deck)"
"34e9b41f-c0f2-4ad2-b0a2-34d5e9b38b43","","not-started","Screen Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","First Floor","Apt F.4","Screen"
"ac20aaf9-79f5-4cfb-a381-2f6af30cad23","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","Second Floor"
"658463aa-bc45-41f0-b04a-5e1c60620188","","not-started","","folder","TRUE","FALSE","On Site QA","Building C","Second Floor","Apt S.1"
"02dc9bd2-4d56-44fd-8431-0ea230774b3f","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.1","Balustrade (Small Deck)"
"cfe62082-2cba-418f-8241-26ef57920aef","","not-started","Balustrade Checklist 1","checklist","FALSE","FALSE","On Site QA","Building C","Second Floor","Apt S.1","Balustrade (Big Deck)"
