"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a72ef595-1ae8-42ec-a37d-42b49988980e","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"3683855d-4c9d-4c0e-8b8b-5ada4bcd2666","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"872a2ae2-432e-4822-8818-d4ef9c1659aa","","folder-normal","not-started","","step","TRUE","FALSE","QA","Rigid Rail 01"
"e64c96dd-01da-4166-a1a3-0a01714f0cad","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 01","Pre-Fit Off Checklist"
"61ef84ad-e3ea-4901-b4c6-52b94497e0f3","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 01","Rail Checklist 01"
"02a2d120-8bb4-480b-ba1b-3e70a9a32266","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Rigid Rail 01","Data Plate, Access Point"
"5769b5e6-c65f-409a-b7e4-cddd0872c562","","folder-normal","not-started","","step","TRUE","FALSE","QA","Rigid Rail 02"
"1960b288-8e4a-40d0-aa31-2828bd9d3ef4","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 02","Pre-Fit Off Checklist"
"d95f8929-e5ef-4a80-b105-f59101342169","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 02","Rail Checklist 02"
"acef4f1f-e836-4cb8-8786-838508d3ceda","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Rigid Rail 02","Data Plate, Access Point"
"dc3a0a7d-09dd-4774-962a-0e4dd8faea9f","","folder-normal","not-started","","step","TRUE","FALSE","QA","Rigid Rail 03"
"b57494d5-37c8-4f33-ac31-d7cc642d065b","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 03","Pre-Fit Off Checklist"
"6b0d441b-3f3d-4ff4-8cf7-7b8513a29990","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 03","Rail Checklist 03"
"6db57384-72f6-4afd-ab34-5053441f7a87","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Rigid Rail 03","Data Plate, Access Point"
"9b4dd5cf-e872-443b-94b7-351e24e632c8","","folder-normal","not-started","","step","TRUE","FALSE","QA","Rigid Rail 04"
"df8533f4-bb5c-4d99-b4a7-6bb631353f11","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 04","Pre-Fit Off Checklist"
"95459f2a-5dbb-4be3-a4d7-dcd3fcdb8821","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 04","Rail Checklist 04"
"4f34654d-4626-47be-80b7-2a7f4b055a5a","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Rigid Rail 04","Data Plate, Access Point"
"1020af28-3f17-4000-89cd-98f062b3227f","","folder-normal","not-started","","step","TRUE","FALSE","QA","Rigid Rail 05"
"98e41c73-7431-4240-a88d-f25d1f7471ce","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 05","Pre-Fit Off Checklist"
"1efb1058-6f62-4d58-a2b0-6a0a29d8b2dd","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 05","Rail Checklist 05"
"3e3afd45-5dce-4796-a444-c740034c91c3","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Rigid Rail 05","Data Plate, Access Point"
"f0a1e289-ea27-4c71-99e6-62deb2117323","","folder-normal","not-started","","step","TRUE","FALSE","QA","Rigid Rail 06"
"4ee09d2d-bbce-418a-b27b-ab0ac13c5ac2","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 06","Pre-Fit Off Checklist"
"d5a7e2c8-b942-4909-83f6-b6a460d78fd9","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Rigid Rail 06","Rail Checklist 06"
"f34c83ec-dae6-4778-967e-10b9e0b232f8","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Rigid Rail 06","Data Plate, Access Point"
"c77d7109-f597-4e69-9718-d61a8eb2f826","","folder-normal","work-in-progress","","step","TRUE","FALSE","Roof Access Requirements"
"c03c941a-f817-4951-848b-4d213a5f1e1f","","checklist-flat","work-in-progress","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"c2b01764-275c-4e4c-a917-5296fcfc5c6e","","checklist-flat","not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
