resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,step,,,Stage 6,,,,,,,,
,,,,,step,,,,THB16,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH34,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH36,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH38,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH40,,,,,,
,,,,,step,,,,THB17,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH69,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH70,,,,,,
,,,,,step,,,,THB18,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH65,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH67,,,,,,
,,,,,step,,,,THB19,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH61,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH63,,,,,,
,,,,,step,,,,THB20,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH57,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH59,,,,,,
,,,,,step,,,,THB21,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH53,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH55,,,,,,
,,,,,step,,,,THB22,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH49,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH51,,,,,,
,,,,,step,,,,THB23,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH41,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH43,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH45,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH47,,,,,,
,,,,,step,,,,THB24,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH66,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH68,,,,,,
,,,,,step,,,,THB25,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH62,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH64,,,,,,
,,,,,step,,,,THB26,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH58,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH60,,,,,,
,,,,,step,,,,THB27,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH54,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH56,,,,,,
,,,,,step,,,,THB28,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH50,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH52,,,,,,
,,,,,step,,,,THB29,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH46,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,HRV Checklist,folder-with-checklists,,,,,TH48,,,,,,
,,,,,step,,,,THB30,,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH42,,,,,,
Split HW,Ext Fan,Kitchen Ext,Ext Fan,,folder-with-checklists,,,,,TH44,,,,,,
