"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dd865f00-1d20-43dc-81fb-547182a9c603","","not-started","","folder","TRUE","FALSE","Section A - Balustrade"
"204f996d-0429-4b98-9ea2-f27b7ab26760","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Section A - Balustrade","Section A Balustrade Install"
"06cc9005-4282-41c9-bb0a-704c8d3c3acc","","not-started","","folder","TRUE","FALSE","Section B - Balustrade"
"f65aa9ea-e91b-4eae-b37e-c9e4fa95c119","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Section B - Balustrade","Section B Balustrade Install"
"cf74e2fe-87b7-4665-b505-ba5464fa3a08","","not-started","","folder","TRUE","FALSE","Section C - Balustrade"
"0f1d33a0-21a3-47c3-9573-7aa2c2f03561","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Section C - Balustrade","Section C Balustrade Install"
"67e80391-8554-45af-b01f-8e5c2d02d5a5","","not-started","","folder","TRUE","FALSE","Section D - Balustrade"
"6e587331-0edc-44ac-a959-44637cf1d419","","not-started","QA - Balustrades","checklist","FALSE","FALSE","Section D - Balustrade","Section D Balustrade Install"
