Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,
Overall Progress,,,,,,,,,,,,,,,
,Scope,,,,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Parliament Station,,Parliament Station,Site QA,,,,,,,,,,
,,Flagstaff Station,,Flagstaff Station,Site QA,,,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Upper Platforms (1 &2) Ceiling and Sub Platforms ,,Upper Platforms (1 &2) Ceiling and Sub Platforms ,,,,,,,,,,,
,,Lower Platforms (3 & 4) Ceiling and Sub Platforms ,,Lower Platforms (3 & 4) Ceiling and Sub Platforms ,,,,,,,,,,,
,,Booking Halls and Escalators ,,Booking Halls and Escalators ,,,,,,,,,,,
,,Plantrooms,,Plantrooms,,,,,,,,,,,
,,Commissioning,,Commissioning,,,,,,,,,,,
,,,,,,,,,,,,,,,
Wet Fire - Overall Progress,,,,,,,,,,,,,,,
,Scope,,,Wet Fire,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Parliament Station,grouping,Parliament Station,,,,,,,,,,,
,,Parliament Station - Upper Platforms (1 &2) Ceiling and Sub Platforms ,,Wet Fire,Upper Platforms (1 &2) Ceiling and Sub Platforms ,Parliament Station,Site QA,,,,,,,,
,,Parliament Station - Lower Platforms (3 & 4) Ceiling and Sub Platforms ,,Wet Fire,Lower Platforms (3 & 4) Ceiling and Sub Platforms ,Parliament Station,Site QA,,,,,,,,
,,Parliament Station - Booking Halls and Escalators ,,Wet Fire,Booking Halls and Escalators ,Parliament Station,Site QA,,,,,,,,
,,Parliament Station - Plantrooms,,Wet Fire,Plantrooms,Parliament Station,Site QA,,,,,,,,
,,Flagstaff Station,grouping,Flagstaff Station,,,,,,,,,,,
,,Flagstaff Station - Upper Platforms (1 &2) Ceiling and Sub Platforms ,,Wet Fire,Upper Platforms (1 &2) Ceiling and Sub Platforms ,Parliament Station,Site QA,,,,,,,,
,,Flagstaff Station - Lower Platforms (3 & 4) Ceiling and Sub Platforms ,,Wet Fire,Lower Platforms (3 & 4) Ceiling and Sub Platforms ,Parliament Station,Site QA,,,,,,,,
,,Flagstaff Station - Booking Halls and Escalators ,,Wet Fire,Booking Halls and Escalators ,Parliament Station,Site QA,,,,,,,,
,,Flagstaff Station - Plantrooms,,Wet Fire,Plantrooms,Parliament Station,Site QA,,,,,,,,
,Columns,,,,,,,,,,,,,,
,,Sprinkler Rough In & Fit Off Platform 1,,Sprinkler Rough In & Fit Off Platform 1,Wet Fire,,,,,,,,,,
,,Sprinkler Rough In & Fit Off Platform 2,,Sprinkler Rough In & Fit Off Platform 2,Wet Fire,,,,,,,,,,
,,Pressure Test Sprinklers - Platform 1,,Pressure Test Sprinklers - Platform 1,Wet Fire,,,,,,,,,,
,,Pressure Test Sprinklers - Platform 2,,Pressure Test Sprinklers - Platform 2,Wet Fire,,,,,,,,,,
,,Fire Extinguishers ,,Fire Extinguishers ,Wet Fire,,,,,,,,,,
,,Sprinkler Rough In & Fit Off,,Sprinkler Rough In & Fit Off,Wet Fire,,,,,,,,,,
,,Pressure Test Sprinklers,,Pressure Test Sprinklers,Wet Fire,,,,,,,,,,
,,,,,,,,,,,,,,,
Dry Fire - Overall Progress,,,,,,,,,,,,,,,
,Scope,,,Dry Fire,,,,,,,,,,,
,Rows,,,,,,,,,,,,,,
,,Parliament Station,grouping,Parliament Station,,,,,,,,,,,
,,Parliament Station - Upper Platforms (1 &2) Ceiling and Sub Platforms ,,Dry Fire ,Upper Platforms (1 &2) Ceiling and Sub Platforms ,Parliament Station,Site QA,,,,,,,,
,,Parliament Station - Lower Platforms (3 & 4) Ceiling and Sub Platforms ,,Dry Fire ,Lower Platforms (3 & 4) Ceiling and Sub Platforms ,Parliament Station,Site QA,,,,,,,,
,,Parliament Station - Booking Halls and Escalators ,,Dry Fire ,Booking Halls and Escalators ,Parliament Station,Site QA,,,,,,,,
,,Parliament Station - Plantrooms,,Dry Fire ,Plantrooms,Parliament Station,Site QA,,,,,,,,
